lowInc_0_autos,lowInc_autos_lt_workers,lowInc_autos_ge_workers,medInc_0_autos,medInc_autos_lt_workers,medInc_autos_ge_workers,highInc_0_autos,highInc_autos_lt_workers,highInc_autos_ge_workers,veryHighInc_0_autos,veryHighInc_autos_lt_workers,veryHighInc_autos_ge_workers,destChoiceAlt,taz,subzone
21.4259,14.9337,12.43145,21.41581,14.96205,12.61317,21.42254,14.98015,12.67684,21.51495,15.07292,12.78101,46,16,1
21.42001,14.88407,12.2966,21.40916,14.90801,12.4881,21.41571,14.92525,12.55571,21.5082,15.01873,12.66294,47,16,2
21.04295,14.58598,12.2672,21.04069,14.6284,12.46651,21.05264,14.65314,12.53656,21.14458,14.74664,12.64437,48,17,0
21.05518,14.67946,12.45989,21.05432,14.72782,12.64362,21.06675,14.75463,12.70988,21.1592,14.85149,12.82088,49,17,1
21.04545,14.60574,12.30956,21.04345,14.64923,12.50478,21.05558,14.67506,12.57506,21.14796,14.77176,12.68783,50,17,2
20.89297,14.49399,12.30003,20.88652,14.53953,12.49564,20.89251,14.56282,12.5659,20.95722,14.64174,12.67747,51,18,0
20.89683,14.52261,12.35412,20.89124,14.57274,12.54978,20.89754,14.5976,12.62004,20.96236,14.67674,12.73024,52,18,1
20.88763,14.45318,12.22041,20.8808,14.49799,12.42625,20.8867,14.52139,12.5,20.95116,14.59908,12.61184,53,18,2
20.51946,14.19328,12.2,20.50179,14.24519,12.40534,20.4945,14.26517,12.47841,20.50776,14.31618,12.58814,54,19,0
20.52564,14.23567,12.26561,20.50863,14.28892,12.46365,20.50144,14.30835,12.53309,20.51509,14.36012,12.6407,55,19,1
20.51449,14.15803,12.14424,20.49589,14.20614,12.35251,20.48812,14.22399,12.42565,20.50067,14.27206,12.5349,56,19,2
20.9412,14.46998,12.171,20.91627,14.4958,12.37274,20.9066,14.5058,12.4438,20.93583,14.55688,12.552,57,20,0
20.94943,14.53459,12.30368,20.92559,14.56527,12.49343,20.91629,14.57653,12.55976,20.946,14.62943,12.66463,58,20,1
20.94185,14.47521,12.18209,20.91691,14.50077,12.38159,20.90722,14.51043,12.45156,20.93637,14.56087,12.55832,59,20,2
21.30467,14.76502,12.21643,21.28685,14.78431,12.41355,21.28627,14.79658,12.48324,21.35461,14.87234,12.59176,60,21,0
21.3143,14.84535,12.42203,21.29771,14.87145,12.60251,21.29746,14.88513,12.66532,21.36582,14.96045,12.7676,61,21,1
21.30774,14.79121,12.28632,21.29028,14.81254,12.4769,21.28977,14.82507,12.54371,21.35804,14.90006,12.64876,62,21,2
21.49327,14.9398,12.27216,21.47604,14.95544,12.46145,21.47838,14.96832,12.52824,21.57369,15.06403,12.63666,63,22,0
