lowInc_0_autos,lowInc_autos_lt_workers,lowInc_autos_ge_workers,medInc_0_autos,medInc_autos_lt_workers,medInc_autos_ge_workers,highInc_0_autos,highInc_autos_lt_workers,highInc_autos_ge_workers,veryHighInc_0_autos,veryHighInc_autos_lt_workers,veryHighInc_autos_ge_workers,destChoiceAlt,taz,subzone
12.61406,13.05371,12.60611,12.72223,13.21776,12.84766,12.76849,13.28589,12.94295,12.82268,13.36439,13.04974,0,1,0
13.91467,13.05991,12.64929,14.08687,13.22415,12.88892,14.14923,13.29228,12.98311,14.21594,13.37073,13.08851,1,1,1
13.33193,13.05615,12.62331,13.4856,13.22028,12.86408,13.54343,13.28841,12.95893,13.60665,13.36689,13.06516,2,1,2
13.37789,13.12713,12.66052,13.52478,13.27976,12.89187,13.58029,13.34361,12.98355,13.6411,13.41748,13.08657,3,2,0
13.89656,13.13028,12.68309,14.06705,13.28308,12.91383,14.12916,13.34695,13.00508,14.19578,13.42082,13.1075,4,2,1
13.34974,13.127,12.65959,13.49858,13.27964,12.89107,13.55505,13.34349,12.98281,13.61702,13.41738,13.08589,5,2,2
13.34505,13.11792,12.65085,13.4939,13.26992,12.8814,13.55036,13.33356,12.97287,13.61231,13.40724,13.07571,6,3,0
13.86965,13.12104,12.67323,14.0431,13.27322,12.90329,14.1065,13.33689,12.99436,14.17461,13.41058,13.09664,7,3,1
13.32681,13.11784,12.65026,13.47655,13.26984,12.88088,13.53352,13.33349,12.97239,13.59611,13.40717,13.07526,8,3,2
13.36474,13.17945,12.69688,13.51033,13.32612,12.92256,13.56589,13.38768,13.01228,13.62703,13.45905,13.11326,9,4,0
13.97055,13.18306,12.72314,14.1329,13.32986,12.94772,14.19177,13.39143,13.03677,14.25479,13.46277,13.1369,10,4,1
13.42308,13.17971,12.6988,13.5642,13.32636,12.92419,13.6175,13.38791,13.01379,13.6759,13.45926,13.11463,11,4,2
13.38728,13.12572,12.67149,13.53272,13.27864,12.90051,13.5875,13.34261,12.99142,13.64744,13.41664,13.09368,12,5,0
13.81226,13.1282,12.68908,13.97937,13.28125,12.91772,14.04061,13.34525,13.00832,14.10652,13.41928,13.11015,13,5,1
13.29418,13.1253,12.6685,13.43896,13.27822,12.89774,13.49423,13.3422,12.98877,13.55512,13.41624,13.09116,14,5,2
13.29072,13.1179,12.66014,13.4353,13.26992,12.88838,13.49049,13.33361,12.97915,13.5513,13.40737,13.08131,15,6,0
13.72892,13.12026,12.67692,13.90979,13.2725,12.90543,13.97678,13.33625,12.99611,14.04921,13.41006,13.09809,16,6,1
13.23531,13.11767,12.65847,13.38781,13.26972,12.88707,13.44661,13.33343,12.97797,13.51164,13.40721,13.08029,17,6,2
13.22121,13.09991,12.65097,13.37602,13.25541,12.88233,13.43569,13.32054,12.97435,13.50165,13.39593,13.0779,18,7,0
13.78436,13.10299,12.67264,13.95571,13.25861,12.9032,14.01869,13.32374,12.99471,14.08659,13.39911,13.0976,19,7,1
13.26205,13.10008,12.65217,13.4116,13.25556,12.8833,13.4689,13.32068,12.97522,13.53211,13.39605,13.07868,20,7,2
13.26363,13.10426,12.65846,13.41273,13.25852,12.88743,13.46985,13.32315,12.97857,13.53287,13.39798,13.08121,21,8,0
13.82016,13.1074,12.68056,13.98968,13.2618,12.90883,14.05176,13.32644,12.9995,14.11857,13.40126,13.10149,22,8,1
13.28614,13.10435,12.65914,13.43355,13.25861,12.88801,13.48979,13.32323,12.97911,13.55173,13.39806,13.0817,23,8,2
13.23593,13.03856,12.63844,13.38984,13.20111,12.86964,13.44833,13.26894,12.96169,13.51262,13.34729,13.06535,24,9,0
13.96194,13.04324,12.66971,14.1246,13.20583,12.89911,14.18345,13.27362,12.99022,14.24642,13.35189,13.09273,25,9,1
13.35986,13.03914,12.64236,13.50789,13.20165,12.87308,13.5635,13.26946,12.96494,13.62431,13.34779,13.06838,26,9,2
13.30531,12.95275,12.60758,13.46167,13.13106,12.84842,13.5201,13.20464,12.94363,13.58383,13.2891,13.05044,27,10,0
13.70728,12.95529,12.62373,13.8822,13.13369,12.86411,13.94581,13.20726,12.95898,14.01404,13.2917,13.06535,28,10,1
13.14163,12.95198,12.60259,13.30127,13.13032,12.84393,13.36164,13.20392,12.93934,13.42786,13.2884,13.0464,29,10,2
13.23777,13.08417,12.66107,13.38499,13.24525,12.89463,13.44111,13.31234,12.9872,13.5029,13.38975,13.09121,30,11,0
13.74023,13.08691,12.67993,13.91444,13.24815,12.91313,13.97842,13.31526,13.00538,14.04735,13.39267,13.10894,31,11,1
13.22303,13.0841,12.66064,13.37487,13.24521,12.89436,13.43295,13.31231,12.98699,13.49697,13.38973,13.09106,32,11,2
13.25848,13.12655,12.67147,13.40533,13.2809,12.90241,13.46163,13.34534,12.99392,13.52376,13.41983,13.09673,33,12,0
13.84491,13.12983,12.6947,14.01406,13.28432,12.92486,14.07567,13.34878,13.01585,14.14176,13.42325,13.11798,34,12,1
13.3122,13.12678,12.67309,13.45923,13.28113,12.90391,13.51505,13.34557,12.99535,13.57634,13.42004,13.09808,35,12,2
13.2897,13.09376,12.65406,13.44034,13.2543,12.89085,13.49742,13.32103,12.98429,13.56002,13.39798,13.08905,36,13,0
13.87119,13.09722,12.67817,14.04018,13.25786,12.9139,14.10155,13.3246,13.00674,14.16729,13.40152,13.11073,37,13,1
13.31715,13.09388,12.65493,13.4666,13.25441,12.8916,13.52309,13.32115,12.985,13.585,13.39808,13.08971,38,13,2
13.29639,13.06059,12.63309,13.44879,13.22616,12.87448,13.50628,13.29477,12.96948,13.56923,13.37373,13.07582,39,14,0
13.85081,13.06397,12.65638,14.02264,13.22965,12.89679,14.08496,13.29826,12.9912,14.15167,13.37719,13.09681,40,14,1
13.29191,13.06057,12.63295,13.44487,13.22614,12.87437,13.50258,13.29475,12.96937,13.56575,13.37371,13.07572,41,14,2
13.22919,12.95911,12.5705,13.39085,13.1395,12.8238,13.4515,13.21358,12.9228,13.5177,13.2984,13.03323,42,15,0
13.85254,12.96319,12.59752,14.02862,13.14363,12.84924,14.09214,13.21769,12.94745,14.15995,13.30244,13.05691,43,15,1
13.25343,12.95923,12.57128,13.41468,13.13961,12.82449,13.47504,13.21369,12.92346,13.54086,13.2985,13.03386,44,15,2
13.25315,12.9684,12.59403,13.41534,13.1502,12.84609,13.476,13.22463,12.94447,13.54212,13.30971,13.05415,45,16,0
13.72275,12.97127,12.61283,13.90538,13.15317,12.86423,13.97165,13.2276,12.9622,14.0426,13.31266,13.07134,46,16,1
13.16457,12.96799,12.59134,13.32955,13.14981,12.8437,13.39173,13.22425,12.94221,13.45973,13.30935,13.05204,47,16,2
13.05166,12.8034,12.51818,13.2353,13.01699,12.78988,13.30373,13.10271,12.89475,13.37814,13.19963,13.01098,48,17,0
13.55377,12.80641,12.53623,13.74096,13.01994,12.80657,13.80903,13.10561,12.91084,13.88208,13.20245,13.02636,49,17,1
12.97339,12.80305,12.51607,13.15167,13.01663,12.78783,13.21878,13.10235,12.89274,13.29219,13.19928,13.00903,50,17,2
12.96505,12.79308,12.51593,13.14372,13.00609,12.78457,13.21097,13.09175,12.88864,13.28455,13.18871,13.0042,51,18,0
13.38568,12.79532,12.52927,13.57284,13.00831,12.79707,13.64199,13.09394,12.90075,13.71683,13.19086,13.01586,52,18,1
12.8509,12.79261,12.51316,13.02837,13.00564,12.78201,13.09622,13.09131,12.88618,13.17104,13.18828,13.00187,53,18,2
12.79991,12.73218,12.4945,12.98384,12.95218,12.76204,13.05386,13.04038,12.86594,13.13093,13.14004,12.98144,54,19,0
13.22752,12.73424,12.5063,13.41868,12.95421,12.77312,13.48958,13.04238,12.87668,13.5665,13.14199,12.99177,55,19,1
12.71486,12.73186,12.49269,12.89816,12.95188,12.76036,12.96846,13.04008,12.86432,13.04612,13.13975,12.97989,56,19,2
12.8386,12.87637,12.55884,13.00202,13.06894,12.8108,13.0655,13.14752,12.90962,13.13611,13.23716,13.02004,57,20,0
13.64195,12.88065,12.58521,13.82331,13.07323,12.83574,13.8892,13.15176,12.93381,13.95985,13.24132,13.0433,58,20,1
13.06322,12.87725,12.56428,13.23186,13.06981,12.81591,13.29545,13.14838,12.91456,13.36508,13.238,13.02476,59,20,2
13.13523,12.97651,12.60661,13.29449,13.15628,12.85417,13.35492,13.23016,12.95133,13.4213,13.31478,13.05995,60,21,0
13.67535,12.97954,12.62633,13.85348,13.15938,12.87304,13.91851,13.23325,12.96973,13.98841,13.31784,13.07774,61,21,1
13.12952,12.97649,12.60646,13.29049,13.15627,12.85406,13.35161,13.23015,12.95125,13.41875,13.31476,13.05989,62,21,2
13.14628,12.97709,12.56396,13.30298,13.15097,12.81363,13.36259,13.22277,12.91158,13.42815,13.30523,13.02104,63,22,0
13.93518,12.98221,12.59858,14.10825,13.15616,12.84617,14.17059,13.22792,12.94306,14.23709,13.3103,13.05124,64,22,1
13.32325,12.97792,12.56962,13.48119,13.15179,12.81883,13.54019,13.22358,12.91657,13.60444,13.30601,13.02578,65,22,2
13.19454,12.73359,12.42187,13.3711,12.94607,12.69976,13.43629,13.03188,12.80713,13.50687,13.12918,12.92617,66,23,0
13.55506,12.73607,12.43715,13.73383,12.94849,12.71368,13.79919,13.03425,12.82049,13.86957,13.13148,12.93889,67,23,1
12.96398,12.73241,12.41453,13.13533,12.94491,12.693,13.20017,13.03074,12.80064,13.27135,13.12808,12.92,68,23,2
13.14302,13.00123,12.57085,13.28875,13.16908,12.81566,13.34477,13.2387,12.91206,13.40678,13.31886,13.02,69,24,0
13.83362,13.00536,12.59933,14.00788,13.17335,12.84296,14.07106,13.24298,12.93866,14.13867,13.3231,13.0457,70,24,1
13.2601,13.00175,12.57445,13.41579,13.16963,12.81921,13.47447,13.23926,12.91555,13.53867,13.31941,13.0234,71,24,2
13.28724,13.04418,12.59959,13.43893,13.20517,12.83842,13.49624,13.27224,12.93276,13.55902,13.34966,13.03857,72,25,0
13.41564,13.04481,12.60405,13.58184,13.20587,12.84299,13.64485,13.27297,12.93736,13.71391,13.3504,13.04318,73,25,1
13.00869,13.04306,12.59164,13.15051,13.20403,12.8309,13.20654,13.27111,12.92549,13.26938,13.34854,13.03161,74,25,2
13.04509,13.08797,12.62174,13.18225,13.24265,12.85497,13.2366,13.30735,12.9475,13.29765,13.3822,13.05151,75,26,0
13.71856,13.09129,12.6455,13.8994,13.2462,12.87853,13.96605,13.31095,12.97073,14.0379,13.38583,13.07423,76,26,1
13.21628,13.08862,12.6264,13.36965,13.24335,12.85965,13.42855,13.30806,12.95212,13.49354,13.38292,13.05604,77,26,2
13.1975,13.06096,12.60794,13.3531,13.21842,12.84327,13.41276,13.28419,12.93648,13.47854,13.36021,13.04117,78,27,0
