lowInc_0_autos,lowInc_autos_lt_workers,lowInc_autos_ge_workers,medInc_0_autos,medInc_autos_lt_workers,medInc_autos_ge_workers,highInc_0_autos,highInc_autos_lt_workers,highInc_autos_ge_workers,veryHighInc_0_autos,veryHighInc_autos_lt_workers,veryHighInc_autos_ge_workers,destChoiceAlt,taz,subzone
12.67887,13.09851,12.61795,12.778,13.25171,12.85091,12.82058,13.31571,12.94322,12.87059,13.38971,13.04691,0,1,0
14.04169,13.10538,12.66733,14.18729,13.25864,12.89695,14.24008,13.32259,12.98765,14.29661,13.39648,13.08942,1,1,1
13.44094,13.10122,12.63765,13.57359,13.25444,12.86926,13.62359,13.31842,12.96092,13.67836,13.39238,13.06383,2,1,2
13.48636,13.17604,12.67858,13.61319,13.31809,12.90052,13.66117,13.37785,12.98889,13.71381,13.44722,13.08844,3,2,0
14.05546,13.17981,12.70637,14.19831,13.32194,12.92675,14.25026,13.38169,13.01432,14.30599,13.45102,13.11287,4,2,1
13.48302,13.17603,12.67846,13.61075,13.31808,12.90044,13.65908,13.37784,12.98883,13.7121,13.44721,13.08838,5,2,2
13.47865,13.1679,12.67202,13.60633,13.30923,12.89257,13.65462,13.36873,12.9805,13.70759,13.43784,13.07961,6,3,0
14.01196,13.17137,12.69755,14.15787,13.31279,12.91689,14.21097,13.3723,13.00415,14.26794,13.44138,13.10241,7,3,1
13.44591,13.16775,12.67083,13.57487,13.30908,12.89153,13.62375,13.36858,12.97952,13.67743,13.4377,13.07869,8,3,2
13.48307,13.23167,12.71958,13.60874,13.36838,12.93613,13.65651,13.42606,13.0226,13.70905,13.49313,13.12016,9,4,0
14.13197,13.2359,12.75119,14.26804,13.37265,12.96566,14.31744,13.43031,13.05112,14.37041,13.49732,13.14746,10,4,1
13.55664,13.23202,12.72226,13.67797,13.36871,12.93843,13.72383,13.42637,13.02475,13.77416,13.49343,13.12214,11,4,2
13.52175,13.176,12.69547,13.64673,13.31891,12.91508,13.69385,13.37899,13.00264,13.74548,13.44871,13.10135,12,5,0
13.94579,13.17869,12.71504,14.08878,13.32169,12.93384,14.14125,13.38177,13.02093,14.19781,13.45148,13.11904,13,5,1
13.40643,13.17544,12.69138,13.53292,13.31837,12.91141,13.58127,13.37846,12.99915,13.6346,13.4482,13.09807,14,5,2
13.40157,13.1649,12.68001,13.52785,13.30681,12.89883,13.5761,13.36654,12.98619,13.62932,13.43591,13.08474,15,6,0
13.87034,13.16763,12.69997,14.02143,13.30968,12.91825,14.0769,13.36943,13.00522,14.13666,13.4388,13.10323,16,6,1
13.35038,13.16467,12.67832,13.48141,13.30661,12.89743,13.53156,13.36635,12.9849,13.58691,13.43572,13.08356,17,6,2
13.3367,13.14722,12.67277,13.46991,13.29302,12.89511,13.5209,13.35435,12.98385,13.57715,13.42552,13.08393,18,7,0
13.93719,13.1508,12.69863,14.08382,13.29667,12.91948,14.1375,13.35798,13.00747,14.19528,13.42911,13.10662,19,7,1
13.3893,13.14745,12.67449,13.51933,13.29324,12.89658,13.56891,13.35456,12.98523,13.62354,13.42572,13.0852,20,7,2
13.39135,13.15309,12.68288,13.52107,13.298,12.90312,13.57053,13.35896,12.99111,13.62503,13.42972,13.09037,21,8,0
14.01518,13.15705,12.71129,14.15896,13.30202,12.92989,14.21138,13.36296,13.01703,14.26768,13.43366,13.11527,22,8,1
13.4402,13.15332,12.68454,13.56921,13.29822,12.90462,13.61817,13.35918,12.99253,13.67197,13.42993,13.09171,23,8,2
13.39284,13.08458,12.66322,13.52731,13.23798,12.88603,13.57815,13.30218,12.97495,13.63393,13.37648,13.07522,24,9,0
14.12532,13.08987,12.69928,14.26676,13.24325,12.91953,14.31784,13.30738,13.00723,14.37245,13.38157,13.10605,25,9,1
13.49617,13.08511,12.66692,13.6273,13.23849,12.8893,13.67645,13.30268,12.97804,13.73015,13.37696,13.07811,26,9,2
13.4442,12.99453,12.62919,13.58248,13.16383,12.86234,13.63409,13.23391,12.9547,13.69037,13.31448,13.05844,27,10,0
13.98223,12.99855,12.65523,14.12801,13.1678,12.88647,14.18085,13.23782,12.97794,14.23748,13.3183,13.08064,28,10,1
13.35549,12.99405,12.62604,13.49346,13.16336,12.85947,13.54537,13.23345,12.95195,13.6022,13.31404,13.05584,29,10,2
13.4424,13.13483,12.68993,13.57065,13.28668,12.91496,13.61921,13.35019,13.00446,13.67257,13.42365,13.1052,30,11,0
13.93431,13.13795,12.71178,14.08345,13.28989,12.93589,14.13797,13.3534,13.02485,14.1966,13.42683,13.12491,31,11,1
13.37549,13.13452,12.68768,13.50922,13.2864,12.91308,13.56011,13.34992,13.00272,13.61612,13.4234,13.10361,32,11,2
13.40935,13.17851,12.69709,13.53873,13.3233,12.91947,13.58805,13.38405,13.00793,13.64239,13.45446,13.10753,33,12,0
14.03816,13.18248,12.72591,14.17989,13.32732,12.94645,14.23151,13.38804,13.03402,14.28695,13.4584,13.13254,34,12,1
13.466,13.17877,12.69903,13.59309,13.32355,12.92116,13.64128,13.38429,13.00953,13.69423,13.45469,13.10902,35,12,2
13.44483,13.14372,12.67727,13.57485,13.29437,12.90542,13.62406,13.3573,12.99581,13.6781,13.43007,13.09735,36,13,0
14.02404,13.14754,12.70459,14.16698,13.29822,12.93095,14.21898,13.36113,13.02047,14.27478,13.43384,13.12097,37,13,1
13.4439,13.14372,12.67723,13.57349,13.29436,12.90538,13.62253,13.3573,12.99576,13.67638,13.43006,13.0973,38,13,2
13.42349,13.10738,12.65108,13.55544,13.26261,12.88388,13.6053,13.32729,12.97587,13.66,13.40196,13.07907,39,14,0
13.98167,13.11108,12.67725,14.12803,13.26635,12.90836,14.18129,13.331,12.99953,14.23845,13.40561,13.10175,40,14,1
13.40304,13.10728,12.65036,13.53609,13.26252,12.88326,13.58645,13.3272,12.97529,13.64173,13.40187,13.07853,41,14,2
13.34037,12.9981,12.57982,13.48102,13.16838,12.82578,13.53403,13.2388,12.9224,13.59208,13.31973,13.03044,42,15,0
14.00011,13.00284,12.61205,14.14905,13.17306,12.85532,14.20297,13.24341,12.95075,14.26068,13.32423,13.05741,43,15,1
13.37677,12.99829,12.58112,13.51641,13.16856,12.82691,13.56888,13.23898,12.92347,13.62627,13.3199,13.03144,44,15,2
13.37851,13.01376,12.61314,13.51919,13.18602,12.85802,13.57199,13.25688,12.9539,13.6297,13.33809,13.06096,45,16,0
13.86889,13.01705,12.63519,14.02319,13.18931,12.8786,14.0794,13.26014,12.9738,14.13976,13.3413,13.08003,46,16,1
13.28612,13.0133,12.61003,13.42926,13.18558,12.85528,13.48341,13.25646,12.95132,13.5428,13.33769,13.05855,47,16,2
13.17675,12.84118,12.53362,13.33586,13.04565,12.79902,13.39547,13.12807,12.90169,13.46055,13.22145,13.01563,48,17,0
13.58845,12.84375,12.54937,13.74643,13.0481,12.81315,13.80455,13.13045,12.91517,13.86737,13.22375,13.02838,49,17,1
13.0144,12.84042,12.52894,13.16916,13.04491,12.7947,13.22816,13.12734,12.89755,13.29322,13.22074,13.01168,50,17,2
13.0048,12.82868,12.52785,13.16022,13.03372,12.79163,13.21949,13.1165,12.89403,13.28485,13.21038,13.00784,51,18,0
13.50292,12.83145,12.54475,13.66153,13.03638,12.80692,13.72047,13.1191,12.90867,13.78449,13.21289,13.02176,52,18,1
12.94876,12.82844,12.52641,13.10419,13.03349,12.79033,13.16399,13.11628,12.8928,13.23022,13.21017,13.00669,53,18,2
12.89566,12.76137,12.50517,13.05659,12.97319,12.76694,13.11822,13.05835,12.86874,13.18633,13.15472,12.98198,54,19,0
13.35955,12.76381,12.51936,13.52232,12.97552,12.77984,13.58299,13.06062,12.8811,13.64901,13.15691,12.99374,55,19,1
12.81919,12.76107,12.50338,12.98072,12.97291,12.76534,13.04298,13.05808,12.86721,13.112,13.15445,12.98054,56,19,2
12.94193,12.91432,12.57512,13.08609,13.09851,12.82097,13.14232,13.174,12.91768,13.20506,13.26033,13.02588,57,20,0
13.88633,12.92013,12.6116,14.0382,13.10417,12.85439,14.09334,13.17954,12.94974,14.15249,13.26571,13.05636,58,20,1
13.25515,12.91568,12.58378,13.4013,13.09983,12.82885,13.45632,13.17529,12.92521,13.51657,13.26158,13.03302,59,20,2
13.32227,13.02386,12.6321,13.46079,13.19438,12.87193,13.5132,13.26474,12.96633,13.57073,13.34551,13.07201,60,21,0
13.79997,13.02683,12.65191,13.95282,13.19738,12.89052,14.00893,13.26771,12.98433,14.06942,13.34843,13.0893,61,21,1
13.23534,13.02345,12.62938,13.37677,13.19401,12.86954,13.43073,13.26438,12.96409,13.4902,13.34516,13.06992,62,21,2
13.24964,13.01671,12.57175,13.38646,13.17918,12.81238,13.43874,13.24671,12.90723,13.4964,13.32452,13.01348,63,22,0
14.08674,13.02266,12.61315,14.23204,13.18507,12.85032,14.28449,13.25251,12.94363,14.34055,13.33019,13.04809,64,22,1
13.45016,13.01772,12.57889,13.58576,13.18016,12.81877,13.63653,13.24766,12.91331,13.69195,13.32545,13.0192,65,22,2
13.32536,12.75676,12.41652,13.47648,12.9581,12.68707,13.53249,13.03988,12.79191,13.59332,13.13289,12.90833,66,23,0
13.60708,12.75883,12.42966,13.75877,12.96008,12.69877,13.81492,13.0418,12.80307,13.87579,13.13475,12.91888,67,23,1
13.01122,12.75504,12.40549,13.16015,12.95646,12.67723,13.21725,13.03828,12.78258,13.28038,13.13135,12.89956,68,23,2
13.19853,13.04156,12.57711,13.32402,13.19779,12.81254,13.37282,13.26301,12.90571,13.42721,13.33838,13.0103,69,24,0
13.98822,13.04662,12.61313,14.13505,13.2029,12.84613,14.18837,13.26808,12.93813,14.24553,13.34336,13.0413,70,24,1
13.38754,13.04243,12.58343,13.52179,13.19868,12.8185,13.57245,13.2639,12.91147,13.62798,13.33925,13.01581,71,24,2
13.41486,13.09109,12.61791,13.54578,13.24077,12.84632,13.59529,13.30345,12.93695,13.64959,13.37602,13.03884,72,25,0
13.58827,13.09204,12.62477,13.72948,13.24176,12.85295,13.7826,13.30445,12.94345,13.84063,13.37702,13.04517,73,25,1
13.13908,13.08989,12.60911,13.26332,13.23956,12.83817,13.31209,13.30226,12.92911,13.36668,13.37485,13.03137,74,25,2
13.17377,13.13623,12.64075,13.29424,13.28022,12.86426,13.34166,13.34078,12.95332,13.39481,13.41105,13.05367,75,26,0
13.88094,13.14008,12.66905,14.0331,13.28422,12.89143,14.08876,13.34478,12.9798,14.14862,13.41504,13.07927,76,26,1
13.34631,13.13694,12.64599,13.479,13.28097,12.86935,13.52962,13.34152,12.9583,13.58538,13.4118,13.0585,77,26,2
13.32717,13.10572,12.62347,13.46167,13.2522,12.84881,13.51289,13.3137,12.93844,13.56927,13.385,13.03934,78,27,0
13.52027,13.10668,12.6305,13.69742,13.25338,12.85682,13.76458,13.31496,12.94673,13.83799,13.38634,13.04788,79,27,1
13.10464,13.10482,12.61684,13.24893,13.25135,12.843,13.30591,13.31287,12.93298,13.36964,13.38421,13.03429,80,27,2
13.12873,13.13843,12.64649,13.2703,13.28168,12.86852,13.32631,13.34197,12.95709,13.38903,13.41196,13.05694,81,28,0
13.5386,13.14023,12.65985,13.71232,13.28367,12.88203,13.77837,13.344,12.97054,13.85069,13.41403,13.07026,82,28,1
13.12988,13.13843,12.64652,13.27095,13.28169,12.86853,13.3268,13.34197,12.9571,13.38938,13.41196,13.05695,83,28,2
13.1702,13.19235,12.68972,13.30724,13.3315,12.90755,13.36165,13.39016,12.9946,13.42271,13.45834,13.09284,84,29,0
13.55115,13.19399,12.70193,13.73295,13.33337,12.92044,13.80181,13.3921,13.0076,13.87699,13.46034,13.10586,85,29,1
13.16208,13.19233,12.68951,13.30582,13.3315,12.90752,13.36264,13.39016,12.99463,13.42621,13.45835,13.09292,86,29,2
13.10423,13.12809,12.66068,13.25474,13.27328,12.88065,13.31404,13.33443,12.96871,13.38026,13.40545,13.06816,87,30,0
13.68155,13.13084,12.68043,13.81566,13.27594,12.89841,13.86594,13.33703,12.98561,13.92083,13.40797,13.08409,88,30,1
13.20665,13.12847,12.66343,13.32623,13.27354,12.88241,13.37308,13.33464,12.97011,13.42552,13.40561,13.0692,89,30,2
13.18172,13.09465,12.64313,13.30345,13.24241,12.8635,13.351,13.3044,12.95152,13.40413,13.37627,13.05083,90,31,0
13.61414,13.09678,12.65821,13.74931,13.24456,12.87769,13.79988,13.30654,12.96526,13.85503,13.37838,13.06403,91,31,1
13.15017,13.09452,12.64226,13.27101,13.24228,12.86269,13.31828,13.30428,12.95073,13.37115,13.37615,13.05007,92,31,2
13.14944,13.08825,12.62793,13.26955,13.2348,12.84827,13.31654,13.29635,12.93629,13.36909,13.36775,13.03563,93,32,0
13.54671,13.09012,12.6413,13.687,13.23673,12.86112,13.74025,13.29829,12.94886,13.79877,13.36969,13.04783,94,32,1
13.11034,13.0881,12.62687,13.23326,13.23466,12.84738,13.28188,13.29622,12.93548,13.33654,13.36763,13.0349,95,32,2
13.0077,12.95066,12.53416,13.14108,13.11212,12.76689,13.19342,13.17932,12.8592,13.25204,13.25685,12.96299,96,33,0
13.48253,12.95298,12.55002,13.63267,13.11448,12.7819,13.68934,13.18167,12.87379,13.75142,13.25918,12.97706,97,33,1
13.00518,12.95065,12.53409,13.14012,13.11212,12.76687,13.19308,13.17932,12.85919,13.25236,13.25685,12.96299,98,33,2
12.93209,12.84369,12.45379,13.07466,13.01687,12.69715,13.13033,13.08853,12.79322,13.19248,13.17091,12.90093,99,34,0
13.34793,12.84572,12.46733,13.49542,13.01887,12.70958,13.55072,13.09049,12.80514,13.61109,13.17283,12.91226,100,34,1
12.87363,12.84346,12.45229,13.01047,13.01663,12.69566,13.06399,13.08829,12.79174,13.12381,13.17067,12.89947,101,34,2
13.00503,13.01069,12.55599,13.12913,13.16628,12.78813,13.17808,13.23124,12.88018,13.23305,13.30631,12.98362,102,35,0
13.44321,13.01266,12.57001,13.62244,13.1685,12.80272,13.69028,13.23353,12.89484,13.76442,13.30866,12.99826,103,35,1
13.01177,13.01071,12.55617,13.16114,13.16639,12.78888,13.21996,13.23139,12.88112,13.2857,13.3065,12.98476,104,35,2
13.02941,13.02621,12.55389,13.17638,13.17953,12.78697,13.23434,13.24363,12.87932,13.29915,13.31777,12.98305,105,36,0
13.48037,13.02828,12.5688,13.65128,13.18172,12.80157,13.7164,13.24584,12.89369,13.78779,13.32,12.99711,106,36,1
13.04691,13.02628,12.55435,13.19052,13.17958,12.78732,13.24732,13.24368,12.87963,13.31094,13.31781,12.98332,107,36,2
12.97906,12.94039,12.50241,13.1325,13.10744,12.74791,13.19282,13.17671,12.84449,13.26017,13.25642,12.95256,108,37,0
13.46376,12.94272,12.51873,13.60786,13.10969,12.76245,13.6621,13.1789,12.8583,13.72142,13.25855,12.96553,109,37,1
12.99744,12.94046,12.5029,13.1292,13.10743,12.74783,13.18085,13.17667,12.84421,13.23863,13.25635,12.95208,110,37,2
12.85686,12.74286,12.3745,13.004,12.9348,12.63826,13.06108,13.01326,12.74104,13.12457,13.10281,12.85546,111,38,0
13.38112,12.74564,12.39263,13.53382,12.9375,12.65463,13.59077,13.0159,12.75667,13.65276,13.10538,12.87027,112,38,1
12.85532,12.74285,12.37446,13.0016,12.93479,12.63821,13.0583,13.01325,12.74097,13.12134,13.1028,12.85539,113,38,2
12.88241,12.78462,12.4054,13.02412,12.96723,12.65919,13.07911,13.04213,12.75844,13.1403,13.12782,12.86919,114,39,0
13.26461,12.78647,12.41761,13.43166,12.96915,12.67099,13.4952,13.04406,12.77003,13.56495,13.12975,12.8805,115,39,1
12.79673,12.78429,12.40323,12.94862,12.96696,12.65747,13.0084,13.04187,12.7569,13.07528,13.12759,12.86784,116,39,2
12.62745,12.57735,12.30773,12.80492,12.79744,12.584,12.87373,12.88581,12.69091,12.95012,12.98575,12.80955,117,40,0
13.28646,12.58089,12.32856,13.44524,12.80069,12.60216,13.50397,12.88894,12.70803,13.56768,12.98872,12.82553,118,40,1
12.71431,12.5777,12.30978,12.87492,12.7977,12.58548,12.93649,12.88604,12.69218,13.00461,12.98594,12.81061,119,40,2
12.78658,12.66816,12.33771,12.93817,12.87418,12.611,12.99671,12.95779,12.71705,13.06172,13.05284,12.83489,120,41,0
13.30387,12.67091,12.35495,13.45955,12.87681,12.62643,13.51758,12.96035,12.73176,13.58076,13.05531,12.84878,121,41,1
12.77631,12.66812,12.33745,12.92903,12.87415,12.61079,12.98812,12.95776,12.71687,13.05378,13.05281,12.83472,122,41,2
12.7677,12.64881,12.31265,12.9276,12.87307,12.61153,12.98947,12.96309,12.72579,13.05821,13.0648,12.85174,123,42,0
12.4887,12.64782,12.30634,12.65303,12.87215,12.60612,12.71835,12.96221,12.72072,12.79187,13.06396,12.84702,124,42,1
12.29357,12.64727,12.30285,12.45742,12.87164,12.60307,12.52407,12.96171,12.71782,12.59995,13.06348,12.84431,125,42,2
11.98198,12.41595,12.23239,12.17731,12.65972,12.51438,12.25486,12.75634,12.62344,12.34207,12.86486,12.74444,126,43,0
12.95985,12.41982,12.25333,13.12861,12.66325,12.5328,13.1916,12.75972,12.64087,13.26028,12.86808,12.76079,127,43,1
12.40897,12.41719,12.23916,12.58751,12.66084,12.5203,12.65627,12.75741,12.62902,12.73254,12.86589,12.74966,128,43,2
12.48952,12.52347,12.30171,12.6587,12.75278,12.57669,12.72428,12.84435,12.68326,12.79723,12.94761,12.80164,129,44,0
13.21943,12.52721,12.32274,13.37594,12.75622,12.59517,13.43391,12.84766,12.70075,13.49688,12.95075,12.81803,130,44,1
12.63538,12.52401,12.30481,12.79875,12.75328,12.57936,12.8614,12.84482,12.68577,12.93076,12.94805,12.80397,131,44,2
12.6939,12.60426,12.34584,12.84848,12.81717,12.61023,12.90808,12.90305,12.71331,12.97426,13.00042,12.82816,132,45,0
13.28539,12.60744,12.36439,13.43799,12.82015,12.62679,13.4946,12.90594,12.72907,13.55614,13.0032,12.84302,133,45,1
12.7204,12.60437,12.34646,12.87539,12.81727,12.6108,12.93502,12.90315,12.71386,13.00117,13.00052,12.82868,134,45,2
12.9346,12.9002,12.52412,13.06459,13.07032,12.75994,13.11548,13.14079,12.85341,13.17247,13.22188,12.95845,135,46,0
13.46093,12.90279,12.54108,13.59906,13.07285,12.77552,13.65074,13.14328,12.86837,13.70716,13.22431,12.97269,136,46,1
12.96325,12.90031,12.52483,13.09397,13.07043,12.7606,13.145,13.1409,12.85405,13.20204,13.22198,12.95906,137,46,2
12.80134,12.68294,12.41055,12.9505,12.88284,12.66236,13.00802,12.96423,12.76139,13.07189,13.05698,12.87222,138,47,0
13.27151,12.68538,12.42498,13.42057,12.88515,12.67539,13.47623,12.96648,12.77383,13.53694,13.05915,12.884,139,47,1
12.74045,12.6827,12.40912,12.88933,12.88261,12.66106,12.94708,12.964,12.76015,13.01142,13.05677,12.87105,140,47,2
12.75825,12.70612,12.42118,12.90258,12.89659,12.66406,12.95872,12.97474,12.76028,13.02135,13.06417,12.86837,141,48,0
13.26208,12.70861,12.4361,13.40866,12.89898,12.67766,13.46349,12.97707,12.77331,13.52336,13.06643,12.88074,142,48,1
12.74112,12.70606,12.42079,12.8857,12.89653,12.66371,12.94201,12.97468,12.75995,13.00487,13.06412,12.86805,143,48,2
12.69382,12.63707,12.37306,12.84529,12.84076,12.62758,12.90402,12.92362,12.72767,12.96942,13.01797,12.83965,144,49,0
13.17231,12.63941,12.38682,13.32188,12.84297,12.63994,13.37795,12.92576,12.73945,13.43927,13.02003,12.85078,145,49,1
12.65252,12.63691,12.37214,12.80331,12.84061,12.62675,12.86206,12.92347,12.72686,12.92765,13.01783,12.83889,146,49,2
12.53375,12.4706,12.26878,12.69899,12.6995,12.53894,12.76273,12.79125,12.64431,12.83354,12.89491,12.76172,147,50,0
12.97274,12.47272,12.28049,13.1388,12.7015,12.54951,13.20091,12.79318,12.6544,13.26872,12.89676,12.77127,148,50,1
12.4455,12.47028,12.26698,12.61691,12.69922,12.53742,12.68327,12.79098,12.6429,12.75706,12.89466,12.76042,149,50,2
12.33716,12.33153,12.19069,12.52431,12.58567,12.47431,12.59605,12.68605,12.58421,12.67542,12.7986,12.70627,150,51,0
12.88739,12.33419,12.20452,13.06047,12.58808,12.48646,13.12493,12.68834,12.5957,13.19518,12.80077,12.71704,151,51,1
12.31974,12.33147,12.19037,12.50612,12.58561,12.474,12.57768,12.68599,12.58391,12.65694,12.79854,12.70598,152,51,2
12.15301,12.07899,12.03057,12.36126,12.37512,12.33535,12.43999,12.48932,12.45219,12.52651,12.61583,12.58127,153,52,0
12.52208,12.08073,12.0388,12.70904,12.3766,12.34232,12.77893,12.4907,12.4587,12.85531,12.61711,12.58729,154,52,1
11.95579,12.0783,12.02724,12.17215,12.37451,12.33245,12.25474,12.48874,12.44945,12.34597,12.61528,12.5787,155,52,2
12.07706,12.28129,12.19076,12.27543,12.5403,12.46482,12.35251,12.64305,12.5726,12.43845,12.75849,12.69316,156,53,0
12.8809,12.28492,12.20864,13.05524,12.54357,12.48071,13.12021,12.64617,12.58767,13.19106,12.76143,12.70731,157,53,1
12.27511,12.28194,12.19395,12.46706,12.54088,12.46768,12.54076,12.64361,12.57532,12.62241,12.75902,12.69572,158,53,2
12.16094,12.05089,11.9597,12.36199,12.3401,12.26394,12.43874,12.45344,12.38218,12.52356,12.57995,12.51366,159,54,0
12.54419,12.05277,11.96902,12.72929,12.34174,12.27193,12.79874,12.45498,12.38966,12.87484,12.58139,12.5206,160,54,1
11.95902,12.05015,11.95603,12.17001,12.33946,12.26077,12.25129,12.45283,12.37921,12.34153,12.57939,12.5109,161,54,2
11.99357,12.09231,11.98698,12.20083,12.37551,12.28942,12.28083,12.48672,12.40692,12.36972,12.61102,12.53755,162,55,0
12.74479,12.09597,12.00528,12.92321,12.37871,12.30518,12.98974,12.48975,12.42171,13.06235,12.61385,12.5513,163,55,1
12.1223,12.09276,11.98924,12.32316,12.3759,12.29137,12.40022,12.4871,12.40875,12.48559,12.61137,12.53925,164,55,2
12.15183,12.13063,12.01159,12.34785,12.40522,12.30903,12.42317,12.51342,12.42466,12.5067,12.63455,12.55325,165,56,0
12.62962,12.13288,12.02307,12.80678,12.40721,12.3189,12.87329,12.51529,12.43391,12.94617,12.6363,12.56185,166,56,1
12.06327,12.13032,12.00999,12.26157,12.40494,12.30762,12.33818,12.51315,12.42332,12.42338,12.63429,12.552,167,56,2
12.07794,12.17917,12.08199,12.27852,12.4521,12.37233,12.35583,12.55935,12.48526,12.44167,12.67927,12.61091,168,57,0
12.81563,12.18272,12.09964,12.9955,12.45528,12.38784,13.06246,12.56237,12.49994,13.13541,12.68212,12.62467,169,57,1
12.19991,12.17959,12.08411,12.39909,12.45249,12.37424,12.47528,12.55973,12.48708,12.55954,12.67963,12.61264,170,57,2
12.23609,12.23373,12.12197,12.43019,12.49684,12.40597,12.50473,12.60091,12.5169,12.58732,12.71768,12.64058,171,58,0
12.8322,12.23668,12.13683,13.01003,12.49949,12.41908,13.07638,12.60344,12.52931,13.14877,12.72006,12.65222,172,58,1
12.23417,12.23373,12.12194,12.42852,12.49683,12.40595,12.50316,12.60091,12.51688,12.58586,12.71767,12.64056,173,58,2
12.18553,12.15033,12.04518,12.38421,12.42368,12.33775,12.46041,12.53159,12.45197,12.54479,12.65252,12.57926,174,59,0
12.742,12.15311,12.05912,12.92025,12.42613,12.34985,12.98686,12.53392,12.46335,13.05964,12.6547,12.58986,175,59,1
12.13994,12.15016,12.04434,12.3384,12.42352,12.33698,12.41474,12.53144,12.45123,12.49943,12.65237,12.57856,176,59,2
12.17216,12.22664,12.13545,12.37004,12.49328,12.41757,12.44617,12.59866,12.52808,12.53061,12.71682,12.65145,177,60,0
12.84356,12.22991,12.15159,13.02244,12.49621,12.43184,13.08907,12.60145,12.5416,13.16169,12.71946,12.66415,178,60,1
12.23091,12.22685,12.13648,12.4282,12.49347,12.41851,12.50381,12.59884,12.52897,12.5875,12.717,12.6523,179,60,2
12.25359,12.24978,12.1414,12.44722,12.51147,12.42301,12.52162,12.61524,12.53334,12.60405,12.73178,12.65653,180,61,0
12.87775,12.25292,12.15717,13.05439,12.51429,12.43693,13.12022,12.61793,12.54653,13.192,12.73432,12.66889,181,61,1
12.26961,12.24984,12.1417,12.46261,12.51152,12.42327,12.5367,12.61529,12.53359,12.61877,12.73183,12.65676,182,61,2
12.29423,12.2826,12.16648,12.48416,12.53884,12.44497,12.55716,12.64064,12.55407,12.63807,12.75509,12.67591,183,62,0
12.97195,12.28613,12.18437,13.14476,12.54204,12.46079,13.20899,12.64369,12.56907,13.27891,12.75797,12.68997,184,62,1
12.35388,12.28282,12.16763,12.5412,12.53904,12.44597,12.61297,12.64083,12.55502,12.69239,12.75527,12.67679,185,62,2
12.3402,12.27442,12.17555,12.53039,12.53419,12.45345,12.60312,12.63708,12.5623,12.68354,12.7526,12.68383,186,63,0
12.92275,12.27746,12.19071,13.10014,12.53694,12.46694,13.16612,12.63972,12.57512,13.23794,12.7551,12.6959,187,63,1
12.30828,12.2743,12.17495,12.50132,12.53408,12.45294,12.57522,12.63698,12.56183,12.65695,12.75251,12.6834,188,63,2
12.38029,12.3784,12.2431,12.56293,12.61934,12.5097,12.63331,12.71581,12.61473,12.71141,12.82474,12.73234,189,64,0
13.01491,12.3816,12.25961,13.18498,12.62228,12.5245,13.24831,12.71863,12.62881,13.31731,12.82742,12.74562,190,64,1
12.41786,12.37853,12.24381,12.59863,12.61946,12.51033,12.66815,12.71593,12.61532,12.74521,12.82485,12.7329,191,64,2
12.42208,12.37739,12.23613,12.60213,12.61808,12.50424,12.6713,12.71429,12.60954,12.74796,12.82283,12.72731,192,65,0
12.96174,12.38009,12.25015,13.12694,12.62053,12.51663,13.18851,12.71663,12.62128,13.25567,12.82505,12.73831,193,65,1
12.38407,12.37725,12.23539,12.56128,12.61794,12.50351,12.62957,12.71415,12.60883,12.7054,12.8227,12.72661,194,65,2
12.43803,12.44503,12.27137,12.60727,12.67266,12.53267,12.67278,12.7643,12.6356,12.74569,12.86809,12.75087,195,66,0
13.00507,12.44777,12.28603,13.16521,12.67519,12.54577,13.22502,12.76673,12.64805,13.29032,12.8704,12.7626,196,66,1
12.44674,12.44506,12.27153,12.61537,12.67269,12.53281,12.68062,12.76433,12.63573,12.75322,12.86811,12.751,197,66,2
12.47599,12.4912,12.30763,12.64065,12.71106,12.56219,12.70463,12.8002,12.66311,12.776,12.90154,12.7765,198,67,0
13.0383,12.49388,12.32216,13.20301,12.71359,12.57548,13.26467,12.80266,12.67585,13.33203,12.9039,12.7886,199,67,1
