lowInc_0_autos,lowInc_autos_lt_workers,lowInc_autos_ge_workers,medInc_0_autos,medInc_autos_lt_workers,medInc_autos_ge_workers,highInc_0_autos,highInc_autos_lt_workers,highInc_autos_ge_workers,veryHighInc_0_autos,veryHighInc_autos_lt_workers,veryHighInc_autos_ge_workers,destChoiceAlt,taz,subzone
21.72252,15.0503,11.92704,21.70951,15.05539,12.15057,21.71558,15.0682,12.23457,21.8135,15.16802,12.35658,0,1,0
21.74301,15.23631,12.61571,21.7322,15.25624,12.77478,21.73878,15.27202,12.83362,21.83606,15.36637,12.93243,1,1,1
21.73689,15.18394,12.45364,21.72543,15.19999,12.62446,21.73186,15.215,12.68806,21.82933,15.31077,12.79134,2,1,2
21.82841,15.261,12.46508,21.81308,15.27176,12.63282,21.81628,15.2835,12.69531,21.9074,15.37417,12.79771,3,2,0
21.83333,15.30398,12.60785,21.81855,15.31825,12.76571,21.8219,15.33071,12.82393,21.91291,15.4205,12.92265,4,2,1
21.82807,15.258,12.45455,21.81272,15.26865,12.62351,21.81592,15.28035,12.68633,21.90707,15.37131,12.78967,5,2,2
21.769,15.20751,12.44279,21.74853,15.2151,12.6116,21.74735,15.22364,12.67407,21.83084,15.30834,12.77654,6,3,0
21.77455,15.25548,12.59677,21.75472,15.26713,12.75481,21.75373,15.27669,12.81281,21.83716,15.3608,12.91154,7,3,1
21.76885,15.20622,12.43843,21.74837,15.21372,12.6076,21.74718,15.22221,12.67016,21.83069,15.30701,12.77296,8,3,2
21.89814,15.31775,12.4698,21.88331,15.32746,12.63781,21.88668,15.33885,12.70036,21.97518,15.4277,12.80342,9,4,0
21.90431,15.37206,12.65666,21.89008,15.38545,12.80975,21.89362,15.39779,12.86693,21.98203,15.48593,12.96597,10,4,1
21.89908,15.32626,12.50076,21.88429,15.3361,12.6647,21.88769,15.34762,12.72631,21.97621,15.43662,12.82946,11,4,2
21.74033,15.19231,12.47918,21.71976,15.20082,12.64471,21.71794,15.2093,12.70648,21.79484,15.28906,12.80846,12,5,0
21.74385,15.22254,12.57333,21.72373,15.23395,12.73328,21.72204,15.24316,12.79245,21.799,15.32327,12.89346,13,5,1
21.73849,15.1761,12.42609,21.71775,15.18366,12.5968,21.71587,15.19184,12.66032,21.79284,15.27221,12.76492,14,5,2
21.63436,15.08747,12.40275,21.60078,15.0869,12.57341,21.58809,15.08735,12.63628,21.64744,15.15413,12.7396,15,6,0
21.63845,15.12256,12.50861,21.6055,15.12595,12.6732,21.593,15.12747,12.7328,21.65233,15.19382,12.83183,16,6,1
21.63294,15.07504,12.36334,21.59924,15.07379,12.5385,21.58647,15.07378,12.60234,21.6457,15.13967,12.70475,17,6,2
21.59336,15.04242,12.3632,21.56034,15.04297,12.53972,21.54776,15.0436,12.60408,21.604,15.10738,12.70646,18,7,0
21.60068,15.10466,12.54528,21.56868,15.11144,12.70931,21.55652,15.11446,12.76932,21.61306,15.18008,12.86988,19,7,1
21.5945,15.05233,12.39372,21.56165,15.05406,12.56837,21.54917,15.05531,12.6325,21.60553,15.12001,12.73594,20,7,2
21.6071,15.06288,12.3963,21.57803,15.06724,12.57049,21.56801,15.07025,12.63455,21.62202,15.13295,12.73746,21,8,0
21.61698,15.14564,12.63131,21.58911,15.15667,12.78754,21.57959,15.16246,12.84599,21.63419,15.22887,12.94911,22,8,1
21.60972,15.0854,12.46388,21.58092,15.09127,12.6316,21.57105,15.0952,12.69432,21.62535,15.16,12.79968,23,8,2
21.38132,14.90455,12.44752,21.34649,14.91247,12.61638,21.32984,14.91405,12.67913,21.3588,14.96265,12.78298,24,9,0
21.39656,15.02209,12.718,21.36368,15.03902,12.86791,21.34797,15.04489,12.92502,21.37856,15.10198,13.03148,25,9,1
21.38578,14.94016,12.53396,21.35148,14.95066,12.69568,21.33514,14.95383,12.75695,21.36477,15.00659,12.86434,26,9,2
21.21198,14.81377,12.52848,21.18695,14.83691,12.6938,21.17655,14.84659,12.75644,21.20508,14.90134,12.86435,27,10,0
21.21606,14.84402,12.59091,21.19151,14.86914,12.75167,21.18124,14.87903,12.81177,21.20967,14.93231,12.91453,28,10,1
21.20571,14.76576,12.42501,21.17992,14.78553,12.59826,21.16914,14.79345,12.66291,21.1968,14.84341,12.76775,29,10,2
21.60651,15.07947,12.46161,21.58849,15.0937,12.63215,21.58687,15.10399,12.69642,21.64887,15.17464,12.80273,30,11,0
21.61098,15.11701,12.56764,21.5936,15.13519,12.73287,21.59217,15.14647,12.79432,21.65422,15.21716,12.89743,31,11,1
21.60477,15.06449,12.41713,21.58665,15.07837,12.59336,21.58497,15.08839,12.65904,21.64685,15.15816,12.76464,32,11,2
21.78868,15.21849,12.43547,21.77534,15.23174,12.60903,21.77925,15.24465,12.67422,21.86299,15.33114,12.78157,33,12,0
21.79586,15.28072,12.63555,21.78322,15.29821,12.79301,21.78732,15.31207,12.85196,21.87091,15.39709,12.95234,34,12,1
21.7901,15.231,12.47798,21.77684,15.24467,12.64657,21.78076,15.2576,12.70992,21.86439,15.34308,12.81384,35,12,2
21.77635,15.2195,12.47626,21.76711,15.23684,12.64631,21.77451,15.25268,12.7103,21.86547,15.34412,12.81516,36,13,0
21.7813,15.26228,12.61159,21.77251,15.28218,12.77028,21.77998,15.29818,12.82918,21.87073,15.38792,12.9283,37,13,1
21.77574,15.21415,12.45842,21.76639,15.23067,12.62863,21.77374,15.24605,12.69221,21.86462,15.33682,12.7955,38,13,2
21.73764,15.18164,12.44866,21.72944,15.19986,12.62005,21.73788,15.21636,12.68404,21.83298,15.31055,12.78804,39,14,0
21.74301,15.22786,12.59297,21.73538,15.24955,12.75409,21.74395,15.2667,12.81387,21.8389,15.35981,12.91401,40,14,1
21.73739,15.17944,12.44144,21.72919,15.19773,12.61406,21.73764,15.2143,12.67851,21.83275,15.30863,12.78291,41,14,2
21.59112,15.05693,12.41481,21.58539,15.08038,12.59058,21.59583,15.09946,12.65606,21.69522,15.19711,12.7613,42,15,0
21.59871,15.12042,12.59413,21.59365,15.14737,12.75462,21.6042,15.16675,12.81391,21.70333,15.26249,12.91377,43,15,1
21.59182,15.06293,12.43269,21.58611,15.08635,12.60586,21.59653,15.10526,12.67025,21.69588,15.2026,12.77462,44,15,2
21.5566,15.03612,12.44534,21.55317,15.06252,12.61954,21.56465,15.08258,12.68412,21.65872,15.17569,12.78744,45,16,0
21.55949,15.0604,12.51296,21.55645,15.08927,12.68399,21.56804,15.10989,12.7471,21.66211,15.20302,12.84985,46,16,1
21.55366,15.01092,12.37185,21.55005,15.03657,12.55458,21.56152,15.05676,12.62239,21.65573,15.15092,12.72888,47,16,2
21.17951,14.71201,12.33838,21.18443,14.7546,12.53003,21.2012,14.78177,12.60072,21.29429,14.87529,12.70803,48,17,0
21.18233,14.73449,12.38914,21.18738,14.77718,12.57413,21.20418,14.80439,12.64303,21.29731,14.89826,12.75043,49,17,1
21.17543,14.67872,12.2604,21.1799,14.7189,12.45832,21.19661,14.746,12.53201,21.28985,14.84078,12.64272,50,17,2
21.02161,14.55914,12.24933,21.02253,14.6011,12.44816,21.03381,14.62558,12.52197,21.0997,14.70091,12.63123,51,18,0
21.02961,14.62143,12.37872,21.03152,14.66814,12.56807,21.04309,14.69389,12.63854,21.10922,14.77034,12.74594,52,18,1
