"","taz_sub","lowInc_0_autos.x","lowInc_autos_lt_workers.x","lowInc_autos_ge_workers.x","medInc_0_autos.x","medInc_autos_lt_workers.x","medInc_autos_ge_workers.x","highInc_0_autos.x","highInc_autos_lt_workers.x","highInc_autos_ge_workers.x","veryHighInc_0_autos.x","veryHighInc_autos_lt_workers.x","veryHighInc_autos_ge_workers.x","destChoiceAlt.x","taz.x","subzone.x","lowInc_0_autos_t.x","lowInc_autos_lt_workers_t.x","lowInc_autos_ge_workers_t.x","medInc_0_autos_t.x","medInc_autos_lt_workers_t.x","medInc_autos_ge_workers_t.x","highInc_0_autos_t.x","highInc_autos_lt_workers_t.x","highInc_autos_ge_workers_t.x","veryHighInc_0_autos_t.x","veryHighInc_autos_lt_workers_t.x","veryHighInc_autos_ge_workers_t.x","mwt.x","subzone_s.x","lowInc_0_autos.y","lowInc_autos_lt_workers.y","lowInc_autos_ge_workers.y","medInc_0_autos.y","medInc_autos_lt_workers.y","medInc_autos_ge_workers.y","highInc_0_autos.y","highInc_autos_lt_workers.y","highInc_autos_ge_workers.y","veryHighInc_0_autos.y","veryHighInc_autos_lt_workers.y","veryHighInc_autos_ge_workers.y","destChoiceAlt.y","taz.y","subzone.y","lowInc_0_autos_t.y","lowInc_autos_lt_workers_t.y","lowInc_autos_ge_workers_t.y","medInc_0_autos_t.y","medInc_autos_lt_workers_t.y","medInc_autos_ge_workers_t.y","highInc_0_autos_t.y","highInc_autos_lt_workers_t.y","highInc_autos_ge_workers_t.y","veryHighInc_0_autos_t.y","veryHighInc_autos_lt_workers_t.y","veryHighInc_autos_ge_workers_t.y","mwt.y","subzone_s.y","mdiff"
"11","1003b",19.51616,13.40554,11.76126,19.4156,13.49299,12.03486,19.33778,13.51679,12.13734,19.26516,13.57249,12.27246,3008,1003,2,328.044776119403,214.60671641791,345.385820895522,317.601492537314,208.69328358209,334.727611940299,309.423880597015,207.458955223881,328.573880597015,300.841791044776,208.605223880597,320.979104477612,323.461635074627,"b",19.67814,13.63436,11.99494,19.58348,13.71614,12.2367,19.51052,13.73625,12.32445,19.45491,13.7965,12.45088,3008,1003,2,321.646268656716,215.952985074627,336.334328358209,311.898507462687,211.366417910448,331.20447761194,304.229104477612,208.941044776119,327.992537313433,294.617164179105,206.947014925373,324.451492537313,320.932185074627,"b",3.23948283582092
"12","1003c",19.5426,13.54606,11.91542,19.44915,13.64071,12.17113,19.37607,13.66912,12.26792,19.30978,13.72878,12.39684,3006,1003,0,330.017910447761,225.09328358209,356.890298507463,320.105223880597,219.717164179104,344.897014925373,312.281343283582,218.826865671642,338.318656716418,304.171641791045,220.268656716418,330.261194029851,332.968408955224,"c",19.69536,13.72186,12.09074,19.60338,13.80117,12.31657,19.53215,13.82055,12.39865,19.4792,13.8809,12.52057,3006,1003,0,322.931343283582,222.482835820896,343.483582089552,313.383582089552,217.711940298508,337.164925373134,305.84328358209,215.232089552239,333.529850746269,296.429850746269,213.24552238806,329.65223880597,326.486624626866,"c",3.37273283582095
"13","1004a",18.55611,13.07441,11.8044,18.51084,13.27413,12.09105,18.46977,13.34708,12.19801,18.45428,13.45771,12.33849,3010,1004,1,256.399253731343,189.89552238806,348.605223880597,250.082089552239,192.360447761194,338.920895522388,244.647014925373,194.794029850746,333.101492537313,240.328358208955,200.039552238806,325.906716417911,319.753014925373,"a",18.74344,13.33641,12.04074,18.69864,13.50979,12.29142,18.65627,13.56894,12.38173,18.64098,13.67329,12.51261,3010,1004,1,251.892537313433,193.717910447761,339.75223880597,245.865671641791,195.967164179105,335.288059701493,240.479104477612,196.455223880597,332.267164179104,233.876119402985,197.75223880597,329.058208955224,317.278428358209,"a",3.56050671641799
"14","1004b",18.52251,12.96996,11.72605,18.46366,13.15951,12.01262,18.41508,13.22878,12.11993,18.39006,13.33559,12.2604,3011,1004,2,253.891791044776,182.100746268657,342.758208955224,246.561194029851,183.80671641791,333.067910447761,240.565671641791,185.965671641791,327.274626865672,235.535820895522,190.926119402985,320.079104477612,313.987964925373,"b",18.70195,13.21623,11.94832,18.64349,13.38174,12.2007,18.59377,13.43813,12.29207,18.56824,13.53865,12.4229,3011,1004,2,248.796268656716,184.749253731343,332.855223880597,241.75,186.411194029851,328.517910447761,235.814925373134,186.69328358209,325.576119402985,228.44776119403,187.70447761194,322.363432835821,310.617208955224,"b",4.45714104477617
"15","1004c",18.53284,13.00288,11.75052,18.47315,13.18321,12.02861,18.42393,13.24844,12.13269,18.39772,13.35055,12.26978,3009,1004,0,254.662686567164,184.557462686567,344.584328358209,247.269402985075,185.575373134328,334.261194029851,241.226119402985,187.432835820895,328.226865671642,236.107462686567,192.042537313433,320.779104477612,315.130719402985,"c",18.72377,13.28061,11.99751,18.66863,13.44126,12.24244,18.62098,13.49618,12.3314,18.59773,13.59426,12.45947,3009,1004,0,250.424626865671,189.553731343284,336.526119402985,243.626119402985,190.852985074627,331.632835820896,237.84552238806,191.025373134328,328.511194029851,230.648507462686,191.85447761194,325.092537313433,313.677447014925,"c",4.41921716417909
"16","1005a",17.61192,12.71197,11.65887,17.62034,12.9623,11.95469,17.61138,13.0548,12.06491,17.61923,13.18174,12.20729,3013,1005,1,185.937313432836,162.84776119403,337.744776119403,183.626865671642,169.089552238806,328.744776119403,180.588059701493,172.982089552239,323.168656716418,178.011194029851,179.444776119403,316.115671641791,303.381796268657,"a",17.83932,12.97072,11.87007,17.83997,13.18711,12.13252,17.82331,13.26311,12.22707,17.8341,13.38262,12.36023,3013,1005,1,184.420895522388,166.427611940299,327.015671641791,181.785820895522,171.886567164179,323.429850746269,178.317910447761,173.632089552239,320.725373134328,173.661194029851,176.060447761194,317.686567164179,299.677532835821,"a",3.96062089552242
"17","1005b",17.61192,12.71197,11.65887,17.62034,12.9623,11.95469,17.61138,13.0548,12.06491,17.61923,13.18174,12.20729,3014,1005,2,185.937313432836,162.84776119403,337.744776119403,183.626865671642,169.089552238806,328.744776119403,180.588059701493,172.982089552239,323.168656716418,178.011194029851,179.444776119403,316.115671641791,303.381796268657,"b",17.83932,12.97072,11.87007,17.83997,13.18711,12.13252,17.82331,13.26311,12.22707,17.8341,13.38262,12.36023,3014,1005,2,184.420895522388,166.427611940299,327.015671641791,181.785820895522,171.886567164179,323.429850746269,178.317910447761,173.632089552239,320.725373134328,173.661194029851,176.060447761194,317.686567164179,299.677532835821,"b",4.00540373134334
"18","1005c",17.61192,12.71197,11.65887,17.62034,12.9623,11.95469,17.61138,13.0548,12.06491,17.61923,13.18174,12.20729,3012,1005,0,185.937313432836,162.84776119403,337.744776119403,183.626865671642,169.089552238806,328.744776119403,180.588059701493,172.982089552239,323.168656716418,178.011194029851,179.444776119403,316.115671641791,303.381796268657,"c",17.83932,12.97072,11.87007,17.83997,13.18711,12.13252,17.82331,13.26311,12.22707,17.8341,13.38262,12.36023,3012,1005,0,184.420895522388,166.427611940299,327.015671641791,181.785820895522,171.886567164179,323.429850746269,178.317910447761,173.632089552239,320.725373134328,173.661194029851,176.060447761194,317.686567164179,299.677532835821,"c",4.01147164179099
"19","1006a",19.57916,13.47253,11.79236,19.47316,13.56043,12.06735,19.38955,13.58355,12.17009,19.30864,13.63808,12.30519,3016,1006,1,332.746268656717,219.605970149254,347.70671641791,321.897014925373,213.726119402985,337.15223880597,313.287313432836,212.441044776119,331.017910447761,304.086567164179,213.5,323.421641791045,326.222017164179,"a",19.74537,13.6565,11.96759,19.64738,13.73248,12.21223,19.57187,13.74901,12.3002,19.51556,13.80703,12.42763,3016,1006,1,326.663432835821,217.605223880597,334.293283582089,316.667164179104,212.585820895522,329.378358208955,308.807462686567,209.89328358209,326.182835820895,299.14328358209,207.732835820895,322.716417910448,319.889685074627,"a",4.49270373134334
"20","1006b",19.56736,13.40445,11.714,19.45611,13.47912,11.99029,19.36918,13.49611,12.09382,19.28348,13.54369,12.22953,3017,1006,2,331.865671641791,214.525373134328,341.858955223881,320.624626865672,207.658208955224,331.401492537313,311.767164179104,205.915671641791,325.326119402985,302.208955223881,206.455970149254,317.775373134328,320.870078358209,"b",19.73267,13.58445,11.88388,19.62987,13.64873,12.13059,19.55152,13.66008,12.21974,19.49109,13.71159,12.34732,3017,1006,2,325.715671641791,212.228358208955,328.046268656716,315.360447761194,206.335820895522,323.285820895522,307.288805970149,203.256716417911,320.178358208955,297.317164179104,200.610447761194,316.723134328358,314.230014179104,"b",3.12178805970149
"21","1006c",19.56775,13.4068,11.71673,19.45788,13.48778,11.99848,19.3718,13.50768,12.10387,19.28754,13.55936,12.24199,3015,1006,0,331.894776119403,214.700746268657,342.062686567164,320.75671641791,208.30447761194,332.012686567164,311.962686567164,206.779104477612,326.076119402985,302.511940298508,207.625373134328,318.705223880597,321.463037313433,"c",19.73822,13.61646,11.9212,19.63815,13.689,12.16983,19.56144,13.70417,12.25955,19.50344,13.76061,12.38842,3015,1006,0,326.129850746268,214.617164179105,330.831343283582,315.978358208955,209.341044776119,326.214179104478,308.029104477612,206.547014925373,323.149253731343,298.238805970149,204.268656716418,319.790298507463,316.967969402985,"c",3.43258656716415
"22","1007a",19.8376,13.61969,11.79246,19.72794,13.68001,12.06406,19.64232,13.68983,12.16537,19.5565,13.72772,12.29838,3019,1007,1,352.032835820895,230.588059701493,347.714179104478,340.910447761194,222.65,336.90671641791,332.150746268657,220.372388059701,330.665671641791,322.583582089552,220.189552238806,322.913432835821,328.271855223881,"a",19.99704,13.79101,11.95587,19.89485,13.84208,12.19839,19.81691,13.84661,12.28518,19.75756,13.89065,12.41093,3019,1007,1,345.444776119403,227.64328358209,333.418656716418,335.135074626866,220.764925373134,328.34552238806,327.094029850746,217.176865671642,325.061940298507,317.202985074627,213.973134328358,321.470149253731,321.183698507463,"a",3.76256716417919
"23","1007b",19.82805,13.55823,11.71009,19.71425,13.60537,11.98368,19.62601,13.60884,12.08607,19.53639,13.63937,12.22004,3020,1007,2,351.320149253731,226.001492537313,341.567164179104,339.888805970149,217.079850746269,330.908208955224,330.933582089552,214.328358208955,324.74776119403,321.082835820896,213.596268656716,317.067164179104,322.765104477612,"b",19.98691,13.72658,11.86876,19.88093,13.76575,12.11377,19.80074,13.76484,12.20197,19.73816,13.80206,12.32815,3020,1007,2,344.688805970149,222.835074626866,326.917910447761,334.096268656716,215.068656716418,322.030597014925,325.887313432836,211.074626865672,318.85223880597,315.755223880597,207.361940298508,315.292537313433,315.397345522388,"b",0.0753589552238623
"24","1007c",19.82703,13.55146,11.70091,19.71312,13.599,11.97679,19.62482,13.60277,12.08012,19.53521,13.634,12.2153,3018,1007,0,351.244029850746,225.496268656716,340.882089552239,339.80447761194,216.60447761194,330.394029850746,330.844776119403,213.875373134328,324.303731343284,320.994776119403,213.19552238806,316.713432835821,322.30988880597,"c",19.98631,13.7226,11.86332,19.88028,13.76209,12.10969,19.80011,13.76154,12.19861,19.73762,13.7995,12.32577,3018,1007,0,344.644029850746,222.538059701493,326.511940298507,334.04776119403,214.79552238806,321.726119402985,325.840298507463,210.828358208955,318.601492537313,315.714925373134,207.170895522388,315.114925373134,315.139201492537,"c",1.03387761194034
"25","1008a",20.05365,13.74672,11.77989,19.94589,13.78458,12.0465,19.86281,13.78374,12.14598,19.77911,13.80865,12.27722,3022,1008,1,368.155970149254,240.067910447761,346.776119402985,357.175373134328,230.453731343284,335.596268656716,348.605223880597,227.380597014925,329.218656716418,339.196268656716,226.229104477612,321.334328358209,329.112380597015,"a",20.20516,13.90671,11.93279,20.10258,13.93842,12.17423,20.02488,13.93393,12.26089,19.96454,13.96628,12.38544,3022,1008,1,360.976119402985,236.277611940299,331.696268656716,350.637313432836,227.95447761194,326.542537313433,342.614179104478,223.69328358209,323.249253731343,332.649253731343,219.617164179104,319.567910447761,321.513896268657,"a",1.69781119402984
"26","1008b",20.04596,13.69275,11.69636,19.9349,13.71769,11.96474,19.84978,13.71047,12.06526,19.76305,13.72745,12.19713,3023,1008,2,367.582089552239,236.040298507463,340.542537313433,356.355223880597,225.461940298507,329.494776119403,347.632835820895,221.912686567164,323.194776119403,337.99776119403,220.169402985075,315.357462686567,323.567300746269,"b",20.19708,13.85047,11.84505,20.09135,13.86978,12.088,20.01178,13.85935,12.17565,19.94875,13.88417,12.30017,3023,1008,2,360.373134328358,232.080597014925,325.148507462687,349.799253731343,222.832089552239,320.107462686567,341.636567164179,218.127611940298,316.888059701492,331.470895522388,213.489552238806,313.20447761194,315.671034328358,"b",-0.012387313432896
"27","1008c",20.04554,13.68979,11.6917,19.9345,13.71515,11.96161,19.84941,13.70836,12.06293,19.76261,13.72518,12.19489,3021,1008,0,367.550746268657,235.819402985075,340.194776119403,356.325373134328,225.272388059701,329.261194029851,347.605223880597,221.755223880597,323.020895522388,337.964925373134,220,315.190298507463,323.35933880597,"c",20.19698,13.84974,11.84389,20.09108,13.86804,12.08579,20.01138,13.85706,12.17302,19.94824,13.8814,12.29729,3021,1008,0,360.365671641791,232.026119402985,325.061940298507,349.779104477612,222.70223880597,319.942537313433,341.60671641791,217.956716417911,316.691791044776,331.432835820895,213.282835820895,312.989552238806,315.518950746269,"c",1.02586417910453
"28","1009a",19.96996,13.69458,11.78399,19.86442,13.74119,12.05129,19.78299,13.74488,12.15112,19.70109,13.77517,12.28299,3025,1009,1,361.910447761194,236.176865671642,347.082089552239,351.09552238806,227.215671641791,335.953731343284,342.648507462687,224.480597014925,329.60223880597,333.373880597015,223.730597014925,321.764925373134,328.667246268657,"a",20.12031,13.85233,11.93624,20.01836,13.8904,12.17789,19.94086,13.88896,12.26475,19.87947,13.92492,12.39025,3025,1009,1,354.644029850746,232.219402985075,331.953731343284,344.35223880597,224.370895522388,326.815671641791,336.344029850746,220.337313432836,323.537313432836,326.300746268657,216.530597014925,319.926865671642,320.960889552239,"a",1.75179925373141
"29","1009b",19.96149,13.63701,11.69989,19.85243,13.67082,11.96945,19.76881,13.66833,12.07056,19.68368,13.69097,12.20327,3026,1009,2,361.278358208955,231.880597014925,340.805970149254,350.200746268657,221.964179104478,329.846268656716,341.590298507463,218.767910447761,323.590298507463,332.074626865672,217.447014925373,315.815671641791,323.098873134328,"b",20.11162,13.79361,11.84994,20.00639,13.8198,12.09384,19.92695,13.81279,12.18201,19.86271,13.8415,12.3077,3026,1009,2,353.995522388059,227.837313432836,325.513432835821,343.458955223881,219.10223880597,320.54328358209,335.305970149254,214.652985074627,317.362686567164,325.05,210.305223880597,313.766417910448,315.2449,"b",0.845803731343381
"30","1009c",19.96173,13.63862,11.70227,19.85277,13.67283,11.9718,19.7692,13.67048,12.07283,19.68413,13.69321,12.20539,3024,1009,0,361.296268656716,232.000746268657,340.983582089552,350.226119402985,222.114179104478,330.021641791045,341.619402985075,218.928358208955,323.759701492537,332.108208955224,217.614179104478,315.973880597015,323.254268656716,"c",20.11234,13.79857,11.85733,20.00749,13.82644,12.10179,19.92828,13.82025,12.19014,19.86425,13.8494,12.31551,3024,1009,0,354.049253731343,228.207462686567,326.064925373134,343.541044776119,219.59776119403,321.136567164179,335.405223880597,215.209701492537,317.969402985075,325.164925373134,210.894776119403,314.349253731343,315.777759701493,"c",2.02077611940291
"31","100a",19.83314,13.9866,12.35728,19.80112,14.08159,12.55741,19.77732,14.11638,12.63352,19.76509,14.18383,12.74625,298,100,1,351.7,257.969402985075,389.864925373134,346.371641791045,252.618656716418,373.723880597015,342.225373134328,252.20447761194,365.60223880597,338.15,254.227611940299,356.336567164179,361.611102985075,"a",19.97515,14.18735,12.5637,19.93636,14.25933,12.73239,19.90638,14.28283,12.79545,19.89274,14.3476,12.90187,298,100,1,343.811194029851,257.220895522388,378.779104477612,338.232835820896,251.902985074627,368.196268656716,333.770895522388,249.730597014925,363.141791044776,327.291044776119,248.073880597015,358.107462686567,357.036123880597,"a",1.70328358208957
"32","100b",19.79867,13.82819,12.1836,19.75987,13.91448,12.39399,19.7326,13.94554,12.47379,19.71499,14.00706,12.58893,299,100,2,349.127611940299,246.14776119403,376.903731343284,343.29328358209,240.14776119403,361.528358208955,338.888059701493,239.455223880597,353.682089552239,334.411194029851,241.035820895522,344.596268656716,350.244569402985,"b",19.93575,14.01591,12.37678,19.89091,14.0824,12.55886,19.85769,14.10322,12.62674,19.83832,14.16195,12.73527,299,100,2,340.870895522388,244.426865671642,364.829850746269,334.841044776119,238.699253731343,355.246268656716,330.137313432836,236.326865671642,350.551492537313,323.229850746269,234.219402985075,345.674626865672,344.938358208955,"b",4.88145000000003
"33","100c",19.80006,13.835,12.19113,19.76134,13.92079,12.40015,19.73411,13.95166,12.47948,19.71676,14.01369,12.59478,297,100,0,349.231343283582,246.655970149254,377.465671641791,343.402985074627,240.618656716418,361.988059701493,339.000746268657,239.911940298507,354.10671641791,334.54328358209,241.530597014925,345.032835820896,350.681967910448,"c",19.94,14.03554,12.39833,19.89553,14.10149,12.57755,19.86253,14.12217,12.64446,19.84372,14.18152,12.75268,297,100,0,341.188059701493,245.891791044776,366.438059701492,335.185820895522,240.123880597015,356.641044776119,330.498507462687,237.741044776119,351.873880597015,323.632835820896,235.679850746269,346.973880597015,346.246152238806,"c",5.14562985074627
"34","1010a",19.14208,13.2943,11.82649,19.08376,13.44262,12.10321,19.03929,13.49632,12.20692,19.01393,13.58495,12.34321,3028,1010,1,300.128358208955,206.305223880597,350.253731343284,292.837313432836,204.934328358209,339.828358208955,287.148507462687,205.931343283582,333.766417910448,282.093283582089,209.535074626866,326.258955223881,325.243335074627,"a",19.23784,13.43965,11.98774,19.16662,13.56741,12.23421,19.10984,13.60798,12.32305,19.07207,13.69073,12.45143,3028,1010,1,288.788059701492,201.422388059702,335.797014925373,280.789552238806,200.267164179105,331.018656716418,274.327611940298,199.368656716418,327.888059701493,266.047014925373,199.053731343284,324.492537313433,317.183388059701,"a",4.24866119402975
"35","1010b",19.12207,13.20462,11.74373,19.05608,13.34157,12.0217,19.00741,13.3908,12.12617,18.9766,13.47472,12.26299,3029,1010,2,298.635074626866,199.612686567164,344.077611940298,290.771641791045,197.39328358209,333.74552238806,284.769402985075,198.05671641791,327.740298507463,279.307462686567,201.308955223881,320.272388059702,319.460876119403,"b",19.21629,13.34769,11.90427,19.13758,13.46577,12.15277,19.07664,13.50257,12.24276,19.0328,13.5803,12.37126,3029,1010,2,287.179850746269,194.559701492537,329.567910447761,278.622388059701,192.682089552239,324.941044776119,271.85,191.50223880597,321.896268656716,263.116417910448,190.812686567164,318.509701492537,311.386594776119,"b",2.69770522388063
"36","1010c",19.12077,13.19859,11.73818,19.05295,13.32964,12.01218,19.00308,13.37582,12.11487,18.97081,13.45689,12.25024,3027,1010,0,298.538059701493,199.162686567164,343.663432835821,290.538059701493,196.502985074627,333.035074626866,284.446268656716,196.938805970149,326.897014925373,278.875373134328,199.978358208955,319.320895522388,318.757455970149,"c",19.21523,13.34303,11.90007,19.13572,13.45898,12.14738,19.07423,13.49464,12.2368,19.02965,13.57106,12.36466,3027,1010,0,287.100746268657,194.211940298508,329.25447761194,278.483582089552,192.175373134328,324.538805970149,271.670149253731,190.910447761194,321.451492537313,262.881343283582,190.123134328358,318.017164179104,310.989131343284,"c",3.15240149253736
