"","taz_sub","lowInc_0_autos.x","lowInc_autos_lt_workers.x","lowInc_autos_ge_workers.x","medInc_0_autos.x","medInc_autos_lt_workers.x","medInc_autos_ge_workers.x","highInc_0_autos.x","highInc_autos_lt_workers.x","highInc_autos_ge_workers.x","veryHighInc_0_autos.x","veryHighInc_autos_lt_workers.x","veryHighInc_autos_ge_workers.x","destChoiceAlt.x","taz.x","subzone.x","lowInc_0_autos_t.x","lowInc_autos_lt_workers_t.x","lowInc_autos_ge_workers_t.x","medInc_0_autos_t.x","medInc_autos_lt_workers_t.x","medInc_autos_ge_workers_t.x","highInc_0_autos_t.x","highInc_autos_lt_workers_t.x","highInc_autos_ge_workers_t.x","veryHighInc_0_autos_t.x","veryHighInc_autos_lt_workers_t.x","veryHighInc_autos_ge_workers_t.x","mwt.x","subzone_s.x","lowInc_0_autos.y","lowInc_autos_lt_workers.y","lowInc_autos_ge_workers.y","medInc_0_autos.y","medInc_autos_lt_workers.y","medInc_autos_ge_workers.y","highInc_0_autos.y","highInc_autos_lt_workers.y","highInc_autos_ge_workers.y","veryHighInc_0_autos.y","veryHighInc_autos_lt_workers.y","veryHighInc_autos_ge_workers.y","destChoiceAlt.y","taz.y","subzone.y","lowInc_0_autos_t.y","lowInc_autos_lt_workers_t.y","lowInc_autos_ge_workers_t.y","medInc_0_autos_t.y","medInc_autos_lt_workers_t.y","medInc_autos_ge_workers_t.y","highInc_0_autos_t.y","highInc_autos_lt_workers_t.y","highInc_autos_ge_workers_t.y","veryHighInc_0_autos_t.y","veryHighInc_autos_lt_workers_t.y","veryHighInc_autos_ge_workers_t.y","mwt.y","subzone_s.y","mdiff"
"1","1000a",18.8759,13.4809,12.10833,18.84402,13.65025,12.35728,18.81131,13.71219,12.45131,18.80055,13.81104,12.58035,2998,1000,1,280.264179104478,220.230597014925,371.286567164179,274.946268656716,220.429104477612,358.788805970149,270.135074626866,222.041044776119,352.00447761194,266.169402985075,226.407462686567,343.955970149254,340.505429850746,"a",19.06408,13.70861,12.32195,19.02716,13.85548,12.54161,18.98997,13.90554,12.62164,18.9774,14.00184,12.74515,2998,1000,1,275.820895522388,221.494029850746,360.738059701492,270.382089552239,221.764925373134,353.958955223881,265.382089552239,221.574626865672,350.170895522388,258.982089552239,222.270895522388,346.411940298507,336.922982089552,"a",4.68228358208967
"2","1000b",18.82103,13.32194,11.97626,18.77403,13.48518,12.23137,18.73304,13.54475,12.32792,18.71147,13.64095,12.45901,2999,1000,2,276.169402985075,208.367910447761,361.430597014925,269.723134328358,208.110447761194,349.392537313433,264.294029850746,209.54552238806,342.796268656716,259.521641791045,213.714179104478,334.900746268657,331.36967761194,"b",19.00494,13.54379,12.183,18.95359,13.68567,12.40925,18.90852,13.73376,12.49198,18.88443,13.82669,12.6168,2999,1000,2,271.407462686567,209.194029850746,350.368656716418,264.891791044776,209.092537313433,344.081343283582,259.303731343284,208.755223880597,340.494776119403,252.044029850746,209.2,336.833582089552,327.317325373134,"b",4.79152537313433
"3","1000c",18.82292,13.32769,11.98098,18.77666,13.49169,12.23624,18.73623,13.55189,12.33308,18.71493,13.64783,12.4638,2997,1000,0,276.310447761194,208.797014925373,361.782835820896,269.919402985075,208.596268656716,349.755970149254,264.532089552239,210.078358208955,343.181343283582,259.779850746269,214.227611940299,335.258208955224,331.72503880597,"c",19.00535,13.54501,12.18401,18.95407,13.68683,12.41013,18.90904,13.7349,12.49283,18.88498,13.82778,12.61758,2997,1000,0,271.438059701492,209.285074626866,350.444029850746,264.927611940299,209.179104477612,344.147014925373,259.342537313433,208.840298507463,340.558208955224,252.085074626866,209.281343283582,336.891791044776,327.381099253731,"c",4.75721194029853
"4","1001a",18.97638,13.2465,11.84589,18.93405,13.41224,12.12225,18.90074,13.47307,12.22561,18.8869,13.56842,12.36165,3001,1001,1,287.762686567164,202.738059701493,351.701492537313,281.664925373134,202.667164179105,341.249253731343,276.808955223881,204.196268656716,335.161194029851,272.613432835821,208.301492537313,327.635074626866,325.22497238806,"a",19.11273,13.45283,12.04792,19.05661,13.58757,12.28446,19.01085,13.6325,12.37051,18.98388,13.7173,12.4948,3001,1001,1,279.451492537313,202.405970149254,340.288059701493,272.579850746269,201.771641791045,334.768656716418,266.940298507463,201.198507462687,331.429850746269,259.465671641791,201.036567164179,327.729104477612,319.643921641791,"a",4.29415746268648
"5","1001b",18.9512,13.14592,11.75941,18.89997,13.30167,12.03763,18.86209,13.35896,12.1421,18.84233,13.45061,12.27906,3002,1001,2,285.883582089552,195.232089552239,345.24776119403,279.121641791045,194.415671641791,334.934328358209,273.924626865672,195.680597014925,328.929104477612,269.287313432836,199.509701492537,321.471641791045,319.174501492537,"b",19.08242,13.33953,11.95015,19.01771,13.46755,12.19144,18.96731,13.50994,12.27955,18.93378,13.5914,12.40518,3002,1001,2,277.189552238806,193.950746268657,332.991791044776,269.676865671642,192.814925373134,327.826865671642,263.691044776119,192.05223880597,324.641791044776,255.726865671642,191.641044776119,321.041044776119,312.979230597015,"b",3.74727014925378
"6","1001c",19.00564,13.35468,11.94022,18.96595,13.50875,12.19786,18.93436,13.56586,12.29535,18.92329,13.65873,12.42688,3000,1001,0,289.946268656716,210.811194029851,358.741044776119,284.04552238806,209.869402985075,346.891791044776,279.317910447761,211.120895522388,340.365671641791,275.329104477612,215.041044776119,332.502985074627,330.67546119403,"c",19.14039,13.5487,12.1318,19.08954,13.6822,12.35952,19.04688,13.7272,12.44271,19.02588,13.8161,12.56734,3000,1001,0,281.515671641791,209.560447761194,346.54776119403,275.037313432836,208.833582089552,340.370149253731,269.629104477612,208.265671641791,336.817910447761,262.6,208.409701492537,333.142537313433,325.091091044776,"c",3.68413059701481
"7","1002a",19.24513,13.53232,12.03055,19.19963,13.67449,12.28226,19.16336,13.72656,12.3776,19.14374,13.81091,12.50499,3004,1002,1,307.818656716418,224.067910447761,365.482089552239,301.484328358209,222.238059701493,353.190298507463,296.407462686567,223.113432835821,346.503731343284,291.780597014925,226.39776119403,338.332089552239,338.342241044776,"a",19.34771,13.69567,12.20578,19.2883,13.81667,12.4276,19.23882,13.85543,12.50803,19.20861,13.93628,12.62932,3004,1002,1,296.987313432836,220.528358208955,352.068656716418,289.870149253731,218.868656716418,345.450746268657,283.952985074627,217.835074626866,341.692537313433,276.236567164179,217.378358208955,337.767910447761,331.339281343284,"a",3.50639104477619
"8","1002b",19.21059,13.39488,11.89928,19.1552,13.52803,12.15786,19.11359,13.57648,12.2559,19.08704,13.65707,12.38587,3005,1002,2,305.241044776119,213.811194029851,355.685820895522,298.168656716418,211.308208955224,343.90671641791,292.693283582089,211.913432835821,337.421641791045,287.549253731343,214.917164179104,329.442537313433,329.547402238806,"b",19.30927,13.55153,12.06987,19.23982,13.6651,12.29935,19.18473,13.7008,12.38291,19.14632,13.77723,12.50609,3005,1002,2,294.118656716418,209.771641791045,341.926119402985,286.25223880597,207.557462686567,335.879850746269,279.916417910448,206.29552238806,332.355223880597,271.588059701493,205.508955223881,328.571641791045,322.239435074627,"b",1.90736492537314
"9","1002c",19.17395,13.2314,11.74426,19.11104,13.36552,12.02321,19.06503,13.41349,12.12784,19.03293,13.49437,12.26457,3003,1002,0,302.506716417911,201.611194029851,344.117164179105,294.873134328358,199.180597014925,333.858208955224,289.069402985075,199.75,327.864925373134,283.511194029851,202.775373134328,320.390298507463,320.019212686567,"c",19.27459,13.40667,11.93449,19.19731,13.51761,12.17756,19.13769,13.55201,12.26615,19.09205,13.62443,12.39204,3003,1002,0,291.530597014925,198.961194029851,331.823134328358,283.079850746269,196.550746268657,326.791044776119,276.405970149254,195.191791044776,323.641791044776,267.538059701493,194.105970149254,320.060447761194,313.58446641791,"c",2.26350820895522
"10","1003a",19.5304,13.48321,11.84673,19.43571,13.58353,12.1182,19.36146,13.61301,12.21949,19.2939,13.67515,12.35372,3007,1003,1,329.107462686567,220.402985074627,351.764179104478,319.10223880597,215.45,340.947014925373,311.191044776119,214.639552238806,334.70447761194,302.986567164179,216.266417910448,327.043283582089,329.264885820896,"a",19.69754,13.73255,12.10238,19.60966,13.8269,12.34082,19.54073,13.85258,12.42702,19.49084,13.91965,12.55289,3007,1003,1,323.094029850746,223.280597014925,344.35223880597,313.85223880597,219.632089552239,338.974626865672,306.483582089552,217.622388059702,335.647014925373,297.298507462686,216.137313432836,332.064179104478,328.191296268657,"a",2.78748358208958
