superdistrict,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
33,41680,99456,7865,7339,8193,18283,31095.0,14501.0,54506,295,4230,5474,13450,16325,14732,0.670204212896,40027113.0,734.361593219
9,96610,245797,21325,15211,21579,38495,44556.0,57871.0,298389,1600,110132,14159,74809,50439,47250,1.08414130532,274374695.0,919.520139817
17,121051,345480,27605,26107,29788,37551,85468.0,39486.0,134862,257,39479,14755,18449,35630,26292,0.708165629241,170065760.0,1261.03542881
16,101602,304920,14842,13645,23723,49392,72948.0,28146.0,129613,485,39991,14092,25925,30925,18195,0.696400175467,159585842.0,1231.24873277
15,69495,189305,8546,8557,14871,37521,55658.0,13961.0,127348,1378,18182,20023,35251,25413,27101,0.624303783823,107584623.0,844.80810849
18,180878,455705,62864,39329,33772,44913,96105.0,87212.0,201719,533,22143,12516,38180,70388,57959,0.941043650174,201033494.0,996.601678573
24,89198,271331,17951,15298,23044,32905,81149.0,16318.0,55648,742,4623,9806,9479,18027,12971,0.549593956796,61308665.0,1101.72270342
34,38389,94170,4393,4794,5697,23505,27368.0,14180.0,38913,165,2237,4727,10257,13948,7579,0.701348289974,26713448.0,686.491609488
30,88246,226310,20543,18917,21382,27404,70259.0,26024.0,98430,1665,14112,12906,18677,31644,19426,0.628004953102,85233661.0,865.931738291
32,22358,56063,3639,3913,5056,9750,17535.0,6519.0,26887,181,1706,2546,10766,6216,5472,0.6375249501,19756363.0,734.792390375
27,34368,95468,7979,7099,8076,11214,27840.0,9380.0,43029,737,6797,6103,6853,15259,7280,0.61724137931,51876700.0,1205.62178996
10,117990,307149,22913,17102,22778,55197,85007.0,39496.0,122215,526,18251,17390,25477,40855,19716,0.694001670451,93746909.0,767.065491143
1,84264,154747,37611,16160,13025,17468,1732.0,84962.0,355863,525,20565,18680,152911,80699,82483,24.3256351039,281886995.0,792.122235242
3,121331,318977,29908,22160,25044,44219,59590.0,66839.0,131763,164,14432,8176,23075,47259,38657,1.01804833026,171417214.0,1300.95105606
6,82002,203767,10308,10691,15732,45271,54515.0,31840.0,91653,484,7982,10688,31048,24004,17447,0.75210492525,63338672.0,691.070363218
31,32888,82274,7685,6749,7796,10658,33692.0,5978.0,23219,1851,4167,2753,3298,6281,4869,0.488068384186,24441468.0,1052.64946811
7,77556,213045,10487,9277,14153,43639,58442.0,23076.0,140612,1534,22100,8778,36295,32675,39230,0.663529653332,101074837.0,718.820847438
19,74357,163784,25506,14077,13755,21019,36807.0,36588.0,118356,103,11876,8617,31087,47823,18850,1.0100931888,103997728.0,878.685727804
29,62638,155805,13157,12290,15091,22100,50998.0,17542.0,60340,1569,9586,8291,12860,17427,10607,0.614122122436,55598640.0,921.422605237
12,104172,371533,18620,16791,22697,46064,86382.0,24106.0,99578,309,23692,11940,17566,25186,20885,0.602972841564,96290271.0,966.983379863
23,51207,137037,3477,3761,6811,37158,47407.0,6114.0,64694,1151,5128,6379,16064,15839,20133,0.540078469424,52745020.0,815.300027823
22,58749,134301,9026,8160,11895,29668,41954.0,20603.0,88274,663,5657,8201,27718,33492,12543,0.700159698718,60604472.0,686.549516279
2,107274,216195,24847,18016,20505,43906,16765.0,93855.0,81571,130,3352,6597,12567,30816,28109,3.19934387116,74268936.0,910.482107612
5,96368,277934,14179,15087,23622,43480,71682.0,31000.0,111377,518,22888,13647,19890,32458,21976,0.672191066097,105007505.0,942.811397326
14,33080,103482,7264,4953,7179,13684,27426.0,8244.0,43542,2250,9470,6753,7191,10509,7369,0.603077371837,52538860.0,1206.62486794
8,70900,169724,14754,10440,11534,34172,44048.0,30720.0,143225,382,11648,9552,34917,70928,15798,0.804803850345,104824740.0,731.88856694
13,71123,207794,11266,9853,15254,34750,57877.0,17213.0,49701,302,7953,7969,11692,14378,7407,0.614432330632,41307734.0,831.124806342
11,102101,287141,29769,21496,22074,28762,58137.0,50656.0,129640,384,15712,10464,32158,34807,36115,0.87810688546,121802592.0,939.544831842
20,87937,244098,22747,18476,20345,26369,66451.0,28865.0,70388,517,14181,9040,10482,20180,15988,0.661667995967,74265044.0,1055.08103654
28,14936,36263,3092,2689,3055,6100,14606.0,2946.0,19478,2479,4005,1857,2138,5910,3089,0.511296727372,19440819.0,998.091128453
21,84006,216488,16155,14850,20739,32262,63591.0,26747.0,110795,500,12763,12203,21925,32442,30962,0.66051799783,87164998.0,786.723209531
4,50423,129879,10729,8639,10420,20635,35192.0,17582.0,26844,22,1197,3800,4903,8851,8071,0.716398613321,26571115.0,989.834413649
26,88081,246875,16156,18134,22676,31115,72061.0,16006.0,87751,2097,12666,12632,14014,22766,23576,0.611155826314,80119125.0,913.02805666
25,51690,141317,11195,9594,12443,18458,36071.0,16970.0,44830,218,5926,5334,9717,11932,11703,0.716503562419,38864802.0,866.937363373
