superdistrict,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
33,60093,163781,7917,8806,12484,30886,47494.0,15299.0,50241,244,3080,3552,11913,19712,11740,0.632637806881,33553141.014,667.8438131
9,145556,382575,32246,25295,31662,56353,64412.0,85130.0,513597,3819,114508,22267,188767,128159,56077,1.12988263057,289791552.769,564.239185137
17,151486,410531,29446,26349,34119,61572,105036.0,47010.0,179576,354,42052,21402,21771,51342,42655,0.721114665448,147340396.723,820.490470457
16,118192,331778,16715,16469,25358,59650,85818.0,29510.0,189658,787,53664,19956,30236,51687,33328,0.688620103009,147227150.827,776.277039867
18,291950,725476,100716,62749,56878,71607,104870.0,188027.0,258545,341,22282,15429,54911,100110,65472,1.39196147611,176389674.78,682.239744649
24,166355,442915,37396,31341,38508,59110,140096.0,31938.0,80740,655,6366,15192,8958,25431,24138,0.593717879169,58058376.7794,719.078236059
34,55960,157350,4404,6110,10000,35446,32360.0,25306.0,35003,197,1394,2966,7515,14574,8357,0.864647713226,22185497.5977,633.817032761
30,99547,263999,19084,18751,23998,37714,75009.0,29634.0,101501,2088,9202,14363,15358,35333,25157,0.663567038622,74889040.6681,737.815791649
32,29387,80618,3503,4189,6269,15426,24185.0,6540.0,25364,221,1670,1990,7045,9108,5330,0.607545999587,16977591.7838,669.357821472
27,36595,97815,7361,6968,8502,13764,28383.0,9641.0,55964,671,12056,12029,3733,13913,13562,0.644664059472,46343339.5282,828.091979276
10,136376,370700,22047,19772,28720,65837,96813.0,43297.0,193725,903,18926,28183,36307,77694,31712,0.704326898247,98077634.3256,506.272470387
1,122824,278660,57705,27737,19238,18144,1801.0,122241.0,386883,237,8634,11072,183248,105884,77808,34.0988339811,237676181.608,614.336069581
15,97491,271406,11322,12559,21310,52300,81454.0,15708.0,132143,1778,18827,16872,27335,36072,31259,0.59844206546,92518165.8848,700.136714656
3,195021,487698,64673,40037,38203,52108,61629.0,136193.0,162430,165,11882,7875,37614,56778,48116,1.58221778708,154922372.157,953.779302821
6,114054,309099,16496,15698,23263,58597,75588.0,41635.0,194526,873,8113,5744,83381,74757,21658,0.754445150024,91632457.4774,471.055064503
31,37697,101249,5951,6716,9269,15761,33820.0,6100.0,23061,1740,2435,3453,3348,6363,5722,0.557318154938,22484586.7809,975.004847182
7,111819,306019,17315,15154,21808,57542,73409.0,40921.0,267153,1237,19202,5883,121651,89733,29447,0.761616423054,126669849.781,474.147210702
19,92947,226776,30926,19402,18644,23975,39597.0,51297.0,114274,117,8346,7258,22763,47745,28045,1.17366214612,91139373.531,797.551267401
29,80373,213053,14391,14387,18770,32825,66449.0,18120.0,101361,2142,7351,7757,30158,34730,19223,0.604772080844,65915059.2547,650.300009419
12,161131,454871,27827,25301,35524,72479,116349.0,49252.0,117725,418,29178,21240,12373,29619,24897,0.692446862457,84801392.1853,720.334611894
23,63325,179363,4681,5867,11942,40835,58899.0,6311.0,60164,746,4707,5530,15412,18262,15507,0.537572794105,44859360.2454,745.617981607
22,74925,202242,9916,9908,15496,39605,50675.0,26680.0,119588,700,4527,5990,41516,46435,20420,0.739269856931,57191520.4318,478.237953907
2,121455,293107,37012,24912,23878,35653,18965.0,103859.0,49903,37,1497,4800,6922,18470,18177,3.20208278408,54023718.4155,1082.57456296
5,115544,316205,18750,17899,26145,52750,84471.0,34319.0,284080,2066,16799,8451,141240,83302,32222,0.683927028211,152409266.273,536.501218929
14,34917,98664,5381,5180,7967,16389,28122.0,8539.0,57200,1485,14962,12602,4938,12124,11089,0.620812886708,45453769.0,794.646311189
8,95511,253468,17755,14269,18613,44874,60128.0,37623.0,155057,565,14905,9142,46697,62783,20965,0.794230641299,94393279.8645,608.76503392
11,163926,432780,40091,30419,36369,57047,77193.0,90328.0,254186,585,37508,29640,46438,84148,55867,1.06179316777,136781447.13,538.11558123
20,129166,344012,28836,23641,28836,47853,91196.0,42053.0,102676,336,14536,11312,17469,31104,27919,0.708177990263,70497518.4823,686.601722723
28,17192,46123,2602,2987,3907,7696,15096.0,2946.0,17797,1025,2607,4530,971,4289,4375,0.56942236354,16849590.5018,946.765775232
21,122608,326386,22815,20591,28148,51054,86828.0,39857.0,132220,745,11872,12431,33069,41989,32114,0.70603952642,80627663.1779,609.799297973
13,96239,263784,16056,14836,21473,43874,77482.0,21679.0,59761,283,10178,14610,6566,17939,10185,0.621041015978,38086560.8493,637.314650847
4,61683,159812,15230,11860,13145,21448,36009.0,26722.0,17838,13,441,2604,2341,7411,5028,0.856494209781,23017619.0992,1290.36994614
26,101159,273876,18162,18216,24269,40512,81812.0,16267.0,110282,2124,18588,20650,12651,30835,25434,0.618240600401,77181810.5501,699.858640123
25,61822,167532,11096,10233,14299,26194,39970.0,20700.0,69229,352,10550,9103,13162,20595,15467,0.773355016262,43918379.1532,634.392800029
