superdistrict,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
33,41718,99861,7882,7338,8112,18386,31095.0,14507.0,53841,287,4240,5447,13348,15882,14637,0.670815243608,34602742.0,642.683865456
9,96519,245389,21255,15201,21573,38490,44556.0,57871.0,299460,1746,110407,14200,75036,50723,47348,1.0831201185,237240601.0,792.228013758
17,121154,345754,27671,26133,29898,37452,85468.0,39486.0,135148,286,39440,14802,18449,35810,26361,0.708768193944,147048616.0,1088.05617545
16,101804,305494,14897,13714,23802,49391,72948.0,28146.0,130295,502,40042,14242,26020,31167,18322,0.697784723365,137987132.0,1059.03627921
15,69504,189112,8514,8638,14944,37408,55658.0,13961.0,126748,1299,18155,19921,35173,25207,26993,0.624384634734,93023819.0,733.927312463
18,180922,456525,62818,39472,33716,44916,96107.0,87199.0,204490,559,22257,12595,38698,71897,58484,0.941252978451,173824789.0,850.040534989
24,88948,270584,18005,15249,23010,32684,81149.0,16318.0,55963,735,4614,9922,9512,18194,12986,0.548053580451,53010925.0,947.249522006
34,38421,94439,4381,4844,5585,23611,27368.0,14180.0,38426,162,2276,4639,10157,13677,7515,0.701932914353,23097983.0,601.102977151
30,88528,226832,20685,19012,21454,27377,70259.0,26024.0,97929,1712,14057,12787,18534,31467,19372,0.630011813433,73697779.0,752.563377549
32,22254,55904,3680,3874,4981,9719,17535.0,6519.0,26452,155,1681,2529,10713,5972,5402,0.634559452524,17082509.0,645.792718887
27,34344,95437,7982,7082,8067,11213,27840.0,9380.0,43168,758,6789,6075,6880,15318,7348,0.616810344828,44855569.0,1039.09305504
10,117996,307205,22915,17047,22874,55160,85007.0,39496.0,122363,529,18282,17393,25529,40951,19679,0.694036961662,81059058.0,662.447455522
1,84238,154600,37535,16135,13109,17459,1732.0,84962.0,355016,522,20552,18693,152364,80472,82413,24.3181293303,243736198.0,686.549896343
3,121377,319336,29913,22184,25048,44232,59590.0,66839.0,132707,173,14506,8238,23327,47623,38840,1.01843430106,148314795.0,1117.61093989
6,81931,203419,10233,10727,15760,45211,54590.0,31660.0,90892,457,7985,10635,30929,23544,17342,0.750421322587,54764694.0,602.524908683
31,32902,82391,7637,6766,7802,10697,33692.0,5978.0,22984,1801,4104,2730,3313,6229,4807,0.488276148641,21133289.0,919.478289245
7,77429,212475,10482,9242,14132,43573,58442.0,23076.0,140077,1525,21989,8752,36274,32306,39231,0.662443105985,87395132.0,623.907793571
19,74244,163661,25404,14038,13745,21057,36807.0,36588.0,118167,105,11815,8640,31064,47670,18873,1.0085581547,89922489.0,760.978014166
29,62694,155820,13162,12230,15065,22237,50998.0,17542.0,60112,1561,9474,8343,12882,17323,10529,0.614671163575,48073657.0,799.734778414
12,104209,371220,18633,16642,22821,46113,86382.0,24106.0,99467,345,23755,11974,17515,25101,20777,0.603187006552,83258230.0,837.043743151
23,51192,137221,3456,3765,6821,37150,47407.0,6114.0,63659,1051,5092,6279,15855,15406,19976,0.53992026494,45606481.0,716.418432586
22,58637,133781,9052,8169,11817,29599,41954.0,20603.0,88640,749,5620,8116,28014,33692,12449,0.698824903466,52402200.0,591.180054152
2,107196,216235,24737,18017,20586,43856,16765.0,93855.0,81607,127,3384,6603,12541,30851,28101,3.19701759618,64217078.0,786.906490865
5,96553,278289,14171,15058,23643,43681,71682.0,31000.0,110785,532,22754,13715,19824,32106,21854,0.673481487682,90795524.0,819.565139685
14,33079,103098,7295,4944,7158,13682,27426.0,8244.0,43798,2277,9482,6803,7256,10514,7466,0.603059140961,45428078.0,1037.21809215
8,71005,170179,14779,10390,11562,34274,44048.0,30720.0,142407,353,11542,9516,34806,70468,15722,0.805995731929,90637624.0,636.468881445
13,71209,208001,11298,9878,15241,34792,57877.0,17213.0,49665,258,7947,7918,11753,14405,7384,0.615175285519,35717117.0,719.160716803
11,102054,287046,29730,21524,22097,28703,58137.0,50656.0,130149,363,15709,10522,32266,35130,36159,0.877702667836,105317424.0,809.206555563
20,87872,244287,22756,18460,20284,26372,66451.0,28865.0,70856,510,14238,9079,10542,20434,16053,0.661178913786,64213736.0,906.256858982
28,14828,35801,3049,2715,3025,6039,14606.0,2946.0,19426,2429,4053,1851,2136,5858,3099,0.507599616596,16809639.0,865.316534541
21,84029,216234,16160,14886,20835,32148,63591.0,26747.0,110740,493,12666,12120,21877,32697,30887,0.660698841031,75367936.0,680.584576485
4,50305,129613,10688,8624,10456,20537,35192.0,17582.0,26967,11,1181,3834,4926,8884,8131,0.714722095931,22974854.0,851.961805169
26,88096,247153,16192,18097,22630,31177,72061.0,16006.0,87916,2120,12740,12565,13934,22879,23678,0.611259904803,69275656.0,787.975522089
25,51758,141274,11110,9628,12425,18595,36071.0,16970.0,44725,224,6001,5366,9639,11874,11621,0.717446147875,33604702.0,751.362817216
