superdistrict,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
33,41628,99674,8154,7329,7639,18506,31095.0,14501.0,52616,239,4157,5352,13214,15251,14403,0.669368065605,30096847.0228,572.009408218
9,96587,245415,22758,15209,20359,38261,44556.0,57871.0,298891,1503,109505,14108,75144,51496,47135,1.08388320316,209433007.168,700.70027926
17,120754,342873,29332,26069,28178,37175,85468.0,39486.0,136023,262,39587,14767,18423,36498,26486,0.706428136847,128082518.667,941.62398026
16,101668,303675,16031,13723,22502,49412,72948.0,28146.0,130273,478,39964,14143,25923,31459,18306,0.696852552503,120151528.86,922.305687745
15,69202,188282,9082,8512,14041,37567,55658.0,13961.0,125682,1141,17987,19833,35009,24835,26877,0.6216716375,80893153.0,643.6335593
18,181780,455848,66380,39274,31789,44337,96106.0,87199.0,206929,552,22411,12536,39240,73798,58392,0.945726593553,152476219.161,736.852829527
24,88743,268154,19087,15288,21767,32601,81149.0,16318.0,56066,714,4620,9978,9475,18265,13014,0.546790471848,46707094.4981,833.073422361
34,38581,95227,4520,4729,5415,23917,27368.0,14180.0,37237,126,2192,4582,9993,13017,7327,0.704856036247,20267962.7045,544.296337097
30,87982,224637,21673,18791,20232,27286,70259.0,26024.0,97395,1572,13943,12799,18524,31283,19274,0.626126190239,64087013.0,658.011325017
32,22206,55730,3840,3858,4756,9752,17535.0,6519.0,25805,136,1609,2477,10608,5693,5282,0.633190761334,14892714.5407,577.125151743
27,34226,94289,8471,7068,7595,11092,27840.0,9380.0,43361,728,6871,6141,6876,15404,7341,0.614691091954,39005609.0,899.555107124
10,118062,307120,24280,16979,21708,55095,85005.0,39494.0,121929,478,18143,17251,25515,40952,19590,0.694441503441,70829067.6372,580.904195369
1,85087,156052,39985,16143,12060,16899,1732.0,84962.0,350193,492,20211,18388,150323,79143,81636,24.563221709,212410251.291,606.551962177
3,121945,318693,32403,22219,23696,43627,59590.0,66839.0,133270,161,14394,8168,23452,48247,38848,1.02320020138,130003445.036,975.489195137
6,81983,204125,11061,10751,14866,45305,54514.0,31706.0,87322,425,7632,10388,30226,21899,16752,0.751944454636,49488860.2056,566.739884629
31,32934,82233,8094,6736,7318,10786,33692.0,5978.0,22930,1730,4154,2731,3317,6191,4807,0.488751038822,18404775.7318,802.650489832
7,77677,213216,11146,9211,13439,43881,58439.0,23070.0,137398,1465,21888,8564,36066,31052,38363,0.664598983556,80534024.1095,586.136800459
19,74730,164378,27033,14021,12981,20695,36807.0,36588.0,117905,78,11827,8518,31162,47672,18648,1.01516015975,78610466.8448,666.727168863
29,62206,154614,13782,12090,14235,22099,50998.0,17542.0,59462,1494,9380,8294,12833,17071,10390,0.609886662222,42366771.2966,712.501619465
12,103799,367368,19620,16565,21564,46050,86382.0,24119.0,98962,297,23457,11907,17519,25028,20754,0.600813826955,73202569.2219,739.703817848
23,51225,137711,3710,3712,6480,37323,47407.0,6114.0,62191,910,4997,6236,15666,14717,19665,0.540268314806,39659082.4251,637.698098199
22,58592,134361,9509,8149,11246,29688,41954.0,20603.0,89048,800,5532,8041,28779,33662,12234,0.698288601802,45945217.494,515.960128178
2,107753,217994,27401,17933,19134,43285,16765.0,93855.0,81306,128,3342,6560,12513,30874,27889,3.21362958545,55903047.8773,687.563622332
5,96280,276091,15386,15008,22338,43548,71681.0,30995.0,109658,464,22562,13466,19826,31579,21761,0.67158661291,82777942.6006,754.873721941
14,32968,102628,7593,4916,6772,13687,27426.0,8244.0,43860,2223,9506,6759,7235,10691,7446,0.601035513746,39503493.0,900.672435021
8,71126,170767,15549,10411,10940,34226,44047.0,30720.0,140604,308,11210,9399,34459,69723,15505,0.807387563285,79413200.3724,564.800435068
13,71079,207001,12111,9772,14540,34656,57877.0,17213.0,49382,258,7880,7892,11706,14323,7323,0.614052214178,31214883.1915,632.11055023
11,102142,285733,31387,21502,20829,28424,58135.0,50653.0,130128,365,15559,10392,32155,35563,36094,0.878489722198,94621905.4625,727.14485324
20,87749,242260,24124,18222,19316,26087,66451.0,28865.0,71130,514,14166,9064,10587,20652,16147,0.660253419813,55919358.6497,786.157158017
28,14881,36026,3236,2635,2870,6140,14606.0,2946.0,19262,2403,3965,1836,2151,5869,3038,0.509413939477,14617543.0,758.87981518
21,83598,214958,17080,14760,19756,32002,63591.0,26747.0,110102,409,12547,12058,21906,32395,30787,0.657309996698,66063011.0046,600.016448426
4,50532,129630,11552,8665,9853,20462,35192.0,17582.0,26844,17,1179,3810,4899,8917,8022,0.717947260741,19978826.0,744.256668157
26,87680,244715,17257,18038,21562,30823,72061.0,16006.0,87532,2018,12826,12481,13973,22777,23457,0.608373461373,61230232.3652,699.518260353
25,51512,140441,11855,9494,11835,18328,36071.0,16970.0,44452,210,5975,5268,9674,11692,11633,0.714036206371,29237018.8094,657.721110623
