superdistrict,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
33,57709,157866,8597,7513,10182,31417,47187.0,15198.0,48354,191,2939,3642,11032,19185,11365,0.611492572107,30761041.5977,636.163328735
9,141715,369382,37244,22638,26434,55399,63054.0,84337.0,496817,3060,104731,22953,183836,125300,56937,1.12375900022,270827645.421,545.125560158
17,147344,396145,33865,24191,29045,60243,105082.0,46473.0,166868,280,39452,19277,20364,47607,39888,0.701090576883,132145409.799,791.915824477
16,116021,323927,19464,14566,21819,60172,85774.0,29505.0,195547,750,52810,20110,34175,54379,33323,0.676317998461,139027109.313,710.965186439
18,272778,672108,105880,54282,44694,67922,104347.0,173480.0,260546,366,22296,15633,57023,100581,64647,1.30707159765,169016468.062,648.701066461
24,154548,410233,40215,26331,30555,57447,139876.0,26955.0,124811,1010,8719,16438,22013,45238,31393,0.552446452572,74809743.9156,599.384220266
34,54427,153050,4979,5115,8380,35953,32315.0,24631.0,34636,152,1501,3023,7384,14314,8262,0.842132136779,20619997.9717,595.334275659
30,96294,254898,21413,16991,20175,37715,75246.0,31326.0,100505,1643,9099,14007,15111,36139,24506,0.639861255083,70542669.1833,701.882186789
32,28613,78925,3926,3746,5224,15717,24472.0,6538.0,25659,203,1541,2005,7068,9509,5333,0.584606897679,15912916.7662,620.169015404
27,35884,95867,8521,6296,7465,13602,28148.0,9637.0,52499,542,11249,10305,3898,13810,12695,0.637416512718,41749914.5555,795.251615374
10,129279,349576,24354,17321,23392,64212,94175.0,40778.0,195612,707,19410,28672,35424,79306,32093,0.686376426865,96515054.9491,493.400481306
1,113385,251847,58850,24154,14125,16256,1811.0,112822.0,351833,226,9160,9491,167383,91982,73591,31.3045278851,219997221.502,625.288763426
15,93906,261219,13011,10809,17905,52181,81433.0,15546.0,120615,1351,18474,15165,25009,31927,28689,0.576584431373,82188294.2946,681.410225052
3,170948,427302,60513,32843,29427,48165,61288.0,113805.0,149570,104,11370,7040,34488,51211,45357,1.39462863856,139414338.224,932.100944199
6,110020,297750,18513,13754,19131,58622,73834.0,40668.0,176292,616,10244,6861,71244,63898,23429,0.745049706097,85850136.8765,486.976929619
31,37050,99106,6890,5971,8088,16101,33819.0,6100.0,23741,1697,2331,2906,4555,7219,5033,0.547769005589,20884557.0745,879.683125164
7,102667,281196,18338,12611,17178,54540,70710.0,35524.0,236782,1017,20166,6524,105656,74221,29198,0.725972281148,116740624.543,493.029979233
19,88448,214634,33460,17363,14792,22833,39290.0,48992.0,106957,87,8041,6505,22375,44377,25572,1.12557902774,81779348.3843,764.600244812
29,77344,205073,15844,12724,15876,32900,67144.0,18111.0,140075,3655,8028,8124,48922,48018,23328,0.575956153938,78592131.039,561.071790391
12,149979,422846,30577,21539,28323,69540,113541.0,44979.0,128728,439,28373,21911,15931,36361,25713,0.660461859593,85484150.2559,664.068036914
23,61730,174600,5368,5234,10079,41049,58931.0,6310.0,56049,611,4466,4963,14728,16986,14295,0.523748112199,39647066.0621,707.364378706
22,72250,194941,11209,8771,12922,39348,50652.0,26005.0,118435,632,4687,6145,39715,46728,20528,0.713199873648,55493044.1968,468.552743672
2,119638,286185,41792,23053,19813,34980,18859.0,102930.0,46711,29,1470,4052,6533,17556,17071,3.17190731216,48612169.9996,1040.70069148
5,112119,306355,21494,15986,21800,52839,83335.0,33795.0,268258,1757,15620,9325,134066,74475,33015,0.672700545989,140723080.515,524.581114133
14,34148,96082,6262,4689,6807,16390,28122.0,8539.0,50211,1247,13683,10586,4334,10621,9740,0.607140317189,39529184.0,787.261436737
8,91761,242795,19729,12759,15295,43978,59827.0,36221.0,146955,458,13956,8885,43213,60096,20347,0.76688618851,86205527.4061,586.611734246
11,150931,396560,42281,26259,28828,53563,74971.0,81231.0,246367,445,36673,28771,43961,81570,54947,1.00659588374,129563671.287,525.897020651
20,122794,326559,31596,20808,23630,46760,88944.0,40583.0,113106,332,14653,11083,21300,36499,29239,0.690288271272,69984472.9542,618.751197586
28,16814,44396,3057,2605,3371,7781,15096.0,2946.0,16408,1019,2479,3532,992,4214,4172,0.556902490726,15053102.9495,917.424606871
21,115703,308493,24616,17883,23060,50144,86359.0,36872.0,134105,597,12207,11689,34324,43794,31494,0.669895436492,76816077.1502,572.805466986
13,91152,248943,18194,12656,17294,43008,75375.0,21894.0,63367,314,10137,15821,6770,19383,10942,0.604656716418,38902673.3926,613.926387435
4,60985,156513,17536,10863,10878,21708,35951.0,26638.0,16616,12,445,2323,2245,6989,4602,0.848168340241,20379935.6462,1226.52477409
26,96865,261478,20110,16534,20631,39590,81498.0,16283.0,107807,1838,17061,18569,13934,32404,24001,0.5942783872,71623133.0114,664.364401304
25,60193,162296,12518,9443,12262,25970,39964.0,20603.0,74604,283,10226,8424,14692,23737,17242,0.753090281253,59261063.6826,794.341639625
