juris,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
San Carlos,11369.0,27821.0,1423.0,1276.0,1819.0,6851.0,9061.0,2704.0,15079.0,39.0,3392.0,1685.0,3633.0,2910.0,3420.0,0.627359011147,10689880.9699,708.925059347
Los Altos Hills,2898.0,7733.0,146.0,142.0,246.0,2364.0,3084.0,0.0,650.0,2.0,11.0,6.0,323.0,193.0,115.0,0.469844357977,656789.0,1010.44461538
Sausalito,4251.0,8036.0,601.0,573.0,691.0,2386.0,1985.0,2557.0,5525.0,13.0,434.0,385.0,2089.0,1387.0,1217.0,1.07078085642,2786615.0,504.364705882
Pacifica,13476.0,36096.0,1506.0,1830.0,3280.0,6860.0,11314.0,3202.0,5176.0,6.0,299.0,821.0,1160.0,1564.0,1326.0,0.595545342054,2970528.25918,573.90422318
Belmont,8620.0,21158.0,971.0,992.0,1581.0,5076.0,7153.0,1940.0,6716.0,7.0,550.0,617.0,1604.0,2452.0,1486.0,0.602544386971,4194970.09956,624.623302495
Tiburon,3739.0,8818.0,344.0,444.0,491.0,2460.0,2774.0,1225.0,2555.0,23.0,116.0,101.0,1129.0,859.0,327.0,0.673936553713,1364518.0,534.057925636
East Palo Alto,6646.0,24973.0,1883.0,1249.0,1558.0,1956.0,4415.0,2737.0,4825.0,14.0,323.0,692.0,1433.0,1793.0,570.0,0.752661381653,3487228.39328,722.741635913
San Bruno,14048.0,38291.0,2277.0,2423.0,3308.0,6040.0,9671.0,5374.0,10949.0,22.0,765.0,2208.0,2098.0,3481.0,2375.0,0.726295109089,6012899.34251,549.173380446
Emeryville,5636.0,10651.0,2240.0,1194.0,1019.0,1183.0,1395.0,3127.0,18521.0,14.0,2563.0,1693.0,5298.0,6285.0,2668.0,2.02007168459,13566200.402,732.476669834
Corte Madera,3684.0,8805.0,466.0,581.0,655.0,1982.0,2964.0,1001.0,6587.0,11.0,568.0,1417.0,1324.0,1927.0,1340.0,0.621457489879,3385220.04568,513.924403474
Foster City,11552.0,28894.0,1091.0,1328.0,1924.0,7209.0,7570.0,4552.0,15170.0,81.0,1146.0,909.0,7252.0,2781.0,3001.0,0.763011889036,7656976.887,504.744686025
Millbrae,7787.0,20549.0,1378.0,1093.0,1652.0,3664.0,5692.0,2554.0,4813.0,5.0,201.0,635.0,851.0,2118.0,1003.0,0.68403021785,3083150.80005,640.588157086
Burlingame,12445.0,29149.0,1896.0,1682.0,2526.0,6341.0,7032.0,5944.0,27090.0,101.0,5245.0,2729.0,7258.0,7207.0,4550.0,0.884883390216,16976472.9155,626.669358267
Atherton,2436.0,6797.0,68.0,74.0,133.0,2161.0,2516.0,2.0,1358.0,2.0,47.0,18.0,359.0,721.0,211.0,0.484101748808,1027035.85682,756.285608851
Portola Valley,1733.0,4446.0,10.0,14.0,41.0,1668.0,1778.0,0.0,2509.0,657.0,113.0,39.0,644.0,664.0,392.0,0.487345331834,1103168.0,439.684336389
Colma,786.0,2117.0,174.0,158.0,207.0,247.0,432.0,407.0,3264.0,3.0,106.0,1697.0,93.0,886.0,479.0,0.909722222222,1629121.0,499.117953431
Monte Sereno,1190.0,3025.0,183.0,140.0,176.0,691.0,1183.0,99.0,243.0,2.0,18.0,3.0,134.0,61.0,25.0,0.502958579882,226185.0,930.802469136
Belvedere,982.0,2239.0,46.0,52.0,85.0,799.0,918.0,125.0,258.0,4.0,2.0,7.0,128.0,73.0,44.0,0.5348583878,130491.072895,505.779352308
Yountville,1105.0,2154.0,341.0,193.0,223.0,348.0,864.0,392.0,2226.0,73.0,127.0,67.0,122.0,701.0,1136.0,0.639467592593,1773692.0,796.806828392
Stanislaus County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sacramento County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Joaquin County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yolo County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake County,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Santa Cruz County,10.0,23.0,1.0,1.0,3.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
San Francisco County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Benito County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
