superdistrict,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
33,59061,160316,7945,8652,12099,30365,47552.0,15560.0,56698,275,2817,2967,17119,23969,9551,0.621014888964,37407064.4352,659.759858111
9,146309,383750,32109,25045,31780,57375,64569.0,88890.0,502230,4133,102812,18098,201898,128024,47265,1.13296628413,289395224.353,576.220505253
17,147481,400251,28133,25642,33826,59880,104509.0,47507.0,218146,414,46919,22275,31967,69768,46803,0.705589949191,166087988.766,761.361605374
16,116539,327617,16250,16011,24691,59587,85837.0,29518.0,211442,970,58306,21892,34875,60402,34997,0.678838962219,161854065.25,765.477366135
18,299010,744358,103082,63757,58937,73234,105246.0,197545.0,261180,337,20859,17015,60170,99160,63639,1.42052904623,180107994.433,689.593362557
24,162646,434635,35704,29966,37592,59384,138743.0,37044.0,83288,582,7995,14390,8231,26855,25235,0.586141282803,60071279.3003,721.247710358
34,54922,154493,4336,5821,9792,34973,32305.0,25493.0,38038,230,1310,2508,10142,17091,6757,0.850054171181,24171955.1585,635.468614503
30,96310,254833,18480,18171,23159,36500,74495.0,32333.0,121474,2728,10177,12739,22852,47905,25073,0.646419222767,85483157.0,703.71566755
32,28171,77580,3270,3928,6090,14883,23862.0,6543.0,28915,252,1617,1494,10020,11380,4152,0.590290000838,19054064.4526,658.968163674
27,36230,97815,6984,6722,8624,13900,28526.0,9648.0,71280,803,16150,13557,4923,19811,16036,0.635034705181,52953297.0,742.891372054
10,133660,363351,21303,19460,27719,65178,96801.0,44022.0,196695,956,17730,21289,45589,83243,27888,0.690385429903,98686743.7108,501.724719544
1,126941,287589,59093,28524,20107,19217,1813.0,126488.0,477855,325,7742,17812,241811,101342,108823,35.0085493657,267404843.783,559.59411073
15,93779,260884,10648,11968,20432,50731,81140.0,15714.0,162705,2407,20288,17049,41675,49004,32282,0.577883904363,104965818.0,645.129639532
3,199166,497033,66106,41279,38654,53127,61693.0,141840.0,176364,112,10811,12445,37706,56954,58336,1.61417016517,166607300.894,944.678624286
6,115331,312272,16322,16136,23535,59338,77936.0,42023.0,129129,566,4878,4979,58134,45896,14676,0.739908386368,71140904.8033,550.928953243
31,37142,99776,5828,6567,9070,15677,33697.0,6100.0,25257,1034,3012,3498,2999,8244,6470,0.551117310146,24638878.9611,975.526743519
7,118612,322073,20505,16874,22921,58312,74924.0,49099.0,184613,940,14403,5254,83416,57666,22934,0.79154876942,102052410.865,552.791032401
19,94888,233144,31151,19772,19195,24770,39563.0,54003.0,122248,124,7752,7550,27349,53278,26195,1.19920127392,98386566.5676,804.811257178
29,77003,205193,13128,13629,18086,32160,66829.0,18125.0,70256,1322,6667,7031,14773,25656,14807,0.576119648656,55846927.0814,794.90615864
12,154241,437234,26314,24021,34003,69903,115787.0,50387.0,133936,430,33678,21769,15294,35906,26859,0.666054911173,92691506.5795,692.058196299
23,63117,178267,4561,5935,11805,40816,60168.0,6569.0,71815,801,5045,7028,21203,22482,15256,0.52450638213,49580988.8281,690.398786161
22,74321,200792,9678,9803,15184,39656,51192.0,27646.0,117459,877,3704,4771,51374,42355,14378,0.725904438193,56300203.5112,479.31791954
2,120899,291931,35986,24759,24344,35810,18998.0,104165.0,71247,41,1641,7841,10090,24841,26793,3.18188756711,61737659.8967,866.529957707
5,114357,314709,18069,17761,25799,52728,85730.0,34503.0,161206,1196,14195,8843,62000,49337,25635,0.666960223959,111511937.789,691.73565369
14,34004,96106,5305,5026,7632,16041,27593.0,8539.0,70891,1919,18246,12217,7329,18204,12976,0.616170767948,52564551.0,741.484123514
8,95802,254610,17042,13905,18886,45969,59663.0,40058.0,173506,710,12861,7089,65629,69085,18132,0.802859393594,104517905.792,602.38784706
11,178043,467593,45594,33893,39076,59480,77521.0,107967.0,199596,471,31073,25324,29948,68510,44270,1.14835334941,117960261.638,590.995118329
20,129649,346331,28511,23423,29117,48598,93266.0,43508.0,108007,290,15272,9470,21009,34833,27133,0.695049642957,73420573.3681,679.776064219
28,16784,45077,2483,2828,3879,7594,15096.0,2946.0,24829,1190,3474,6763,1339,6174,5889,0.555908850026,19446519.0,783.217970921
21,123579,330057,22672,20641,28380,51886,87759.0,44042.0,127578,566,12201,11031,27453,46302,30025,0.704081632653,80024407.8981,627.258680165
13,97255,264988,17796,15263,21364,42832,74936.0,29839.0,66756,374,11017,14529,8439,21950,10447,0.648920412085,41490332.0,621.522140332
4,61395,158872,14888,11784,13137,21586,36121.0,26781.0,22568,19,493,3959,2681,9077,6339,0.849851886714,26067012.0406,1155.04307163
26,95681,258765,16552,17100,23315,38714,79668.0,16289.0,118664,2322,24005,21435,10634,33606,26662,0.60049831802,81754898.5644,688.961256695
25,60202,163494,10478,9968,14044,25712,39939.0,20439.0,60165,293,12970,9157,6799,16886,14060,0.753674353389,37814267.0,628.509382531
