juris,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
Livermore,35777.0,98420.0,5774.0,4595.0,6956.0,18452.0,33526.0,3794.0,38943.0,810.0,8607.0,4962.0,7727.0,9210.0,7627.0,0.533570959852,32256215.4223,828.293028846
Hayward,54248.0,146454.0,13154.0,9160.0,10760.0,21174.0,37176.0,17643.0,83481.0,142.0,22553.0,7771.0,11215.0,24689.0,17111.0,0.729610501399,68142644.7404,816.265314748
Sonoma County,65677.0,179172.0,10121.0,9468.0,13542.0,32546.0,61703.0,10575.0,38310.0,2757.0,4237.0,3545.0,10552.0,10880.0,6339.0,0.532202648169,34775510.533,907.739768545
Fremont,79579.0,220814.0,13290.0,9897.0,14874.0,41518.0,56933.0,21632.0,112789.0,550.0,33198.0,10552.0,19868.0,31273.0,17348.0,0.698882897441,82957279.5704,735.508600754
Pleasanton,34932.0,97883.0,4594.0,3710.0,6640.0,19988.0,26711.0,8905.0,55298.0,350.0,6606.0,6197.0,13060.0,15466.0,13619.0,0.653887911347,31123025.7362,562.823713989
Dublin,18012.0,50229.0,2012.0,1972.0,3403.0,10625.0,14209.0,2857.0,22727.0,134.0,2644.0,3494.0,3389.0,6588.0,6478.0,0.633823632909,14378104.4317,632.644186724
San Ramon,32906.0,92358.0,3182.0,3004.0,5730.0,20990.0,29685.0,4899.0,35375.0,486.0,3056.0,2195.0,11140.0,10054.0,8444.0,0.554252989725,21326978.9403,602.882796898
Brentwood,31090.0,84002.0,6607.0,4999.0,6222.0,13262.0,26175.0,9652.0,38636.0,339.0,1432.0,4697.0,7068.0,16377.0,8723.0,0.593887297039,18282337.122,473.194355575
Oakley,11574.0,32451.0,1926.0,1726.0,2672.0,5250.0,12158.0,524.0,5948.0,102.0,392.0,773.0,1584.0,1995.0,1102.0,0.475982891923,4084743.6719,686.74237927
Antioch,69107.0,178257.0,21420.0,12519.0,12703.0,22465.0,66421.0,6186.0,57640.0,425.0,3940.0,6841.0,11451.0,20960.0,14023.0,0.52021950889,30038182.5675,521.134326293
Contra Costa County,72377.0,197530.0,12919.0,9793.0,13765.0,35900.0,63263.0,13571.0,59553.0,359.0,5502.0,7726.0,10525.0,19149.0,16292.0,0.572032625705,47507420.9109,797.733462813
Napa County,11324.0,30919.0,1431.0,1434.0,2229.0,6230.0,11374.0,938.0,16327.0,848.0,5384.0,2575.0,746.0,2707.0,4067.0,0.497802004572,14314885.5818,876.761534994
San Francisco,464729.0,1121214.0,178658.0,90874.0,74193.0,121004.0,117794.0,356076.0,561532.0,368.0,22403.0,22731.0,210026.0,166085.0,139919.0,1.9726344296,427171342.266,760.724842513
San Mateo County,37221.0,103708.0,5110.0,4028.0,6413.0,21670.0,26580.0,12166.0,44512.0,336.0,3337.0,1444.0,22863.0,10751.0,5781.0,0.700169300226,26810522.6947,602.321232358
Petaluma,28015.0,74565.0,5730.0,4485.0,5746.0,12054.0,26050.0,4815.0,101302.0,2792.0,4480.0,3732.0,41095.0,34545.0,14658.0,0.537715930902,47613677.6813,470.017153475
Santa Rosa,69836.0,182277.0,17189.0,13227.0,14782.0,24638.0,50714.0,26294.0,75906.0,557.0,5470.0,11332.0,9887.0,29251.0,19409.0,0.688527822692,51301406.4848,675.854431597
Rohnert Park,17155.0,44642.0,4378.0,3127.0,3552.0,6098.0,12765.0,6125.0,22149.0,314.0,2016.0,2116.0,3937.0,8427.0,5339.0,0.671954563259,15690638.3995,708.412948646
Mill Valley,16510.0,46106.0,1749.0,1706.0,2618.0,10437.0,5485.0,11546.0,6060.0,23.0,255.0,613.0,1074.0,2386.0,1709.0,1.50501367366,3412248.88993,563.077374576
Richmond,57282.0,149605.0,17628.0,10702.0,10882.0,18070.0,36811.0,23560.0,65339.0,185.0,10162.0,4894.0,13852.0,19812.0,16434.0,0.778055472549,41886632.356,641.066321125
Pittsburg,24627.0,67075.0,5936.0,4074.0,5210.0,9407.0,20503.0,6291.0,17416.0,65.0,2320.0,2925.0,1570.0,4840.0,5696.0,0.600570648198,12272681.3121,704.678531929
Orinda,7009.0,20153.0,364.0,425.0,978.0,5242.0,6513.0,846.0,25267.0,376.0,255.0,270.0,16363.0,6459.0,1544.0,0.538077690772,9899359.3206,391.790055036
Alameda,43930.0,110950.0,13325.0,8043.0,8066.0,14496.0,17090.0,26751.0,44284.0,143.0,3422.0,2413.0,13319.0,14845.0,10142.0,1.28525453482,26812434.0797,605.465497237
Napa,29703.0,78276.0,7279.0,5339.0,6192.0,10893.0,23218.0,8077.0,35006.0,293.0,4002.0,7403.0,3139.0,11534.0,8635.0,0.639654578344,26221224.8602,749.049444672
Hercules,10452.0,29194.0,1453.0,1307.0,2019.0,5673.0,9446.0,1622.0,8337.0,27.0,1323.0,825.0,1662.0,2653.0,1847.0,0.553250052932,4914240.14743,589.449459929
Newark,13188.0,37016.0,2210.0,1745.0,2541.0,6692.0,10810.0,2729.0,32376.0,61.0,7445.0,6172.0,3041.0,8480.0,7177.0,0.609990749306,23136726.8715,714.625860868
Alameda County,67440.0,182387.0,14149.0,10120.0,12869.0,30302.0,53036.0,19348.0,34646.0,110.0,3324.0,4235.0,7088.0,11973.0,7916.0,0.635794554642,42980028.9726,1240.54808557
Martinez,20713.0,55615.0,3593.0,2994.0,4204.0,9922.0,15049.0,6961.0,11939.0,23.0,1590.0,1378.0,1199.0,2595.0,5154.0,0.688185261479,11077312.9351,927.825859378
Danville,16728.0,47704.0,1126.0,1223.0,2558.0,11821.0,16961.0,848.0,9990.0,64.0,625.0,1175.0,2084.0,3306.0,2736.0,0.49313130122,6099361.20535,610.546667202
Marin County,32112.0,89566.0,3175.0,3244.0,5180.0,20513.0,28134.0,6633.0,7764.0,60.0,334.0,1021.0,1273.0,3066.0,2010.0,0.570697376839,7634829.06022,983.362836196
Healdsburg,4747.0,12356.0,1111.0,852.0,1081.0,1703.0,3870.0,1116.0,6562.0,88.0,977.0,1061.0,610.0,1797.0,2029.0,0.61330749354,4876858.0,743.196891192
Concord,61589.0,162983.0,15374.0,10407.0,12273.0,23535.0,42700.0,22824.0,85979.0,401.0,7831.0,5888.0,26610.0,28307.0,16942.0,0.721182669789,44331605.4691,515.609689216
Sunnyvale,63863.0,167547.0,15529.0,9602.0,12118.0,26614.0,35975.0,30662.0,106526.0,445.0,22384.0,8556.0,29149.0,29994.0,15998.0,0.887602501737,60685906.3762,569.681639939
Ross,919.0,2724.0,61.0,55.0,120.0,683.0,934.0,33.0,311.0,3.0,11.0,25.0,51.0,139.0,82.0,0.491970021413,315973.897997,1015.99324115
Clayton,4228.0,11751.0,415.0,458.0,775.0,2580.0,4269.0,211.0,1527.0,12.0,57.0,266.0,185.0,606.0,401.0,0.495197938627,1041531.70023,682.077079389
Cloverdale,3430.0,8813.0,992.0,708.0,749.0,981.0,2792.0,804.0,1515.0,51.0,160.0,222.0,139.0,540.0,403.0,0.614255014327,1366813.0,902.18679868
Daly City,32565.0,89206.0,7241.0,5071.0,6319.0,13934.0,23711.0,10210.0,69055.0,156.0,2028.0,2149.0,25947.0,29456.0,9319.0,0.686706591877,29658021.287,429.484053103
Rio Vista,4315.0,10646.0,1162.0,932.0,925.0,1296.0,4256.0,98.0,1128.0,80.0,118.0,279.0,70.0,278.0,303.0,0.506931390977,964708.0,855.237588652
Oakland,239175.0,584622.0,97474.0,48710.0,38358.0,54633.0,91652.0,153246.0,225830.0,245.0,19798.0,14001.0,45072.0,89795.0,56919.0,1.30479967704,147114031.952,651.437063067
Lafayette,10965.0,31031.0,905.0,941.0,1741.0,7378.0,10012.0,1691.0,8132.0,36.0,487.0,710.0,1749.0,3022.0,2128.0,0.547592888534,4319110.81263,531.125284386
San Pablo,12157.0,31576.0,4267.0,2486.0,2293.0,3111.0,6268.0,6526.0,7220.0,11.0,668.0,995.0,628.0,2760.0,2158.0,0.969767070836,4476793.04545,620.054438427
Walnut Creek,40375.0,105315.0,8120.0,5864.0,7742.0,18649.0,22666.0,20018.0,73240.0,178.0,3248.0,4142.0,19204.0,32555.0,13913.0,0.890651195623,34306918.563,468.417784858
