superdistrict,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
33,41652,99900,8161,7242,7764,18485,31095,14583,52748,229,4168,5340,13318,15252,14441,0.66975397974,30115987.0,570.94083188
9,96708,245599,22807,15193,20348,38360,44556,64909,298821,1539,109674,14073,75149,51150,47236,1.08524104498,216730889.0,725.286673293
17,120784,342499,29340,25937,28248,37259,85468,39691,136350,275,39635,14816,18479,36620,26525,0.706603641129,129186423.0,947.461848185
16,101546,303459,16002,13622,22553,49369,72948,28836,130415,477,40042,14166,25897,31348,18485,0.696016340407,123357141.0,945.8815397
15,69300,188922,9133,8482,14128,37557,55658,17122,125664,1133,17886,19802,35097,24963,26783,0.622552014086,82139676.0,653.645244461
18,181650,455219,66743,39003,31675,44229,96107,88675,206660,562,22203,12629,39003,73712,58551,0.945040423694,153950444.0,744.945533727
24,88532,267545,19095,15223,21717,32497,81149,16657,56038,747,4597,9852,9530,18332,12980,0.545490394213,46303648.0,826.290160248
34,38534,95068,4554,4739,5355,23886,27368,14396,37461,127,2168,4635,10065,13160,7306,0.70399736919,20107418.0,536.756039615
30,88039,224820,21785,18824,20251,27179,70259,26431,97422,1571,13891,12784,18566,31230,19380,0.626531832221,64794234.0,665.088316807
32,22278,55981,3827,3876,4784,9791,17535,6580,25812,123,1647,2499,10602,5635,5306,0.635243798118,14919243.0,577.996397025
27,34133,94382,8486,7040,7567,11040,27840,9602,43396,719,6902,6070,6841,15443,7421,0.613020833333,40596936.0,935.499493041
10,118050,307438,24191,17019,21597,55243,85007,40241,121979,494,18261,17185,25621,40930,19488,0.694354582564,71565712.0,586.705186958
1,85038,155869,39854,16249,11998,16937,1732,92047,351576,498,20365,18626,151091,79134,81862,24.5490762125,215472638.0,612.876413635
3,121821,317957,32502,22178,23535,43606,59590,73743,133490,177,14418,8225,23461,48304,38905,1.02215975835,131619597.0,985.988441082
6,82062,204288,11093,10594,14914,45461,54515,33938,88881,423,7876,10537,30767,22322,16956,0.752655232505,48059995.0,540.72293291
31,33044,82518,8172,6694,7397,10781,33692,6100,22848,1740,4104,2722,3298,6203,4781,0.490383473822,18432904.0,806.762254902
7,77628,212803,11198,9292,13357,43781,58442,24866,138067,1457,21816,8646,36051,31402,38695,0.664145648677,78019840.0,565.086805681
19,74659,164406,26939,14051,12941,20728,36807,38029,117834,91,11833,8526,31024,47579,18781,1.0141956693,78764203.0,668.433584534
29,62210,154510,13816,12223,14199,21972,50998,17954,59393,1458,9369,8266,12828,17060,10412,0.609925879446,42968493.0,723.460559325
12,103748,367294,19611,16669,21493,45975,86382,25224,99171,296,23513,11949,17599,25123,20691,0.600518626566,72491949.0,730.979308467
23,51263,137627,3657,3752,6465,37389,47407,6842,62187,930,4958,6221,15673,14700,19705,0.5406690995,39695332.0,638.32202872
22,58566,134257,9543,8073,11230,29720,41954,21383,89134,765,5499,8005,28773,33839,12253,0.697978738618,46275329.0,519.165851415
2,107810,217747,27187,18035,19302,43286,16765,95507,81418,125,3343,6564,12542,30946,27898,3.21532955562,55890053.0,686.458191063
5,96273,276083,15382,14926,22397,43568,71682,31482,109475,475,22364,13537,19711,31779,21609,0.671528417176,80070351.0,731.403069194
14,32985,102747,7577,4935,6812,13661,27426,8539,43800,2209,9394,6832,7234,10688,7443,0.601345438635,39529184.0,902.492785388
8,71243,170683,15614,10342,10991,34296,44048,32444,141154,297,11394,9453,34683,69845,15482,0.808697330185,80079167.0,567.317730989
13,71073,207114,12072,9841,14541,34619,57877,17488,49371,248,7877,7868,11646,14426,7306,0.614000380116,31571563.0,639.475866399
11,102291,286013,31323,21574,20889,28505,58137,52558,130441,331,15648,10441,32406,35478,36137,0.879740956706,92090048.0,705.990049141
20,87714,242905,24014,18247,19311,26142,66451,29020,71206,498,14189,9055,10527,20795,16142,0.65999006787,56639557.0,795.43236525
28,14933,36164,3242,2679,2869,6143,14606,2946,19228,2391,4015,1858,2134,5832,2998,0.511194029851,14623243.0,760.518150614
21,83743,215151,17138,14802,19638,32165,63591,26795,110280,445,12626,12098,21939,32484,30688,0.658450095139,65979583.0,598.291467174
4,50472,130032,11562,8639,9800,20471,35192,19808,26879,17,1164,3813,4905,8932,8048,0.717094794271,20060373.0,746.321403326
26,87598,244197,17191,18049,21622,30736,72061,16384,87549,2049,12723,12516,13914,22795,23552,0.607804498966,61878196.0,706.78358405
25,51562,139841,11868,9586,11764,18344,36071,16970,44705,200,6067,5239,9715,11790,11694,0.714729283912,29226005.0,653.752488536
