pda,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sfo1,33199.0,83078.0,13266.0,6768.0,5564.0,7601.0,8145.0,26062.0,31118.0,26.0,4253.0,1439.0,6203.0,8955.0,10242.0,2.03799877225,35327536.7648,1135.27658477
fre2,8135.0,21452.0,1741.0,1217.0,1542.0,3635.0,2716.0,5051.0,15261.0,28.0,405.0,1597.0,3003.0,7583.0,2645.0,1.49760677467,7959916.80899,521.585532337
liv1,612.0,1556.0,125.0,84.0,132.0,271.0,146.0,316.0,4269.0,9.0,226.0,807.0,608.0,1425.0,1194.0,2.09589041096,2536973.35205,594.278133533
her2,938.0,2655.0,127.0,128.0,201.0,482.0,852.0,134.0,2516.0,12.0,97.0,147.0,764.0,1072.0,424.0,0.550469483568,1196095.75882,475.395770598
ple1,2206.0,6208.0,303.0,265.0,445.0,1193.0,445.0,1828.0,18720.0,134.0,2481.0,1140.0,5236.0,5341.0,4388.0,2.47865168539,8426803.92735,450.149782444
her1,225.0,569.0,65.0,28.0,36.0,96.0,205.0,37.0,2002.0,4.0,129.0,342.0,216.0,701.0,610.0,0.548780487805,1022249.32354,510.614047724
vta1_m,3761.0,9855.0,928.0,549.0,734.0,1550.0,1384.0,2636.0,3127.0,9.0,362.0,478.0,475.0,1219.0,584.0,1.35874277457,1540926.51462,492.78110477
pit1,3873.0,10581.0,1004.0,648.0,796.0,1425.0,2598.0,1484.0,5043.0,9.0,621.0,718.0,435.0,1300.0,1960.0,0.745381062356,3671529.0,728.0446163
fre3,5327.0,14608.0,927.0,693.0,1090.0,2617.0,2987.0,2373.0,3054.0,8.0,417.0,548.0,363.0,915.0,803.0,0.891697355206,1918591.40148,628.222462828
sfo9_a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ric2,5193.0,13517.0,1576.0,956.0,1001.0,1660.0,2413.0,2999.0,25608.0,64.0,3647.0,610.0,9825.0,7265.0,4197.0,1.07604641525,13827577.2904,539.97099697
sfo10,8460.0,21260.0,2888.0,1692.0,1430.0,2450.0,2466.0,6166.0,3556.0,2.0,59.0,508.0,375.0,1807.0,805.0,1.71532846715,3548813.44952,997.979035297
ccc1,982.0,2511.0,287.0,140.0,171.0,384.0,152.0,1180.0,5139.0,12.0,285.0,320.0,1329.0,1908.0,1285.0,3.23026315789,2420102.34618,470.928652691
wcc1_d,2928.0,7287.0,1119.0,595.0,525.0,689.0,589.0,2476.0,3544.0,5.0,210.0,450.0,367.0,1661.0,851.0,2.48556876061,2353703.17119,664.137463654
wal1,4065.0,10465.0,1022.0,655.0,770.0,1618.0,714.0,3467.0,11113.0,20.0,624.0,504.0,3262.0,4182.0,2521.0,2.84663865546,4787996.76925,430.846465333
pit2,2428.0,6450.0,627.0,433.0,505.0,863.0,1568.0,1176.0,1314.0,3.0,146.0,182.0,120.0,376.0,487.0,0.774234693878,1313670.0,999.748858447
sfo9_b,7421.0,19135.0,2409.0,1324.0,1274.0,2414.0,1637.0,5965.0,2285.0,3.0,265.0,199.0,317.0,639.0,862.0,2.26664630422,1788501.76005,782.714118183
fre1,5284.0,14568.0,972.0,708.0,961.0,2643.0,2708.0,1800.0,3603.0,2.0,390.0,591.0,456.0,1304.0,860.0,0.975627769572,2555231.46515,709.195521829
sjo7,14223.0,37011.0,3999.0,2490.0,2783.0,4951.0,4841.0,9830.0,31529.0,38.0,4100.0,4108.0,4547.0,11972.0,6764.0,1.46901466639,14846948.0509,470.898158867
ccc2,1532.0,4321.0,339.0,253.0,291.0,649.0,1280.0,332.0,3058.0,19.0,730.0,419.0,238.0,578.0,1074.0,0.5984375,2314619.47697,756.906303784
pal1,1003.0,2759.0,164.0,126.0,168.0,545.0,497.0,571.0,5423.0,8.0,630.0,149.0,1726.0,2193.0,717.0,1.00905432596,2365772.02521,436.247837952
sfo12,30407.0,75126.0,10678.0,5877.0,5315.0,8537.0,14128.0,16791.0,10069.0,4.0,374.0,1122.0,1178.0,3568.0,3823.0,1.07612542469,10166416.7485,1009.67491791
hay1,972.0,2538.0,267.0,188.0,191.0,326.0,949.0,63.0,772.0,0.0,74.0,114.0,48.0,217.0,319.0,0.512118018967,751741.360134,973.758238515
sjo8,11309.0,30407.0,3168.0,1918.0,2136.0,4087.0,3784.0,7927.0,3212.0,8.0,531.0,681.0,246.0,862.0,884.0,1.49431818182,2074153.43069,645.751379419
wcc1_g,115.0,290.0,16.0,11.0,24.0,64.0,120.0,0.0,66.0,0.0,12.0,11.0,10.0,21.0,12.0,0.479166666667,44923.0,680.651515152
oak1,388.0,1062.0,64.0,46.0,91.0,187.0,169.0,289.0,3835.0,84.0,262.0,300.0,1351.0,1359.0,479.0,1.14792899408,2100574.61893,547.73784066
sar2,154.0,415.0,15.0,15.0,29.0,95.0,0.0,156.0,6612.0,49.0,686.0,182.0,2225.0,1826.0,1644.0,0.0,3433574.88539,519.294447276
sro3,2770.0,7612.0,632.0,537.0,607.0,994.0,2235.0,942.0,3103.0,18.0,427.0,530.0,393.0,809.0,926.0,0.619686800895,2275386.81563,733.286115252
sfo3,113977.0,251821.0,58660.0,24469.0,14322.0,16526.0,2970.0,112258.0,303391.0,177.0,7655.0,9379.0,137479.0,81247.0,67454.0,19.188047138,196938728.207,649.125149417
clo1,851.0,2128.0,254.0,179.0,170.0,248.0,545.0,351.0,548.0,7.0,30.0,99.0,34.0,237.0,141.0,0.780733944954,451248.0,823.445255474
sfo8,7485.0,18468.0,2848.0,1466.0,1264.0,1907.0,0.0,7680.0,300.0,0.0,15.0,3.0,16.0,29.0,237.0,0.0,614725.0,2049.08333333
aca1,431.0,1245.0,116.0,92.0,83.0,140.0,178.0,185.0,1880.0,19.0,145.0,858.0,62.0,446.0,350.0,1.2106741573,1280883.0,681.320744681
