pda,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sfo1,10306.0,33664.0,3910.0,2062.0,1876.0,2458.0,7555.0,3584.0,23468.0,33.0,5763.0,921.0,6356.0,2454.0,7941.0,0.68206485771,32677825.8477,1392.44187181
fre2,5858.0,14914.0,1042.0,911.0,1568.0,2337.0,1321.0,4110.0,15034.0,20.0,353.0,1411.0,4414.0,5521.0,3315.0,2.21725965178,6818744.75392,453.554925763
liv1,581.0,1371.0,113.0,99.0,122.0,247.0,132.0,316.0,4194.0,10.0,114.0,536.0,1226.0,1703.0,605.0,2.20075757576,2518217.0,600.433237959
her2,603.0,1663.0,114.0,121.0,159.0,209.0,663.0,0.0,109.0,0.0,69.0,1.0,14.0,18.0,7.0,0.454751131222,56814.0,521.229357798
ple1,1261.0,4021.0,137.0,172.0,243.0,709.0,60.0,1268.0,15282.0,113.0,2549.0,2620.0,4319.0,2915.0,2766.0,10.5083333333,8149460.0,533.27182306
her1,79.0,234.0,8.0,11.0,25.0,35.0,2.0,88.0,1108.0,0.0,226.0,147.0,228.0,184.0,323.0,19.75,520149.0,469.448555957
vta1_m,2957.0,7586.0,744.0,467.0,632.0,1114.0,782.0,2357.0,1717.0,2.0,192.0,219.0,370.0,760.0,174.0,1.89066496164,1190319.45829,693.255363009
pit1,3412.0,10354.0,1227.0,715.0,775.0,695.0,2296.0,1484.0,4558.0,8.0,512.0,433.0,427.0,1500.0,1678.0,0.743031358885,3718209.0,815.754497587
fre3,4290.0,11924.0,888.0,718.0,1006.0,1678.0,2123.0,2252.0,2959.0,8.0,433.0,366.0,644.0,970.0,538.0,1.0103626943,1757940.0,594.099357891
sfo9_a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ric2,3246.0,8487.0,1136.0,641.0,654.0,815.0,1682.0,1827.0,6990.0,12.0,2132.0,419.0,932.0,1251.0,2244.0,0.964922711058,7230981.24609,1034.4751425
sfo10,4330.0,11472.0,1110.0,890.0,881.0,1449.0,2440.0,2139.0,3607.0,4.0,94.0,557.0,553.0,1600.0,799.0,0.887295081967,3304559.0,916.15164957
ccc1,377.0,775.0,95.0,68.0,84.0,130.0,67.0,333.0,4626.0,19.0,220.0,511.0,1741.0,1225.0,910.0,2.81343283582,2591399.0,560.181366191
wcc1_d,1529.0,4091.0,696.0,356.0,256.0,221.0,119.0,1519.0,4512.0,1.0,236.0,428.0,451.0,2667.0,729.0,6.4243697479,3092131.0,685.312721631
wal1,1163.0,2269.0,294.0,239.0,329.0,301.0,257.0,1010.0,11088.0,26.0,1105.0,1150.0,4663.0,2074.0,2070.0,2.2626459144,4769074.12044,430.111302348
pit2,1645.0,4871.0,452.0,353.0,402.0,438.0,1255.0,625.0,1089.0,6.0,194.0,86.0,92.0,324.0,387.0,0.655378486056,1281526.0,1176.79155188
sfo9_b,1862.0,6335.0,519.0,305.0,436.0,602.0,1731.0,295.0,2341.0,1.0,135.0,63.0,742.0,501.0,899.0,0.537839399191,2158624.28996,922.094955128
fre1,4358.0,12186.0,790.0,646.0,1057.0,1865.0,1889.0,1702.0,3266.0,3.0,591.0,371.0,732.0,1057.0,512.0,1.15352038115,2428184.99746,743.473667316
sjo7,7891.0,19315.0,2669.0,1898.0,1586.0,1738.0,3068.0,5435.0,10600.0,27.0,845.0,1788.0,2236.0,4130.0,1574.0,1.28601694915,8301069.64902,783.119778209
ccc2,1005.0,3423.0,510.0,245.0,146.0,104.0,797.0,332.0,1958.0,43.0,600.0,245.0,275.0,216.0,579.0,0.630489335006,2242129.0,1145.11184883
pal1,557.0,1285.0,119.0,71.0,88.0,279.0,52.0,516.0,4209.0,7.0,173.0,246.0,1163.0,1888.0,732.0,5.35576923077,2126658.90388,505.264648107
sfo12,29757.0,75956.0,7064.0,5250.0,5954.0,11489.0,13889.0,16469.0,14250.0,7.0,697.0,1628.0,2357.0,4868.0,4693.0,1.07124343005,10271880.5422,720.833722257
hay1,425.0,1358.0,118.0,90.0,124.0,93.0,278.0,61.0,793.0,1.0,54.0,92.0,94.0,233.0,319.0,0.764388489209,748969.0,944.475409836
sjo8,4699.0,16285.0,1658.0,1097.0,1039.0,905.0,2602.0,2424.0,3030.0,2.0,403.0,243.0,461.0,1070.0,851.0,0.902959262106,2286290.29352,754.551251986
wcc1_g,62.0,158.0,17.0,14.0,17.0,14.0,68.0,0.0,73.0,0.0,37.0,4.0,7.0,14.0,11.0,0.455882352941,44923.0,615.383561644
oak1,366.0,1064.0,64.0,52.0,104.0,146.0,125.0,256.0,902.0,23.0,62.0,250.0,187.0,194.0,186.0,1.464,860029.0,953.468957871
sar2,25.0,56.0,0.0,1.0,7.0,17.0,0.0,27.0,6980.0,11.0,477.0,412.0,2062.0,1102.0,2916.0,0.0,3509884.0,502.848710602
sro3,2303.0,7218.0,600.0,550.0,622.0,531.0,1640.0,846.0,2737.0,17.0,813.0,360.0,621.0,531.0,395.0,0.702134146341,2136199.0,780.489221776
