City,pop,violent,v_rate,property,p_rate,c_rate
Commerce,"13,035",112,0.0086,"1,010",0.0775,0.086075949
Compton,"98,057","1,218",0.0124,"2,399",0.0245,0.036886709
Concord,"125,205",402,0.0032,"4,182",0.0334,0.036611956
Corcoran,"25,119",89,0.0035,328,0.0131,0.016600979
Corning,"7,751",51,0.0066,281,0.0363,0.042833183
Corona,"157,342",210,0.0013,"4,143",0.0263,0.027665849
Coronado,"19,345",20,0.0010,504,0.0261,0.027087103
Costa Mesa,"112,635",254,0.0023,"4,079",0.0362,0.038469392
Cotati,"7,398",54,0.0073,85,0.0115,0.018788862
Covina,"48,588",151,0.0031,"1,651",0.0340,0.037087347
Crescent City,"7,723",51,0.0066,215,0.0278,0.034442574
Cudahy,"24,201",151,0.0062,347,0.0143,0.020577662
Culver City,"39,528",179,0.0045,"1,760",0.0445,0.049053835
Cupertino,"59,769",58,0.0010,797,0.0133,0.014305075
Cypress,"48,976",56,0.0011,"1,018",0.0208,0.021929108
Daly City,"103,311",216,0.0021,"1,803",0.0175,0.019542933
Dana Point,"34,172",65,0.0019,604,0.0177,0.019577432
Danville,"43,121",16,0.0004,442,0.0103,0.010621275
Davis,"66,628",95,0.0014,"1,476",0.0222,0.023578676
Delano,"54,318",274,0.0050,"1,437",0.0265,0.031499687
Del Mar,"4,263",15,0.0035,211,0.0495,0.053014309
Del Rey Oaks,"1,668",2,0.0012,37,0.0222,0.023381295
Desert Hot Springs,"27,929",344,0.0123,"1,157",0.0414,0.053743421
Diamond Bar,"56,470",55,0.0010,952,0.0169,0.017832477
Dinuba,"21,999",181,0.0082,919,0.0418,0.050002273
Dixon,"18,708",53,0.0028,315,0.0168,0.019670729
Dorris,939,1,0.0011,23,0.0245,0.025559105
Dos Palos,"5,079",59,0.0116,162,0.0319,0.043512502
Downey,"113,628",381,0.0034,"3,537",0.0311,0.034480938
Duarte,"21,673",71,0.0033,507,0.0234,0.026669127
Dublin,"47,004",84,0.0018,731,0.0156,0.01733895
Dunsmuir,"1,650",5,0.0030,41,0.0248,0.027878788
East Palo Alto,"28,766",333,0.0116,587,0.0204,0.031982201
Eastvale,"55,439",41,0.0007,"1,007",0.0182,0.01890366
El Cajon,"101,864",365,0.0036,"2,414",0.0237,0.027281473
El Centro,"43,643",166,0.0038,"2,477",0.0568,0.06055954
El Cerrito,"24,156",128,0.0053,"1,022",0.0423,0.04760722
Elk Grove,"156,344",512,0.0033,"3,292",0.0211,0.024330962
El Monte,"115,356",395,0.0034,"2,230",0.0193,0.022755643
El Segundo,"16,931",38,0.0022,595,0.0351,0.037387042
Emeryville,"10,309",175,0.0170,"1,735",0.1683,0.185275002
Encinitas,"60,960",150,0.0025,"1,296",0.0213,0.023720472
Escalon,"7,314",24,0.0033,227,0.0310,0.034317747
Escondido,"147,386",628,0.0043,"3,887",0.0264,0.030633846
Etna,737,1,0.0014,2,0.0027,0.004070556
Eureka,"27,469",159,0.0058,"1,956",0.0712,0.076995886
Exeter,"10,596",28,0.0026,306,0.0289,0.031521329
Fairfax,"7,590",10,0.0013,133,0.0175,0.01884058
Fairfield,"107,110",454,0.0042,"3,317",0.0310,0.035206797
Farmersville,"10,860",34,0.0031,227,0.0209,0.024033149
Ferndale,"1,385",3,0.0022,17,0.0123,0.014440433
Fillmore,"15,298",24,0.0016,198,0.0129,0.014511701
Firebaugh,"7,724",29,0.0038,141,0.0183,0.022009322
Folsom,"73,678",85,0.0012,"1,277",0.0173,0.018485844
Fontana,"200,874",850,0.0042,"4,494",0.0224,0.026603742
Fort Bragg,"7,317",34,0.0046,367,0.0502,0.054803881
Fort Jones,841,0,0.0000,14,0.0166,0.016646849
Fortuna,"12,050",46,0.0038,442,0.0367,0.040497925
Foster City,"31,230",18,0.0006,345,0.0110,0.011623439
Fountain Valley,"56,674",106,0.0019,"1,469",0.0259,0.027790521
Fowler,"5,698",48,0.0084,213,0.0374,0.045805546
Fremont,"218,927",306,0.0014,"4,259",0.0195,0.020851699
Fresno,"506,011","2,748",0.0054,"25,737",0.0509,0.056293243
Fullerton,"138,455",452,0.0033,"3,937",0.0284,0.03169983
Galt,"24,163",59,0.0024,470,0.0195,0.021892977
Gardena,"59,802",287,0.0048,"1,321",0.0221,0.026888733
Garden Grove,"175,079",439,0.0025,"4,017",0.0229,0.025451368
Gilroy,"50,042",159,0.0032,"1,788",0.0357,0.038907318
Glendale,"194,902",233,0.0012,"3,043",0.0156,0.016808447
Glendora,"50,903",59,0.0012,"1,293",0.0254,0.026560321
Goleta,"30,384",50,0.0016,523,0.0172,0.01885861
Gonzales,"8,404",36,0.0043,102,0.0121,0.016420752
Grand Terrace,"12,333",29,0.0024,285,0.0231,0.025460148
Grass Valley,"12,959",65,0.0050,639,0.0493,0.054325179
Greenfield,"16,765",120,0.0072,306,0.0183,0.025410081
Gridley,"6,654",78,0.0117,220,0.0331,0.044785092
Grover Beach,"13,398",32,0.0024,306,0.0228,0.025227646
Guadalupe,"7,198",10,0.0014,57,0.0079,0.009308141
Gustine,"5,663",24,0.0042,120,0.0212,0.025428218
Hanford,"54,787",309,0.0056,"1,711",0.0312,0.03687006
Hawaiian Gardens,"14,493",69,0.0048,193,0.0133,0.018077693
Hawthorne,"85,692",637,0.0074,"2,181",0.0255,0.032885217
Hayward,"147,424",613,0.0042,"4,792",0.0325,0.036662959
Healdsburg,"11,458",18,0.0016,271,0.0237,0.025222552
Hemet,"81,213",406,0.0050,"3,486",0.0429,0.047923362
Hercules,"24,682",43,0.0017,298,0.0121,0.013815736
Hermosa Beach,"19,830",54,0.0027,678,0.0342,0.036913767
Hesperia,"92,383",402,0.0044,"2,502",0.0271,0.031434355
Hidden Hills,"1,887",0,0.0000,4,0.0021,0.002119767
Highland,"54,403",296,0.0054,"1,616",0.0297,0.035145121
Hillsborough,"11,060",1,0.0001,86,0.0078,0.007866184
Hollister,"35,766",162,0.0045,724,0.0202,0.02477213
Holtville,"6,088",11,0.0018,98,0.0161,0.017904074
Hughson,"6,754",10,0.0015,144,0.0213,0.022801303
Huntington Beach,"194,677",313,0.0016,"5,470",0.0281,0.029705615
Huntington Park,"59,079",373,0.0063,"1,917",0.0324,0.038761658
Huron,"6,901",69,0.0100,301,0.0436,0.053615418
Imperial,"15,126",7,0.0005,73,0.0048,0.005288907
Imperial Beach,"26,956",147,0.0055,471,0.0175,0.02292625
Indian Wells,"5,120",2,0.0004,203,0.0396,0.040039063
Indio,"78,501",450,0.0057,"2,791",0.0356,0.041286098
Industry,222,68,0.3063,"1,110",5.0000,5.306306306
Inglewood,"111,488",780,0.0070,"2,673",0.0240,0.030971943
Ione,"7,977",10,0.0013,109,0.0137,0.014917889
Irvine,"217,528",110,0.0005,"3,304",0.0152,0.015694531
Irwindale,"1,447",15,0.0104,243,0.1679,0.178299931
Jackson,"4,677",38,0.0081,136,0.0291,0.037203335
Jurupa Valley,"97,577",312,0.0032,"3,174",0.0325,0.035725632
Kensington,"5,185",4,0.0008,85,0.0164,0.017164899
Kerman,"13,854",42,0.0030,608,0.0439,0.046917858
King City,"13,214",54,0.0041,332,0.0251,0.029211442
Kingsburg,"11,644",38,0.0033,432,0.0371,0.040364136
La Canada Flintridge,"20,584",12,0.0006,324,0.0157,0.016323358
Lafayette,"24,510",21,0.0009,419,0.0171,0.017951856
Laguna Beach,"23,283",57,0.0024,548,0.0235,0.025984624
Laguna Hills,"31,090",29,0.0009,620,0.0199,0.020874879
Laguna Niguel,"64,533",47,0.0007,764,0.0118,0.012567214
Laguna Woods,"16,590",4,0.0002,148,0.0089,0.009162146
La Habra,"61,731",147,0.0024,"1,150",0.0186,0.021010513
La Habra Heights,"5,413",6,0.0011,44,0.0081,0.009237022
Lake Elsinore,"53,912",130,0.0024,"1,932",0.0358,0.038247514
Lake Forest,"79,166",107,0.0014,"1,088",0.0137,0.015094864
Lakeport,"4,772",16,0.0034,324,0.0679,0.071248952
Lake Shastina,"2,460",0,0.0000,0,0.0000,0
Lakewood,"81,382",227,0.0028,"2,062",0.0253,0.028126613
La Mesa,"58,444",224,0.0038,"1,732",0.0296,0.033467935
La Mirada,"49,312",98,0.0020,776,0.0157,0.017723881
Lancaster,"159,155",859,0.0054,"3,498",0.0220,0.027375829
La Palma,"15,954",18,0.0011,340,0.0213,0.022439514
La Puente,"40,479",121,0.0030,521,0.0129,0.015860076
La Quinta,"38,690",150,0.0039,"1,669",0.0431,0.047014732
La Verne,"31,575",50,0.0016,823,0.0261,0.027648456
Lawndale,"33,312",167,0.0050,397,0.0119,0.016930836
Lemon Grove,"25,932",137,0.0053,434,0.0167,0.022019127
Lemoore,"24,904",131,0.0053,698,0.0280,0.033287825
Lincoln,"44,378",14,0.0003,506,0.0114,0.011717518
Lindsay,"12,068",49,0.0041,321,0.0266,0.030659596
Livermore,"82,800",301,0.0036,"1,805",0.0218,0.025434783
Livingston,"13,394",74,0.0055,306,0.0228,0.028370912
Lodi,"63,718",280,0.0044,"2,599",0.0408,0.045183465
Loma Linda,"23,819",43,0.0018,626,0.0263,0.028086821
Lomita,"20,591",95,0.0046,391,0.0190,0.023602545
Lompoc,"43,120",222,0.0051,"1,166",0.0270,0.032189239
Long Beach,"469,893","2,705",0.0058,"14,131",0.0301,0.035829434
Los Alamitos,"11,728",27,0.0023,357,0.0304,0.032742156
Los Altos,"29,704",6,0.0002,299,0.0101,0.010267977
Los Altos Hills,"8,121",5,0.0006,45,0.0055,0.006156877
Los Angeles,"3,855,122","18,547",0.0048,"87,478",0.0227,0.027502372
Los Banos,"36,897",142,0.0038,"1,210",0.0328,0.036642545
Los Gatos,"30,161",38,0.0013,629,0.0209,0.022114651
Lynwood,"70,908",541,0.0076,"1,373",0.0194,0.026992723
Madera,"62,796",466,0.0074,"1,621",0.0258,0.033234601
Malibu,"12,854",15,0.0012,329,0.0256,0.026762097
Mammoth Lakes,"8,373",38,0.0045,196,0.0234,0.027946972
Manhattan Beach,"35,719",62,0.0017,855,0.0239,0.025672611
Manteca,"68,887",265,0.0038,"2,681",0.0389,0.042765689
Marina,"20,227",41,0.0020,498,0.0246,0.02664755
Martinez,"36,729",70,0.0019,930,0.0253,0.027226442
Marysville,"12,254",88,0.0072,502,0.0410,0.048147544
Maywood,"27,850",175,0.0063,286,0.0103,0.016552962
McFarland,"13,010",57,0.0044,218,0.0168,0.021137586
Menifee,"80,047",87,0.0011,"1,942",0.0243,0.025347608
Mendota,"11,270",53,0.0047,344,0.0305,0.035226264
Menlo Park,"32,713",53,0.0016,625,0.0191,0.020725705
Merced,"80,976",810,0.0100,"4,111",0.0508,0.060771093
Mill Valley,"14,181",12,0.0008,175,0.0123,0.013186658
Milpitas,"68,433",81,0.0012,"2,023",0.0296,0.030745401
Mission Viejo,"95,599",73,0.0008,"1,197",0.0125,0.013284658
Modesto,"204,631","1,590",0.0078,"11,276",0.0551,0.062874149
Monrovia,"37,199",81,0.0022,948,0.0255,0.027662034
Montague,"1,443",2,0.0014,6,0.0042,0.005544006
Montclair,"37,556",197,0.0052,"1,703",0.0453,0.050591117
Montebello,"63,538",146,0.0023,"1,775",0.0279,0.030233876
Monterey,"28,508",153,0.0054,"1,016",0.0356,0.041006033
Monterey Park,"61,270",75,0.0012,"1,022",0.0167,0.017904358
Monte Sereno,"3,426",3,0.0009,35,0.0102,0.011091652
Moorpark,"35,102",41,0.0012,330,0.0094,0.010569198
Moraga,"16,401",6,0.0004,152,0.0093,0.009633559
Moreno Valley,"199,673",706,0.0035,"6,371",0.0319,0.035442949
Morgan Hill,"38,834",50,0.0013,695,0.0179,0.01918422
Morro Bay,"10,423",21,0.0020,140,0.0134,0.015446608
Mountain View,"75,933",155,0.0020,"1,419",0.0187,0.0207288
Mount Shasta,"3,396",5,0.0015,79,0.0233,0.024734982
Murrieta,"106,839",70,0.0007,"1,715",0.0161,0.016707382
Napa,"78,589",216,0.0027,"1,643",0.0209,0.02365471
National City,"59,920",371,0.0062,"1,863",0.0311,0.037283044
Needles,"4,963",23,0.0046,213,0.0429,0.047551884
Nevada City,"3,092",12,0.0039,172,0.0556,0.059508409
Newark,"43,539",169,0.0039,"1,349",0.0310,0.034865293
Newman,"10,402",25,0.0024,194,0.0187,0.021053644
Newport Beach,"87,286",101,0.0012,"2,151",0.0246,0.025800243
Norco,"27,850",56,0.0020,580,0.0208,0.022836625
Norwalk,"107,295",433,0.0040,"2,609",0.0243,0.028351741
Novato,"52,942",96,0.0018,956,0.0181,0.019870802
Oakdale,"21,031",58,0.0028,934,0.0444,0.047168466
Oakland,"399,487","7,963",0.0199,"26,342",0.0659,0.085872632
Oakley,"36,348",85,0.0023,477,0.0131,0.015461649
Oceanside,"171,141",728,0.0043,"4,289",0.0251,0.029315009
Ojai,"7,607",13,0.0017,162,0.0213,0.023005127
Ontario,"167,933",534,0.0032,"5,056",0.0301,0.033287085
Orange,"139,692",135,0.0010,"2,833",0.0203,0.021246743
Orinda,"18,098",7,0.0004,216,0.0119,0.012321804
Orland,"7,361",27,0.0037,210,0.0285,0.032196712
Oroville,"15,707",107,0.0068,991,0.0631,0.069905138
Oxnard,"201,797",603,0.0030,"4,071",0.0202,0.02316189
Pacifica,"38,041",42,0.0011,578,0.0152,0.016298205
Pacific Grove,"15,437",27,0.0017,249,0.0161,0.017879122
Palmdale,"155,294",812,0.0052,"3,393",0.0218,0.027077672
Palm Desert,"50,021",104,0.0021,"2,322",0.0464,0.04849963
Palm Springs,"45,996",302,0.0066,"2,232",0.0485,0.055091747
Palo Alto,"66,019",53,0.0008,"1,409",0.0213,0.02214514
Palos Verdes Estates,"13,661",6,0.0004,136,0.0100,0.010394554
Paradise,"26,492",66,0.0025,479,0.0181,0.020572248
Paramount,"54,997",244,0.0044,"1,536",0.0279,0.032365402
Parlier,"14,828",119,0.0080,431,0.0291,0.037091988
Pasadena,"139,382",433,0.0031,"3,379",0.0242,0.027349299
Paso Robles,"30,344",91,0.0030,777,0.0256,0.028605326
Patterson,"20,769",53,0.0026,734,0.0353,0.037893014
Perris,"70,616",240,0.0034,"2,081",0.0295,0.032867905
Petaluma,"58,995",167,0.0028,822,0.0139,0.016764133
Pico Rivera,"63,988",261,0.0041,"1,780",0.0278,0.031896606
Piedmont,"10,909",13,0.0012,333,0.0305,0.031716931
Pinole,"18,864",91,0.0048,674,0.0357,0.040553435
Pismo Beach,"7,798",36,0.0046,305,0.0391,0.043729161
Pittsburg,"64,890",152,0.0023,"2,107",0.0325,0.03481276
Placentia,"51,778",107,0.0021,906,0.0175,0.019564294
Placerville,"10,479",55,0.0052,194,0.0185,0.023761809
Pleasant Hill,"34,001",73,0.0021,"1,621",0.0477,0.049822064
Pleasanton,"71,875",49,0.0007,"1,279",0.0178,0.018476522
Pomona,"151,511","1,021",0.0067,"5,055",0.0334,0.040102699
Porterville,"55,533",200,0.0036,"1,807",0.0325,0.036140673
Port Hueneme,"22,142",65,0.0029,467,0.0211,0.024026737
Poway,"48,968",94,0.0019,559,0.0114,0.013335239
Rancho Cordova,"66,214",393,0.0059,"2,107",0.0318,0.037756366
Rancho Cucamonga,"169,276",321,0.0019,"4,362",0.0258,0.027664879
Rancho Mirage,"17,778",23,0.0013,726,0.0408,0.042130723
Rancho Palos Verdes,"42,335",35,0.0008,498,0.0118,0.012590056
Rancho Santa Margarit,"49,038",27,0.0006,319,0.0065,0.007055753
Red Bluff,"14,236",112,0.0079,811,0.0570,0.064835628
Redding,"90,974",705,0.0077,"4,380",0.0481,0.055895091
Redlands,"70,399",221,0.0031,"2,992",0.0425,0.045639853
Redondo Beach,"67,856",190,0.0028,"1,596",0.0235,0.026320443
Redwood City,"78,466",208,0.0027,"1,800",0.0229,0.025590702
Reedley,"24,747",173,0.0070,570,0.0230,0.030023841
Rialto,"101,595",509,0.0050,"3,571",0.0351,0.040159457
Richmond,"106,357","1,162",0.0109,"5,018",0.0472,0.05810619
Ridgecrest,"28,273",108,0.0038,602,0.0213,0.025112298
Rio Dell,"3,403",8,0.0024,95,0.0279,0.030267411
Rio Vista,"7,485",39,0.0052,145,0.0194,0.024582498
Ripon,"14,662",6,0.0004,297,0.0203,0.020665666
Riverbank,"23,070",57,0.0025,761,0.0330,0.035457304
Riverside,"313,532","1,389",0.0044,"10,818",0.0345,0.038933825
Rocklin,"58,865",49,0.0008,917,0.0156,0.016410431
Rohnert Park,"41,716",192,0.0046,770,0.0185,0.023060696
Rolling Hills,"1,891",0,0.0000,27,0.0143,0.01427816
Rolling Hills Estates,"8,202",9,0.0011,129,0.0157,0.016825165
Rosemead,"54,656",143,0.0026,913,0.0167,0.019320843
Roseville,"122,896",293,0.0024,"3,288",0.0268,0.029138459
Ross,"2,465",2,0.0008,23,0.0093,0.010141988
Sacramento,"476,557","3,520",0.0074,"19,967",0.0419,0.049284766
Salinas,"154,413","1,027",0.0067,"4,906",0.0318,0.038422931
San Anselmo,"12,584",13,0.0010,172,0.0137,0.014701208
San Bernardino,"214,987","2,022",0.0094,"10,510",0.0489,0.058291897
San Bruno,"42,002",85,0.0020,961,0.0229,0.024903576
San Clemente,"65,089",75,0.0012,839,0.0129,0.014042311
Sand City,343,7,0.0204,76,0.2216,0.241982507
San Diego,"1,338,477","5,529",0.0041,"31,700",0.0237,0.027814449
San Dimas,"33,923",51,0.0015,668,0.0197,0.021195059
San Fernando,"24,039",77,0.0032,380,0.0158,0.019010774
San Francisco,"820,363","5,777",0.0070,"38,898",0.0474,0.0544576
San Gabriel,"40,376",88,0.0022,550,0.0136,0.015801466
Sanger,"24,827",269,0.0108,"1,041",0.0419,0.052765135
San Jacinto,"45,637",137,0.0030,"1,479",0.0324,0.035409865
San Jose,"976,459","3,547",0.0036,"28,463",0.0291,0.032781714
San Juan Capistrano,"35,449",59,0.0017,519,0.0146,0.016305114
San Leandro,"86,869",437,0.0050,"3,585",0.0413,0.046299601
San Luis Obispo,"45,947",119,0.0026,"1,971",0.0429,0.045487192
San Marcos,"85,810",227,0.0026,"1,502",0.0175,0.020149167
San Marino,"13,364",13,0.0010,183,0.0137,0.014666268
San Mateo,"99,303",261,0.0026,"1,876",0.0189,0.021519994
San Pablo,"29,884",277,0.0093,"1,459",0.0488,0.058091286
San Rafael,"58,854",191,0.0032,"1,785",0.0303,0.033574608
San Ramon,"74,013",45,0.0006,850,0.0115,0.01209247
Santa Ana,"332,482","1,334",0.0040,"7,389",0.0222,0.026236007
Santa Barbara,"89,871",363,0.0040,"3,115",0.0347,0.038699914
Santa Clara,"119,360",221,0.0019,"3,306",0.0277,0.029549263
Santa Clarita,"179,248",342,0.0019,"2,742",0.0153,0.017205213
Santa Cruz,"60,902",433,0.0071,"3,585",0.0589,0.065974845
Santa Fe Springs,"16,492",99,0.0060,"1,272",0.0771,0.083131215
Santa Maria,"101,207",690,0.0068,"2,430",0.0240,0.030827907
Santa Monica,"91,215",395,0.0043,"3,398",0.0373,0.041583073
Santa Paula,"29,899",91,0.0030,590,0.0197,0.022776681
Santa Rosa,"170,862",636,0.0037,"3,818",0.0223,0.026067821
Santee,"54,700",154,0.0028,"1,109",0.0203,0.02308958
Saratoga,"30,683",9,0.0003,231,0.0075,0.007821921
Sausalito,"7,202",7,0.0010,254,0.0353,0.036239933
Scotts Valley,"11,775",16,0.0014,325,0.0276,0.02895966
Seal Beach,"24,764",17,0.0007,545,0.0220,0.022694234
Seaside,"33,887",109,0.0032,499,0.0147,0.017941984
Sebastopol,"7,512",8,0.0011,170,0.0226,0.023695421
Selma,"23,753",208,0.0088,"1,218",0.0513,0.060034522
Shafter,"17,391",49,0.0028,576,0.0331,0.035938129
Sierra Madre,"11,098",4,0.0004,112,0.0101,0.010452334
Signal Hill,"11,198",43,0.0038,536,0.0479,0.051705662
Simi Valley,"126,686",141,0.0011,"1,916",0.0151,0.016236995
Solana Beach,"13,181",24,0.0018,313,0.0237,0.025567104
Soledad,"26,253",80,0.0030,284,0.0108,0.013865082
Solvang,"5,332",5,0.0009,63,0.0118,0.012753188
Sonoma,"10,841",27,0.0025,193,0.0178,0.020293331
Sonora,"4,911",20,0.0041,311,0.0633,0.067399715
South El Monte,"20,452",88,0.0043,399,0.0195,0.023811852
South Gate,"95,966",553,0.0058,"2,545",0.0265,0.032282267
South Lake Tahoe,"21,586",148,0.0069,544,0.0252,0.032057815
South Pasadena,"26,045",27,0.0010,443,0.0170,0.01804569
South San Francisco,"65,006",111,0.0017,"1,321",0.0203,0.022028736
Stallion Springs,"2,540",6,0.0024,9,0.0035,0.005905512
Stanton,"39,124",104,0.0027,630,0.0161,0.018760863
St. Helena,"5,939",3,0.0005,86,0.0145,0.014985688
Stockton,"299,105","4,630",0.0155,"15,258",0.0510,0.0664917
Suisun City,"28,593",57,0.0020,558,0.0195,0.021508761
Sunnyvale,"143,606",170,0.0012,"2,555",0.0178,0.01897553
Susanville,"17,849",96,0.0054,320,0.0179,0.023306628
Sutter Creek,"2,513",7,0.0028,62,0.0247,0.027457222
Taft,"9,552",54,0.0057,365,0.0382,0.043865159
Tehachapi,"14,766",59,0.0040,472,0.0320,0.035960991
Temecula,"103,414",97,0.0009,"2,440",0.0236,0.024532462
Temple City,"36,148",38,0.0011,354,0.0098,0.010844307
Thousand Oaks,"129,171",157,0.0012,"1,838",0.0142,0.015444643
Tiburon,"9,142",10,0.0011,95,0.0104,0.011485452
Torrance,"147,851",190,0.0013,"2,690",0.0182,0.01947907
Tracy,"85,047",145,0.0017,"2,158",0.0254,0.027079144
Truckee,"16,304",22,0.0013,232,0.0142,0.015578999
Tulare,"60,848",376,0.0062,"2,400",0.0394,0.045621877
Tulelake,"1,010",1,0.0010,5,0.0050,0.005940594
Turlock,"69,730",445,0.0064,"2,486",0.0357,0.042033558
Tustin,"77,400",114,0.0015,"1,653",0.0214,0.022829457
Twentynine Palms,"25,612",81,0.0032,463,0.0181,0.021240044
Ukiah,"16,172",108,0.0067,481,0.0297,0.036420975
Union City,"71,089",235,0.0033,"1,808",0.0254,0.028738623
Upland,"75,531",148,0.0020,"2,328",0.0308,0.032781242
Vacaville,"93,951",246,0.0026,"2,031",0.0216,0.024236038
Vallejo,"117,912",878,0.0074,"5,844",0.0496,0.057008617
Ventura,"108,511",310,0.0029,"3,885",0.0358,0.038659675
Vernon,114,27,0.2368,311,2.7281,2.964912281
Victorville,"118,687",676,0.0057,"4,465",0.0376,0.043315612
