City,pop,violent,v_rate,property,p_rate,c_rate
Adelanto,"32,520",199,0.0061,924,0.0284,0.034532595
Agoura Hills,"20,667",12,0.0006,236,0.0114,0.011999806
Alameda,"75,467",160,0.0021,"1,892",0.0251,0.027190693
Albany,"18,960",35,0.0018,537,0.0283,0.030168776
Alhambra,"84,469",149,0.0018,"1,919",0.0227,0.024482354
Aliso Viejo,"48,999",43,0.0009,415,0.0085,0.00934713
Alturas,"2,802",36,0.0128,62,0.0221,0.034975018
American Canyon,"19,873",64,0.0032,616,0.0310,0.03421728
Anaheim,"344,526","1,279",0.0037,"10,070",0.0292,0.03294091
Anderson,"10,056",87,0.0087,606,0.0603,0.068914081
Antioch,"105,009","1,068",0.0102,"4,757",0.0453,0.055471436
Apple Valley,"70,823",221,0.0031,"1,874",0.0265,0.029580786
Arcadia,"57,295",57,0.0010,"1,388",0.0242,0.025220351
Arcata,"17,408",54,0.0031,754,0.0433,0.046415441
Arroyo Grande,"17,568",60,0.0034,358,0.0204,0.02379326
Artesia,"16,793",60,0.0036,262,0.0156,0.019174656
Arvin,"19,761",165,0.0083,671,0.0340,0.042305551
Atascadero,"28,825",192,0.0067,658,0.0228,0.029488291
Atherton,"7,060",6,0.0008,124,0.0176,0.018413598
Atwater,"28,891",180,0.0062,"1,400",0.0485,0.054688311
Auburn,"13,787",44,0.0032,249,0.0181,0.021251904
Avalon,"3,795",13,0.0034,64,0.0169,0.020289855
Avenal,"15,704",53,0.0034,132,0.0084,0.011780438
Azusa,"47,111",220,0.0047,"1,204",0.0256,0.030226486
Bakersfield,"355,696","1,929",0.0054,"17,754",0.0499,0.05533658
Baldwin Park,"76,644",261,0.0034,"1,585",0.0207,0.024085382
Banning,"30,541",148,0.0048,708,0.0232,0.028027897
Barstow,"23,188",207,0.0089,843,0.0364,0.045282042
Bear Valley,"5,282",1,0.0002,92,0.0174,0.017606967
Beaumont,"38,072",103,0.0027,"1,342",0.0352,0.037954402
Bell,"36,062",225,0.0062,662,0.0184,0.024596528
Bellflower,"77,886",304,0.0039,"1,802",0.0231,0.027039519
Bell Gardens,"42,769",125,0.0029,728,0.0170,0.019944352
Belmont,"26,389",24,0.0009,408,0.0155,0.016370457
Belvedere,"2,109",0,0.0000,20,0.0095,0.009483167
Benicia,"27,459",37,0.0013,390,0.0142,0.015550457
Berkeley,"114,961",487,0.0042,"5,696",0.0495,0.053783457
Beverly Hills,"34,677",89,0.0026,"1,081",0.0312,0.033739943
Big Bear Lake,"5,141",42,0.0082,313,0.0609,0.069052713
Biggs,"1,724",19,0.0110,34,0.0197,0.030742459
Bishop,"3,900",16,0.0041,137,0.0351,0.039230769
Blythe,"21,323",73,0.0034,759,0.0356,0.0390189
Bradbury,"1,067",0,0.0000,10,0.0094,0.009372071
Brawley,"25,570",59,0.0023,"1,176",0.0460,0.048298788
Brea,"40,253",74,0.0018,"1,292",0.0321,0.033935359
Brentwood,"52,811",99,0.0019,"1,185",0.0224,0.024313117
Brisbane,"4,374",6,0.0014,142,0.0325,0.033836305
Broadmoor,"4,264",13,0.0030,62,0.0145,0.017589118
Buellton,"4,908",3,0.0006,93,0.0189,0.019559902
Buena Park,"82,505",206,0.0025,"2,066",0.0250,0.027537725
Burbank,"105,057",243,0.0023,"2,493",0.0237,0.026043005
Burlingame,"29,427",61,0.0021,707,0.0240,0.026098481
Calabasas,"23,442",13,0.0006,238,0.0102,0.010707278
Calexico,"39,527",108,0.0027,"1,538",0.0389,0.041642422
California City,"14,460",90,0.0062,517,0.0358,0.04197787
Calimesa,"8,136",13,0.0016,202,0.0248,0.026425762
Calistoga,"5,266",4,0.0008,64,0.0122,0.012913027
Camarillo,"66,506",61,0.0009,955,0.0144,0.015276817
Campbell,"40,339",90,0.0022,"1,649",0.0409,0.043109646
Canyon Lake,"10,905",11,0.0010,209,0.0192,0.020174232
Capitola,"10,085",47,0.0047,541,0.0536,0.058304412
Carlsbad,"107,879",265,0.0025,"2,109",0.0195,0.022006137
Carmel,"3,822",7,0.0018,99,0.0259,0.027734171
Carpinteria,"13,257",17,0.0013,305,0.0230,0.024289055
Carson,"93,233",520,0.0056,"2,709",0.0291,0.03463366
Cathedral City,"52,867",204,0.0039,"1,576",0.0298,0.033669397
Ceres,"46,167",183,0.0040,"1,940",0.0420,0.045985228
Cerritos,"49,856",120,0.0024,"1,870",0.0375,0.039914955
Chico,"87,090",282,0.0032,"2,291",0.0263,0.02954415
Chino,"79,792",291,0.0036,"2,116",0.0265,0.030165931
Chino Hills,"76,632",64,0.0008,956,0.0125,0.013310366
Chowchilla,"19,221",115,0.0060,446,0.0232,0.029186827
Chula Vista,"249,830",581,0.0023,"5,081",0.0203,0.022663411
Citrus Heights,"85,112",329,0.0039,"3,117",0.0366,0.040487828
City of Angels,"3,826",14,0.0037,86,0.0225,0.026136958
Claremont,"35,469",40,0.0011,901,0.0254,0.026530209
Clayton,"11,179",9,0.0008,104,0.0093,0.010108239
Clearlake,"15,311",170,0.0111,675,0.0441,0.05518908
Cloverdale,"8,775",6,0.0007,157,0.0179,0.018575499
Clovis,"97,828",219,0.0022,"4,025",0.0411,0.043382263
Coachella,"42,034",265,0.0063,"1,547",0.0368,0.04310796
Coalinga,"13,669",188,0.0138,476,0.0348,0.048577072
Colma,"1,832",7,0.0038,287,0.1567,0.160480349
Colton,"53,431",189,0.0035,"1,907",0.0357,0.039228163
Colusa,"6,065",11,0.0018,170,0.0280,0.029843364
