lowInc_0_autos,lowInc_autos_lt_workers,lowInc_autos_ge_workers,medInc_0_autos,medInc_autos_lt_workers,medInc_autos_ge_workers,highInc_0_autos,highInc_autos_lt_workers,highInc_autos_ge_workers,veryHighInc_0_autos,veryHighInc_autos_lt_workers,veryHighInc_autos_ge_workers,destChoiceAlt,taz,subzone
21.43764,14.77379,11.75952,21.43067,14.78811,11.99876,21.44216,14.80751,12.09053,21.53996,14.90824,12.21932,0,1,0
21.45975,14.97168,12.42804,21.45641,15.01117,12.62338,21.46898,15.03745,12.69751,21.56636,15.13429,12.8051,1,1,1
21.45316,14.9162,12.26958,21.44874,14.94919,12.47299,21.46099,14.97372,12.55044,21.5585,15.07154,12.66209,2,1,2
21.52087,14.97224,12.27728,21.51303,15.00039,12.47813,21.52246,15.02202,12.55468,21.61391,15.11501,12.66552,3,2,0
21.52592,15.01547,12.40791,21.5189,15.04878,12.60193,21.52857,15.07173,12.67533,21.62002,15.16462,12.78392,4,2,1
21.52015,14.96597,12.25734,21.5122,14.99334,12.45929,21.52157,15.01466,12.53604,21.61309,15.10822,12.64865,5,2,2
21.44884,14.90601,12.24413,21.43651,14.93177,12.44632,21.44213,14.9508,12.52291,21.52698,15.03923,12.63493,6,3,0
21.45386,14.9487,12.36927,21.44236,14.97962,12.56461,21.44824,15.00005,12.63812,21.53307,15.08815,12.74687,7,3,1
21.44795,14.89825,12.22023,21.43544,14.92286,12.42332,21.441,14.94143,12.50011,21.52584,15.02979,12.61248,8,3,2
21.61577,15.04146,12.25542,21.60793,15.06546,12.45562,21.61717,15.08548,12.5318,21.7051,15.17592,12.6439,9,4,0
21.62253,15.10039,12.44609,21.6157,15.1309,12.63479,21.62526,15.1528,12.70661,21.7131,15.2424,12.81323,10,4,1
21.6171,15.0533,12.29582,21.6094,15.07815,12.49203,21.61869,15.09847,12.56704,21.70659,15.1886,12.6776,11,4,2
21.45984,14.92195,12.27647,21.44663,14.94677,12.47444,21.45089,14.96462,12.54968,21.52736,15.04614,12.65935,12,5,0
21.46415,14.95856,12.38273,21.45173,14.98833,12.57638,21.45624,15.00772,12.64966,21.53286,15.09014,12.75867,13,5,1
21.4584,14.90949,12.23851,21.445,14.93315,12.43964,21.44919,14.95067,12.51604,21.52575,15.03292,12.6284,14,5,2
21.30423,14.78173,12.2144,21.2792,14.80092,12.41682,21.27372,14.81278,12.49314,21.3349,14.88416,12.60475,15,6,0
21.30863,14.81849,12.31345,21.28477,14.84528,12.51666,21.27972,14.85976,12.59245,21.34103,14.9317,12.70142,16,6,1
21.30251,14.76699,12.17287,21.27741,14.78627,12.38257,21.2719,14.79814,12.46109,21.33301,14.86908,12.57306,17,6,2
21.29079,14.7581,12.17706,21.26593,14.7781,12.38676,21.26012,14.78994,12.46529,21.31678,14.85762,12.57688,18,7,0
21.29804,14.81876,12.33942,21.27428,14.84464,12.53554,21.26885,14.85835,12.6089,21.32572,14.92681,12.71627,19,7,1
21.29157,14.76482,12.1959,21.26661,14.78364,12.39962,21.26073,14.79489,12.47605,21.31736,14.86224,12.5865,20,7,2
21.33505,14.8002,12.19907,21.3141,14.8206,12.40185,21.31073,14.83316,12.47809,21.36239,14.89627,12.58787,21,8,0
21.34246,14.8622,12.36794,21.32289,14.891,12.56295,21.32009,14.90678,12.63664,21.37233,14.97345,12.74677,22,8,1
21.33587,14.80719,12.21904,21.3151,14.82888,12.42159,21.31184,14.84218,12.49827,21.36374,14.90701,12.61078,23,8,2
21.1466,14.65617,12.20745,21.11956,14.67971,12.41043,21.10926,14.69043,12.48697,21.13225,14.73654,12.59785,24,9,0
21.1599,14.76076,12.44826,21.13515,14.7957,12.63663,21.12587,14.81117,12.70851,21.15051,14.8658,12.82094,25,9,1
21.15046,14.68754,12.2832,21.124,14.71396,12.47986,21.11399,14.72613,12.55484,21.13763,14.77619,12.66855,26,9,2
21.02831,14.59687,12.28166,21.01056,14.63473,12.48137,21.00605,14.65267,12.55747,21.02675,14.70293,12.67152,27,10,0
21.03105,14.61795,12.32666,21.01391,14.65903,12.52559,21.00957,14.67771,12.6005,21.03022,14.7269,12.71024,28,10,1
21.02266,14.55215,12.18239,21.00404,14.5858,12.3895,20.99912,14.60184,12.4676,21.01896,14.64735,12.57946,29,10,2
21.40247,14.85663,12.2176,21.39201,14.8837,12.42134,21.39648,14.90192,12.49884,21.4539,14.97017,12.61194,30,11,0
21.40889,14.91118,12.37246,21.39961,14.94565,12.56975,21.40451,14.96643,12.64487,21.46228,15.03674,12.75629,31,11,1
21.40294,14.86073,12.22983,21.39263,14.88891,12.43433,21.39717,14.90765,12.5123,21.45465,14.97634,12.6258,32,11,2
21.54694,14.98059,12.2399,21.54067,15.00772,12.44282,21.55037,15.02903,12.52061,21.63249,15.11625,12.636,33,12,0
21.55328,15.0355,12.41104,21.54794,15.06857,12.60324,21.55791,15.09131,12.67629,21.63991,15.17723,12.78463,34,12,1
21.54778,14.98797,12.2641,21.54156,15.01534,12.46381,21.55125,15.03647,12.54001,21.63323,15.12243,12.65168,35,12,2
21.53915,14.98082,12.26384,21.53643,15.01145,12.46532,21.54923,15.0352,12.54224,21.6385,15.12705,12.65489,36,13,0
21.54554,15.03578,12.43142,21.54378,15.0724,12.62324,21.55685,15.09767,12.69618,21.64602,15.18855,12.80361,37,13,1
21.53975,14.98617,12.28099,21.5371,15.01716,12.48077,21.54991,15.04095,12.55704,21.63913,15.13235,12.66824,38,13,2
21.4951,14.94848,12.27128,21.49394,14.98189,12.47271,21.50816,15.00718,12.54955,21.60212,15.10243,12.66151,39,14,0
21.50013,14.9914,12.39888,21.49976,15.02983,12.59387,21.51419,15.05633,12.6678,21.6081,15.15107,12.77673,40,14,1
21.49442,14.94246,12.25247,21.49317,14.97536,12.45547,21.50735,15.00048,12.53277,21.60134,15.09594,12.64553,41,14,2
21.33833,14.8127,12.22609,21.33892,14.85151,12.43297,21.35464,14.8792,12.51148,21.45304,14.9783,12.6252,42,15,0
21.34573,14.87412,12.39124,21.34749,14.91975,12.5893,21.36355,14.94928,12.66448,21.46186,15.04763,12.7746,43,15,1
21.33879,14.81657,12.23702,21.33948,14.85604,12.44379,21.35524,14.88405,12.52249,21.45367,14.98332,12.63644,44,15,2
21.39963,14.86745,12.25488,21.40366,14.90794,12.46064,21.42118,14.93679,12.53904,21.51373,15.03141,12.65199,45,16,0
21.40468,14.90998,12.37388,21.40957,14.95583,12.57482,21.42735,14.98625,12.65146,21.51998,15.08131,12.76344,46,16,1
21.39875,14.85986,12.23263,21.40273,14.90018,12.44139,21.42026,14.92925,12.52124,21.51291,15.02469,12.63646,47,16,2
21.11655,14.63401,12.21027,21.12747,14.68892,12.42551,21.14891,14.72374,12.50736,21.23816,14.81742,12.62304,48,17,0
21.12582,14.70732,12.37849,21.13816,14.76954,12.58445,21.16009,14.80685,12.66407,21.24981,14.90355,12.78196,49,17,1
21.11766,14.64304,12.23188,21.12879,14.69919,12.44646,21.15038,14.73499,12.52927,21.23997,14.83124,12.64935,50,17,2
21.00499,14.55719,12.225,21.01281,14.61475,12.43957,21.02943,14.64828,12.52223,21.0945,14.72806,12.64098,51,18,0
21.00878,14.58669,12.28874,21.01737,14.64847,12.50201,21.03427,14.6834,12.5842,21.09959,14.76451,12.70288,52,18,1
21.00096,14.52492,12.15267,21.00829,14.58035,12.37395,21.02478,14.61339,12.45895,21.08969,14.69257,12.57915,53,18,2
20.6769,14.28399,12.13296,20.6761,14.34594,12.3541,20.68245,14.37636,12.43853,20.70397,14.43137,12.55665,54,19,0
20.67536,14.27246,12.11171,20.67413,14.33201,12.33223,20.68015,14.36055,12.41502,20.70109,14.41212,12.52977,55,19,1
20.66807,14.21616,12.00482,20.66564,14.27018,12.23295,20.67124,14.29703,12.31862,20.6915,14.3457,12.43538,56,19,2
21.01471,14.48875,12.03199,21.00673,14.52508,12.25329,21.01044,14.54565,12.33684,21.04211,14.59662,12.45235,57,20,0
21.03078,14.61816,12.32758,21.02536,14.66783,12.52901,21.02999,14.69264,12.60504,21.06291,14.74972,12.71574,58,20,1
21.02237,14.55225,12.18317,21.01556,14.59502,12.39295,21.0197,14.61761,12.47221,21.05196,14.67168,12.58511,59,20,2
21.30532,14.77709,12.20989,21.30356,14.81448,12.4182,21.31469,14.83905,12.49743,21.38283,14.91638,12.61215,60,21,0
21.31035,14.81934,12.3232,21.30939,14.86148,12.52505,21.32075,14.88717,12.60123,21.3889,14.96417,12.71164,61,21,1
21.30442,14.76938,12.18831,21.30252,14.80589,12.39795,21.31358,14.83002,12.4773,21.38158,14.90632,12.59051,62,21,2
21.32321,14.78084,12.15524,21.32022,14.81536,12.36684,21.33352,14.84089,12.44709,21.43174,14.94072,12.56408,63,22,0
21.33755,14.89878,12.46928,21.33664,14.94485,12.6605,21.35053,14.97325,12.73287,21.44837,15.07012,12.83974,64,22,1
21.32919,14.83155,12.29789,21.32703,14.8708,12.49852,21.34055,14.8975,12.57473,21.43856,14.9956,12.68597,65,22,2
20.85414,14.47141,12.23631,20.85649,14.53044,12.44546,20.87287,14.56415,12.52431,20.97731,14.66671,12.63727,66,23,0
20.86227,14.52995,12.34987,20.866,14.59509,12.55399,20.883,14.63168,12.63283,20.98852,14.74135,12.75581,67,23,1
20.85048,14.444,12.18087,20.85243,14.50177,12.39574,20.86888,14.53644,12.47844,20.97436,14.6462,12.60376,68,23,2
21.29514,14.78653,12.23894,21.28683,14.82082,12.44385,21.29591,14.845,12.5232,21.39025,14.94506,12.64578,69,24,0
21.29386,14.77575,12.20927,21.28558,14.81074,12.42054,21.29461,14.83473,12.50072,21.38871,14.93287,12.61967,70,24,1
21.28896,14.73355,12.08735,21.2798,14.76294,12.30543,21.28855,14.78528,12.3884,21.38264,14.88353,12.51006,71,24,2
21.27711,14.72331,12.08509,21.26079,14.74721,12.30224,21.26372,14.7651,12.38465,21.34928,14.85671,12.50555,72,25,0
21.28022,14.75019,12.16328,21.26448,14.77786,12.37603,21.26761,14.79695,12.45665,21.35324,14.88897,12.57642,73,25,1
21.27565,14.71038,12.04601,21.25905,14.73243,12.2655,21.26187,14.74969,12.34875,21.34741,14.84122,12.47052,74,25,2
21.35468,14.77845,12.06226,21.33847,14.79831,12.27831,21.3414,14.81473,12.36046,21.42394,14.90338,12.48108,75,26,0
21.36337,14.85383,12.28753,21.34875,14.884,12.49122,21.3522,14.90334,12.56755,21.4346,14.99042,12.67888,76,26,1
21.35784,14.80641,12.14982,21.34219,14.8301,12.3605,21.34529,14.84744,12.43982,21.42767,14.93456,12.55449,77,26,2
21.25322,14.71902,12.1327,21.23287,14.7423,12.3449,21.23185,14.75767,12.42447,21.3065,14.83926,12.53884,78,27,0
