lowInc_0_autos,lowInc_autos_lt_workers,lowInc_autos_ge_workers,medInc_0_autos,medInc_autos_lt_workers,medInc_autos_ge_workers,highInc_0_autos,highInc_autos_lt_workers,highInc_autos_ge_workers,veryHighInc_0_autos,veryHighInc_autos_lt_workers,veryHighInc_autos_ge_workers,destChoiceAlt,taz,subzone
12.37048,12.82979,12.41157,12.48539,13.00074,12.65613,12.5344,13.07149,12.75253,12.59171,13.15286,12.86057,0,1,0
13.68088,12.83595,12.45327,13.8755,13.00722,12.69693,13.94542,13.07801,12.79256,14.01984,13.15937,12.8995,1,1,1
13.09526,12.83222,12.42817,13.26709,13.0033,12.67237,13.33124,13.07406,12.76845,13.40101,13.15542,12.87605,2,1,2
13.12845,12.88299,12.45391,13.29464,13.04485,12.69059,13.35689,13.1122,12.78416,13.4247,13.18991,12.88918,3,2,0
13.64768,12.88613,12.47556,13.84073,13.04822,12.71213,13.91049,13.11561,12.80541,13.98493,13.19334,12.90999,4,2,1
13.09474,12.88284,12.45284,13.26207,13.04471,12.68963,13.32502,13.11206,12.78324,13.39372,13.18977,12.88833,5,2,2
13.08421,12.86543,12.44067,13.25256,13.02806,12.67753,13.31583,13.09572,12.77121,13.38487,13.1738,12.87638,6,3,0
13.5994,12.86845,12.46147,13.79475,13.03131,12.69827,13.86551,13.09902,12.79169,13.94111,13.17711,12.89645,7,3,1
13.05351,12.86529,12.43973,13.22159,13.02792,12.67664,13.285,13.09559,12.77035,13.3543,13.17366,12.87556,8,3,2
13.10931,12.95071,12.49681,13.27013,13.10441,12.72673,13.33111,13.1687,12.81803,13.39795,13.24312,12.92076,9,4,0
13.71564,12.95423,12.5217,13.9008,13.10815,12.75122,13.9676,13.17248,12.84209,14.03885,13.2469,12.9442,10,4,1
13.16962,12.95098,12.49869,13.32849,13.10466,12.72842,13.38821,13.16895,12.81964,13.45339,13.24336,12.92226,11,4,2
13.13677,12.90392,12.47806,13.3001,13.06332,12.71036,13.36131,13.12979,12.80249,13.42803,13.20657,12.90609,12,5,0
13.60085,12.90661,12.49658,13.78967,13.06621,12.72886,13.85818,13.13271,12.82076,13.93149,13.20951,12.924,13,5,1
13.07168,12.90363,12.47606,13.23378,13.06303,12.70846,13.29508,13.12949,12.80066,13.3622,13.20628,12.90433,14,5,2
13.04546,12.86345,12.45026,13.21064,13.02623,12.68455,13.27295,13.09397,12.77741,13.34109,13.17216,12.88179,15,6,0
13.53094,12.86615,12.46866,13.73071,13.02918,12.70329,13.80352,13.09699,12.79606,13.88155,13.17522,12.90021,16,6,1
13.00683,12.86328,12.44914,13.17704,13.02608,12.68363,13.24164,13.09384,12.77658,13.31246,13.17204,12.88106,17,6,2
13.00926,12.87,12.45877,13.17944,13.03288,12.69266,13.24406,13.10069,12.78543,13.3149,13.17895,12.88974,18,7,0
13.55725,12.87302,12.47929,13.75012,13.03609,12.71297,13.82019,13.10393,12.80543,13.8952,13.18219,12.90927,19,7,1
13.02578,12.87007,12.45924,13.19258,13.03294,12.69302,13.25574,13.10074,12.78574,13.32491,13.17899,12.89,20,7,2
13.03979,12.89033,12.47125,13.20414,13.04932,12.70135,13.26649,13.11577,12.79295,13.33485,13.19261,12.89613,21,8,0
13.57632,12.8933,12.49158,13.76737,13.05251,12.72163,13.83674,13.11899,12.81297,13.91099,13.19585,12.91573,22,8,1
13.04656,12.89035,12.47145,13.21012,13.04935,12.70152,13.27206,13.11579,12.79309,13.33992,13.19263,12.89626,23,8,2
13.0149,12.85273,12.46623,13.18282,13.01611,12.69571,13.24625,13.08429,12.78724,13.31566,13.16307,12.89043,24,9,0
13.69444,12.85685,12.49345,13.88186,13.02042,12.72234,13.94932,13.08861,12.81334,14.02124,13.16737,12.9158,25,9,1
13.11186,12.85316,12.46911,13.27744,13.01653,12.69836,13.3394,13.0847,12.78977,13.4069,13.16347,12.89283,26,9,2
13.07278,12.79708,12.44967,13.24515,12.97161,12.68599,13.30938,13.04386,12.77974,13.37922,13.12695,12.88516,27,10,0
13.48699,12.79952,12.46523,13.68309,12.97422,12.70162,13.75411,13.04649,12.79521,13.83004,13.12959,12.90034,28,10,1
12.94118,12.79649,12.4459,13.11401,12.97103,12.68246,13.17918,13.04328,12.77634,13.25046,13.12639,12.88191,29,10,2
13.02966,12.91236,12.49441,13.19019,13.07242,12.72539,13.2512,13.13917,12.81716,13.31819,13.21628,12.92044,30,11,0
13.54994,12.91513,12.51333,13.74353,13.07542,12.74448,13.81405,13.14222,12.83609,13.88963,13.21935,12.93907,31,11,1
13.03639,12.91239,12.4946,13.20106,13.07247,12.72567,13.26363,13.13922,12.81748,13.33229,13.21633,12.92079,32,11,2
13.05305,12.92874,12.49132,13.2153,13.08631,12.72319,13.27701,13.15201,12.8151,13.34474,13.22792,12.91842,33,12,0
13.66398,12.93217,12.51523,13.85157,13.08996,12.74675,13.91935,13.15569,12.83826,13.9917,13.23161,12.94099,34,12,1
